"","REGION","PooledSector_Viztool","OBS_YEAR","STRATANAME","n"
"67","GUA","GUA_WEST_OPEN",2017,"GUA_WEST_OPEN_Forereef_Deep",2
"68","GUA","GUA_WEST_OPEN",2017,"GUA_WEST_OPEN_Forereef_Mid",5
"69","GUA","GUA_WEST_OPEN",2017,"GUA_WEST_OPEN_Forereef_Shallow",4
"70","GUA","GUA_WEST_OPEN",2022,"GUA_WEST_OPEN_Forereef_Deep",3
"71","GUA","GUA_WEST_OPEN",2022,"GUA_WEST_OPEN_Forereef_Mid",7
"72","GUA","GUA_WEST_OPEN",2022,"GUA_WEST_OPEN_Forereef_Shallow",7
"73","MHI","HAW_KONA",2013,"HAW_KONA_Forereef_Deep",2
"74","MHI","HAW_KONA",2013,"HAW_KONA_Forereef_Mid",2
"75","MHI","HAW_KONA",2013,"HAW_KONA_Forereef_Shallow",3
"76","MHI","HAW_KONA",2016,"HAW_KONA_Forereef_Deep",3
"77","MHI","HAW_KONA",2016,"HAW_KONA_Forereef_Mid",8
"78","MHI","HAW_KONA",2016,"HAW_KONA_Forereef_Shallow",7
"79","MHI","HAW_KONA",2019,"HAW_KONA_Forereef_Deep",7
"80","MHI","HAW_KONA",2019,"HAW_KONA_Forereef_Mid",10
"81","MHI","HAW_KONA",2019,"HAW_KONA_Forereef_Shallow",10
"82","MHI","HAW_KONA",2024,"HAW_KONA_Forereef_Deep",7
"83","MHI","HAW_KONA",2024,"HAW_KONA_Forereef_Mid",7
"84","MHI","HAW_KONA",2024,"HAW_KONA_Forereef_Shallow",5
"85","MHI","HAW_PUNA",2013,"HAW_PUNA_Forereef_Deep",3
"86","MHI","HAW_PUNA",2013,"HAW_PUNA_Forereef_Mid",5
"87","MHI","HAW_PUNA",2016,"HAW_PUNA_Forereef_Deep",2
"88","MHI","HAW_PUNA",2016,"HAW_PUNA_Forereef_Mid",4
"89","MHI","HAW_PUNA",2019,"HAW_PUNA_Forereef_Deep",3
"90","MHI","HAW_PUNA",2019,"HAW_PUNA_Forereef_Mid",5
"91","MHI","HAW_PUNA",2024,"HAW_PUNA_Forereef_Deep",3
"92","MHI","HAW_PUNA",2024,"HAW_PUNA_Forereef_Mid",3
"93","MHI","KAU_EAST",2013,"KAU_EAST_Forereef_Mid",2
"94","MHI","KAU_EAST",2016,"KAU_EAST_Forereef_Mid",6
"95","MHI","KAU_EAST",2019,"KAU_EAST_Forereef_Mid",5
"96","MHI","KAU_EAST",2024,"KAU_EAST_Forereef_Mid",5
"97","MHI","KAU_NAPALI",2013,"KAU_NAPALI_Forereef_Deep",2
"98","MHI","KAU_NAPALI",2013,"KAU_NAPALI_Forereef_Mid",2
"99","MHI","KAU_NAPALI",2016,"KAU_NAPALI_Forereef_Deep",2
"100","MHI","KAU_NAPALI",2016,"KAU_NAPALI_Forereef_Mid",2
"101","MHI","KAU_NAPALI",2019,"KAU_NAPALI_Forereef_Deep",2
"102","MHI","KAU_NAPALI",2019,"KAU_NAPALI_Forereef_Mid",2
"103","MHI","KAU_NAPALI",2024,"KAU_NAPALI_Forereef_Deep",2
"104","MHI","KAU_NAPALI",2024,"KAU_NAPALI_Forereef_Mid",2
"105","MHI","LAN_SOUTH",2013,"LAN_SOUTH_Forereef_Mid",3
"106","MHI","LAN_SOUTH",2013,"LAN_SOUTH_Forereef_Shallow",4
"107","MHI","LAN_SOUTH",2016,"LAN_SOUTH_Forereef_Mid",6
"108","MHI","LAN_SOUTH",2016,"LAN_SOUTH_Forereef_Shallow",3
"109","MHI","LAN_SOUTH",2019,"LAN_SOUTH_Forereef_Mid",6
"110","MHI","LAN_SOUTH",2019,"LAN_SOUTH_Forereef_Shallow",5
"111","MHI","LAN_SOUTH",2024,"LAN_SOUTH_Forereef_Mid",3
"112","MHI","LAN_SOUTH",2024,"LAN_SOUTH_Forereef_Shallow",4
"113","MHI","MAI_KIHEI",2013,"MAI_KIHEI_Forereef_Mid",2
"114","MHI","MAI_KIHEI",2016,"MAI_KIHEI_Forereef_Mid",2
"115","MHI","MAI_KIHEI",2019,"MAI_KIHEI_Forereef_Mid",3
"116","MHI","MAI_KIHEI",2024,"MAI_KIHEI_Forereef_Mid",4
"117","MHI","NII_WEST",2013,"NII_WEST_Forereef_Mid",2
"118","MHI","NII_WEST",2016,"NII_WEST_Forereef_Mid",2
"119","MHI","NII_WEST",2019,"NII_WEST_Forereef_Mid",4
"120","MHI","NII_WEST",2024,"NII_WEST_Forereef_Mid",4
"121","MHI","OAH_NE",2013,"OAH_NE_Forereef_Mid",6
"122","MHI","OAH_NE",2016,"OAH_NE_Forereef_Mid",2
"123","MHI","OAH_NE",2019,"OAH_NE_Forereef_Mid",2
"124","MHI","OAH_NE",2024,"OAH_NE_Forereef_Mid",3
"125","MHI","OAH_NORTH",2013,"OAH_NORTH_Forereef_Deep",2
"126","MHI","OAH_NORTH",2013,"OAH_NORTH_Forereef_Mid",2
"127","MHI","OAH_NORTH",2013,"OAH_NORTH_Forereef_Shallow",2
"128","MHI","OAH_NORTH",2016,"OAH_NORTH_Forereef_Deep",2
"129","MHI","OAH_NORTH",2016,"OAH_NORTH_Forereef_Mid",2
"130","MHI","OAH_NORTH",2016,"OAH_NORTH_Forereef_Shallow",2
"131","MHI","OAH_NORTH",2019,"OAH_NORTH_Forereef_Deep",3
"132","MHI","OAH_NORTH",2019,"OAH_NORTH_Forereef_Mid",4
"133","MHI","OAH_NORTH",2019,"OAH_NORTH_Forereef_Shallow",2
"134","MHI","OAH_NORTH",2024,"OAH_NORTH_Forereef_Deep",2
"135","MHI","OAH_NORTH",2024,"OAH_NORTH_Forereef_Mid",3
"136","MHI","OAH_NORTH",2024,"OAH_NORTH_Forereef_Shallow",2
"137","MHI","OAH_SOUTH",2013,"OAH_SOUTH_Forereef_Deep",4
"138","MHI","OAH_SOUTH",2013,"OAH_SOUTH_Forereef_Mid",5
"139","MHI","OAH_SOUTH",2013,"OAH_SOUTH_Forereef_Shallow",8
"140","MHI","OAH_SOUTH",2016,"OAH_SOUTH_Forereef_Deep",2
"141","MHI","OAH_SOUTH",2016,"OAH_SOUTH_Forereef_Mid",4
"142","MHI","OAH_SOUTH",2016,"OAH_SOUTH_Forereef_Shallow",3
"143","MHI","OAH_SOUTH",2019,"OAH_SOUTH_Forereef_Deep",3
"144","MHI","OAH_SOUTH",2019,"OAH_SOUTH_Forereef_Mid",6
"145","MHI","OAH_SOUTH",2019,"OAH_SOUTH_Forereef_Shallow",7
"146","MHI","OAH_SOUTH",2024,"OAH_SOUTH_Forereef_Deep",2
"147","MHI","OAH_SOUTH",2024,"OAH_SOUTH_Forereef_Mid",3
"148","MHI","OAH_SOUTH",2024,"OAH_SOUTH_Forereef_Shallow",4
"149","NWHI","French Frigate",2014,"French Frigate_Forereef_Mid",2
"150","NWHI","French Frigate",2015,"French Frigate_Forereef_Mid",3
"151","NWHI","French Frigate",2016,"French Frigate_Forereef_Mid",6
"152","NWHI","French Frigate",2017,"French Frigate_Forereef_Mid",4
"153","NWHI","French Frigate",2024,"French Frigate_Forereef_Mid",3
"154","NWHI","Kure",2015,"Kure_Forereef_Mid",2
"155","NWHI","Kure",2015,"Kure_Forereef_Shallow",2
"156","NWHI","Kure",2016,"Kure_Forereef_Mid",7
"157","NWHI","Kure",2016,"Kure_Forereef_Shallow",7
"158","NWHI","Kure",2017,"Kure_Forereef_Mid",2
"159","NWHI","Kure",2017,"Kure_Forereef_Shallow",2
"160","NWHI","Kure",2024,"Kure_Forereef_Mid",7
"161","NWHI","Kure",2024,"Kure_Forereef_Shallow",2
"162","NWHI","Lisianski",2014,"Lisianski_Forereef_Deep",3
"163","NWHI","Lisianski",2014,"Lisianski_Forereef_Mid",4
"164","NWHI","Lisianski",2014,"Lisianski_Forereef_Shallow",3
"165","NWHI","Lisianski",2015,"Lisianski_Forereef_Deep",3
"166","NWHI","Lisianski",2015,"Lisianski_Forereef_Mid",6
"167","NWHI","Lisianski",2015,"Lisianski_Forereef_Shallow",2
"168","NWHI","Lisianski",2016,"Lisianski_Forereef_Deep",4
"169","NWHI","Lisianski",2016,"Lisianski_Forereef_Mid",6
"170","NWHI","Lisianski",2016,"Lisianski_Forereef_Shallow",6
"171","NWHI","Lisianski",2017,"Lisianski_Forereef_Deep",5
"172","NWHI","Lisianski",2017,"Lisianski_Forereef_Mid",4
"173","NWHI","Lisianski",2017,"Lisianski_Forereef_Shallow",2
"174","NWHI","Lisianski",2024,"Lisianski_Forereef_Deep",7
"175","NWHI","Lisianski",2024,"Lisianski_Forereef_Mid",6
"176","NWHI","Lisianski",2024,"Lisianski_Forereef_Shallow",4
"177","NWHI","Pearl & Hermes",2015,"Pearl & Hermes_Forereef_Mid",5
"178","NWHI","Pearl & Hermes",2016,"Pearl & Hermes_Forereef_Mid",8
"179","NWHI","Pearl & Hermes",2017,"Pearl & Hermes_Forereef_Mid",2
"180","NWHI","Pearl & Hermes",2024,"Pearl & Hermes_Forereef_Mid",5
"181","PRIAs","Baker",2015,"Baker_Forereef_Deep",3
"182","PRIAs","Baker",2015,"Baker_Forereef_Mid",8
"183","PRIAs","Baker",2015,"Baker_Forereef_Shallow",4
"184","PRIAs","Baker",2018,"Baker_Forereef_Deep",2
"185","PRIAs","Baker",2018,"Baker_Forereef_Mid",4
"186","PRIAs","Baker",2018,"Baker_Forereef_Shallow",4
"187","PRIAs","Baker",2023,"Baker_Forereef_Deep",5
"188","PRIAs","Baker",2023,"Baker_Forereef_Mid",4
"189","PRIAs","Baker",2023,"Baker_Forereef_Shallow",8
"190","PRIAs","Howland",2015,"Howland_Forereef_Deep",5
"191","PRIAs","Howland",2015,"Howland_Forereef_Mid",6
"192","PRIAs","Howland",2015,"Howland_Forereef_Shallow",10
"193","PRIAs","Howland",2018,"Howland_Forereef_Deep",2
"194","PRIAs","Howland",2018,"Howland_Forereef_Mid",4
"195","PRIAs","Howland",2018,"Howland_Forereef_Shallow",3
"196","PRIAs","Howland",2023,"Howland_Forereef_Deep",4
"197","PRIAs","Howland",2023,"Howland_Forereef_Mid",5
"198","PRIAs","Howland",2023,"Howland_Forereef_Shallow",10
"199","PRIAs","Jarvis",2015,"Jarvis_Forereef_Deep",6
"200","PRIAs","Jarvis",2015,"Jarvis_Forereef_Mid",22
"201","PRIAs","Jarvis",2015,"Jarvis_Forereef_Shallow",14
"202","PRIAs","Jarvis",2018,"Jarvis_Forereef_Deep",5
"203","PRIAs","Jarvis",2018,"Jarvis_Forereef_Mid",13
"204","PRIAs","Jarvis",2018,"Jarvis_Forereef_Shallow",10
"205","PRIAs","Kingman",2015,"Kingman_Forereef_Deep",2
"206","PRIAs","Kingman",2015,"Kingman_Forereef_Mid",4
"207","PRIAs","Kingman",2015,"Kingman_Forereef_Shallow",2
"208","PRIAs","Kingman",2015,"Kingman_Lagoon_Deep",2
"209","PRIAs","Kingman",2015,"Kingman_Protected Slope_Mid",6
"210","PRIAs","Kingman",2018,"Kingman_Forereef_Deep",2
"211","PRIAs","Kingman",2018,"Kingman_Forereef_Mid",6
"212","PRIAs","Kingman",2018,"Kingman_Forereef_Shallow",5
"213","PRIAs","Kingman",2018,"Kingman_Lagoon_Deep",3
"214","PRIAs","Kingman",2018,"Kingman_Protected Slope_Mid",5
"215","PRIAs","Palmyra",2015,"Palmyra_Forereef_Deep",7
"216","PRIAs","Palmyra",2015,"Palmyra_Forereef_Mid",19
"217","PRIAs","Palmyra",2015,"Palmyra_Forereef_Shallow",13
"218","PRIAs","Palmyra",2018,"Palmyra_Forereef_Deep",7
"219","PRIAs","Palmyra",2018,"Palmyra_Forereef_Mid",15
"220","PRIAs","Palmyra",2018,"Palmyra_Forereef_Shallow",15
"221","SAMOA","Ofu & Olosega",2015,"Ofu & Olosega_Forereef_Deep",9
"222","SAMOA","Ofu & Olosega",2015,"Ofu & Olosega_Forereef_Mid",14
"223","SAMOA","Ofu & Olosega",2015,"Ofu & Olosega_Forereef_Shallow",8
"224","SAMOA","Ofu & Olosega",2018,"Ofu & Olosega_Forereef_Deep",6
"225","SAMOA","Ofu & Olosega",2018,"Ofu & Olosega_Forereef_Mid",8
"226","SAMOA","Ofu & Olosega",2018,"Ofu & Olosega_Forereef_Shallow",4
"227","SAMOA","Ofu & Olosega",2023,"Ofu & Olosega_Forereef_Deep",6
"228","SAMOA","Ofu & Olosega",2023,"Ofu & Olosega_Forereef_Mid",11
"229","SAMOA","Ofu & Olosega",2023,"Ofu & Olosega_Forereef_Shallow",7
"230","SAMOA","ROS_ALL",2015,"ROS_ALL_Forereef_Deep",2
"231","SAMOA","ROS_ALL",2015,"ROS_ALL_Forereef_Mid",6
"232","SAMOA","ROS_ALL",2015,"ROS_ALL_Forereef_Shallow",3
"233","SAMOA","ROS_ALL",2016,"ROS_ALL_Forereef_Deep",3
"234","SAMOA","ROS_ALL",2016,"ROS_ALL_Forereef_Mid",8
"235","SAMOA","ROS_ALL",2016,"ROS_ALL_Forereef_Shallow",5
"236","SAMOA","ROS_ALL",2018,"ROS_ALL_Forereef_Deep",3
"237","SAMOA","ROS_ALL",2018,"ROS_ALL_Forereef_Mid",8
"238","SAMOA","ROS_ALL",2018,"ROS_ALL_Forereef_Shallow",3
"239","SAMOA","ROS_ALL",2023,"ROS_ALL_Forereef_Deep",4
"240","SAMOA","ROS_ALL",2023,"ROS_ALL_Forereef_Mid",8
"241","SAMOA","ROS_ALL",2023,"ROS_ALL_Forereef_Shallow",4
"242","SAMOA","SWA_ALL",2015,"SWA_ALL_Forereef_Mid",6
"243","SAMOA","SWA_ALL",2015,"SWA_ALL_Forereef_Shallow",8
"244","SAMOA","SWA_ALL",2018,"SWA_ALL_Forereef_Mid",3
"245","SAMOA","SWA_ALL",2018,"SWA_ALL_Forereef_Shallow",3
"246","SAMOA","SWA_ALL",2023,"SWA_ALL_Forereef_Mid",8
"247","SAMOA","SWA_ALL",2023,"SWA_ALL_Forereef_Shallow",9
"248","SAMOA","TAU_ALL",2015,"TAU_ALL_Forereef_Deep",3
"249","SAMOA","TAU_ALL",2015,"TAU_ALL_Forereef_Mid",9
"250","SAMOA","TAU_ALL",2018,"TAU_ALL_Forereef_Deep",3
"251","SAMOA","TAU_ALL",2018,"TAU_ALL_Forereef_Mid",6
"252","SAMOA","TAU_ALL",2023,"TAU_ALL_Forereef_Deep",3
"253","SAMOA","TAU_ALL",2023,"TAU_ALL_Forereef_Mid",6
"254","SAMOA","TUT_FAGALUA_FAGATELE",2015,"TUT_FAGALUA_FAGATELE_Forereef_Mid",4
"255","SAMOA","TUT_FAGALUA_FAGATELE",2015,"TUT_FAGALUA_FAGATELE_Forereef_Shallow",5
"256","SAMOA","TUT_FAGALUA_FAGATELE",2018,"TUT_FAGALUA_FAGATELE_Forereef_Mid",2
"257","SAMOA","TUT_FAGALUA_FAGATELE",2018,"TUT_FAGALUA_FAGATELE_Forereef_Shallow",2
"258","SAMOA","TUT_FAGALUA_FAGATELE",2023,"TUT_FAGALUA_FAGATELE_Forereef_Mid",4
"259","SAMOA","TUT_FAGALUA_FAGATELE",2023,"TUT_FAGALUA_FAGATELE_Forereef_Shallow",2
"260","SAMOA","TUT_NE_OPEN",2015,"TUT_NE_OPEN_Forereef_Deep",5
"261","SAMOA","TUT_NE_OPEN",2015,"TUT_NE_OPEN_Forereef_Mid",7
"262","SAMOA","TUT_NE_OPEN",2018,"TUT_NE_OPEN_Forereef_Deep",3
"263","SAMOA","TUT_NE_OPEN",2018,"TUT_NE_OPEN_Forereef_Mid",6
"264","SAMOA","TUT_NE_OPEN",2023,"TUT_NE_OPEN_Forereef_Deep",2
"265","SAMOA","TUT_NE_OPEN",2023,"TUT_NE_OPEN_Forereef_Mid",12
"266","SAMOA","TUT_NW_OPEN",2015,"TUT_NW_OPEN_Forereef_Deep",3
"267","SAMOA","TUT_NW_OPEN",2015,"TUT_NW_OPEN_Forereef_Shallow",2
"268","SAMOA","TUT_NW_OPEN",2018,"TUT_NW_OPEN_Forereef_Deep",6
"269","SAMOA","TUT_NW_OPEN",2018,"TUT_NW_OPEN_Forereef_Shallow",4
"270","SAMOA","TUT_NW_OPEN",2023,"TUT_NW_OPEN_Forereef_Deep",4
"271","SAMOA","TUT_NW_OPEN",2023,"TUT_NW_OPEN_Forereef_Shallow",2
"272","SAMOA","TUT_SW_OPEN",2015,"TUT_SW_OPEN_Forereef_Mid",2
"273","SAMOA","TUT_SW_OPEN",2015,"TUT_SW_OPEN_Forereef_Shallow",3
"274","SAMOA","TUT_SW_OPEN",2018,"TUT_SW_OPEN_Forereef_Mid",2
"275","SAMOA","TUT_SW_OPEN",2018,"TUT_SW_OPEN_Forereef_Shallow",2
"276","SAMOA","TUT_SW_OPEN",2023,"TUT_SW_OPEN_Forereef_Mid",3
"277","SAMOA","TUT_SW_OPEN",2023,"TUT_SW_OPEN_Forereef_Shallow",3
