"","REGION","ISLAND","SEC_NAME","OBS_YEAR","REEF_ZONE","DEPTH_BIN","n"
"50","MARIAN","Guam","GUA_PATI_POINT",2017,"Forereef","Deep",1
"51","MARIAN","Guam","GUA_PATI_POINT",2017,"Forereef","Mid",3
"52","MARIAN","Guam","GUA_PATI_POINT",2022,"Forereef","Deep",2
"53","MARIAN","Guam","GUA_PATI_POINT",2022,"Forereef","Mid",1
"54","MARIAN","Guam","GUA_PITI_BOMB",2014,"Forereef","Deep",1
"55","MARIAN","Guam","GUA_PITI_BOMB",2014,"Forereef","Mid",1
"56","MARIAN","Guam","GUA_PITI_BOMB",2014,"Forereef","Shallow",1
"57","MARIAN","Guam","GUA_PITI_BOMB",2022,"Forereef","Mid",3
"58","MARIAN","Guam","GUA_PITI_BOMB",2022,"Forereef","Shallow",1
"59","MARIAN","Guam","GUA_TUMON",2014,"Forereef","Deep",1
"60","MARIAN","Guam","GUA_TUMON",2014,"Forereef","Shallow",1
"61","MARIAN","Guam","GUA_TUMON",2022,"Forereef","Deep",1
"62","MARIAN","Guam","GUA_WEST_OPEN",2014,"Forereef","Deep",3
"63","MARIAN","Guam","GUA_WEST_OPEN",2014,"Forereef","Mid",5
"64","MARIAN","Guam","GUA_WEST_OPEN",2014,"Forereef","Shallow",4
"65","MARIAN","Guam","GUA_WEST_OPEN",2014,NA,NA,2
"66","MARIAN","Guam","GUA_WEST_OPEN",2017,"Forereef","Deep",2
"67","MARIAN","Guam","GUA_WEST_OPEN",2017,"Forereef","Mid",5
"68","MARIAN","Guam","GUA_WEST_OPEN",2017,"Forereef","Shallow",4
"69","MARIAN","Guam","GUA_WEST_OPEN",2022,"Forereef","Deep",3
"70","MARIAN","Guam","GUA_WEST_OPEN",2022,"Forereef","Mid",7
"71","MARIAN","Guam","GUA_WEST_OPEN",2022,"Forereef","Shallow",7
"72","MARIAN","Guguan","Guguan",2014,"Forereef","Deep",2
"73","MARIAN","Guguan","Guguan",2014,"Forereef","Mid",1
"74","MARIAN","Guguan","Guguan",2014,"Forereef","Shallow",2
"75","MARIAN","Guguan","Guguan",2017,"Forereef","Deep",1
"76","MARIAN","Guguan","Guguan",2017,"Forereef","Mid",1
"77","MARIAN","Guguan","Guguan",2017,"Forereef","Shallow",1
"78","MARIAN","Maug","Maug",2014,"Forereef","Deep",5
"79","MARIAN","Maug","Maug",2014,"Forereef","Mid",11
"80","MARIAN","Maug","Maug",2014,"Forereef","Shallow",4
"81","MARIAN","Maug","Maug",2014,"Lagoon","Deep",1
"82","MARIAN","Maug","Maug",2014,"Lagoon","Mid",1
"83","MARIAN","Maug","Maug",2014,"Lagoon","Shallow",1
"84","MARIAN","Maug","Maug",2017,"Forereef","Deep",6
"85","MARIAN","Maug","Maug",2017,"Forereef","Mid",13
"86","MARIAN","Maug","Maug",2017,"Forereef","Shallow",8
"87","MARIAN","Maug","Maug",2022,"Forereef","Deep",7
"88","MARIAN","Maug","Maug",2022,"Forereef","Mid",12
"89","MARIAN","Maug","Maug",2022,"Forereef","Shallow",5
"90","MARIAN","Pagan","Pagan",2014,"Forereef","Deep",8
"91","MARIAN","Pagan","Pagan",2014,"Forereef","Mid",6
"92","MARIAN","Pagan","Pagan",2014,"Forereef","Shallow",5
"93","MARIAN","Pagan","Pagan",2014,"Forereef",NA,1
"94","MARIAN","Pagan","Pagan",2017,"Forereef","Deep",4
"95","MARIAN","Pagan","Pagan",2017,"Forereef","Mid",7
"96","MARIAN","Pagan","Pagan",2017,"Forereef","Shallow",8
"97","MARIAN","Pagan","Pagan",2022,"Forereef","Deep",7
"98","MARIAN","Pagan","Pagan",2022,"Forereef","Mid",9
"99","MARIAN","Pagan","Pagan",2022,"Forereef","Shallow",8
"100","MARIAN","Rota","Rota",2014,"Forereef","Deep",3
"101","MARIAN","Rota","Rota",2014,"Forereef","Mid",4
"102","MARIAN","Rota","Rota",2014,"Forereef","Shallow",3
"103","MARIAN","Rota","Rota",2014,NA,NA,1
"104","MARIAN","Rota","Rota",2017,"Forereef","Deep",3
"105","MARIAN","Rota","Rota",2017,"Forereef","Mid",4
"106","MARIAN","Rota","Rota",2017,"Forereef","Shallow",6
"107","MARIAN","Rota","Rota",2022,"Forereef","Deep",3
"108","MARIAN","Rota","Rota",2022,"Forereef","Mid",4
"109","MARIAN","Rota","Rota",2022,"Forereef","Shallow",9
"110","MARIAN","Saipan","Saipan",2014,"Forereef","Deep",10
"111","MARIAN","Saipan","Saipan",2014,"Forereef","Mid",8
"112","MARIAN","Saipan","Saipan",2014,"Forereef","Shallow",5
"113","MARIAN","Saipan","Saipan",2014,NA,NA,2
"114","MARIAN","Saipan","Saipan",2017,"Forereef","Deep",5
"115","MARIAN","Saipan","Saipan",2017,"Forereef","Mid",9
"116","MARIAN","Saipan","Saipan",2017,"Forereef","Shallow",8
"117","MARIAN","Saipan","Saipan",2022,"Forereef","Deep",7
"118","MARIAN","Saipan","Saipan",2022,"Forereef","Mid",10
"119","MARIAN","Saipan","Saipan",2022,"Forereef","Shallow",7
"120","MARIAN","Sarigan","Sarigan",2014,"Forereef","Deep",1
"121","MARIAN","Sarigan","Sarigan",2014,"Forereef","Mid",3
"122","MARIAN","Sarigan","Sarigan",2014,"Forereef","Shallow",1
"123","MARIAN","Sarigan","Sarigan",2017,"Forereef","Deep",1
"124","MARIAN","Sarigan","Sarigan",2017,"Forereef","Mid",2
"125","MARIAN","Sarigan","Sarigan",2017,"Forereef","Shallow",2
"126","MARIAN","Tinian","Tinian",2014,"Forereef","Deep",2
"127","MARIAN","Tinian","Tinian",2014,"Forereef","Mid",2
"128","MARIAN","Tinian","Tinian",2014,"Forereef","Shallow",3
"129","MARIAN","Tinian","Tinian",2014,NA,NA,2
"130","MARIAN","Tinian","Tinian",2017,"Forereef","Deep",4
"131","MARIAN","Tinian","Tinian",2017,"Forereef","Mid",6
"132","MARIAN","Tinian","Tinian",2017,"Forereef","Shallow",4
"133","MARIAN","Tinian","Tinian",2022,"Forereef","Deep",5
"134","MARIAN","Tinian","Tinian",2022,"Forereef","Mid",7
"135","MARIAN","Tinian","Tinian",2022,"Forereef","Shallow",3
"136","MHI","Hawaii","HAW_HAMAKUA",2013,"Forereef","Deep",1
"137","MHI","Hawaii","HAW_HAMAKUA",2013,"Forereef","Mid",2
"138","MHI","Hawaii","HAW_HAMAKUA",2013,"Forereef","Shallow",2
"139","MHI","Hawaii","HAW_HAMAKUA",2019,"Forereef","Deep",3
"140","MHI","Hawaii","HAW_HAMAKUA",2019,"Forereef","Mid",4
"141","MHI","Hawaii","HAW_HAMAKUA",2019,"Forereef","Shallow",4
"142","MHI","Hawaii","HAW_KONA",2013,"Forereef","Deep",2
"143","MHI","Hawaii","HAW_KONA",2013,"Forereef","Mid",2
"144","MHI","Hawaii","HAW_KONA",2013,"Forereef","Shallow",3
"145","MHI","Hawaii","HAW_KONA",2016,"Forereef","Deep",3
"146","MHI","Hawaii","HAW_KONA",2016,"Forereef","Mid",8
"147","MHI","Hawaii","HAW_KONA",2016,"Forereef","Shallow",7
"148","MHI","Hawaii","HAW_KONA",2019,"Forereef","Deep",7
"149","MHI","Hawaii","HAW_KONA",2019,"Forereef","Mid",11
"150","MHI","Hawaii","HAW_KONA",2019,"Forereef","Shallow",9
"151","MHI","Hawaii","HAW_KONA",2024,"Forereef","Deep",2
"152","MHI","Hawaii","HAW_PUNA",2013,"Forereef","Deep",3
"153","MHI","Hawaii","HAW_PUNA",2013,"Forereef","Mid",5
"154","MHI","Hawaii","HAW_PUNA",2013,"Forereef","Shallow",1
"155","MHI","Hawaii","HAW_PUNA",2016,"Forereef","Deep",2
"156","MHI","Hawaii","HAW_PUNA",2016,"Forereef","Mid",4
"157","MHI","Hawaii","HAW_PUNA",2016,"Forereef","Shallow",2
"158","MHI","Hawaii","HAW_PUNA",2019,"Forereef","Deep",3
"159","MHI","Hawaii","HAW_PUNA",2019,"Forereef","Mid",5
"160","MHI","Hawaii","HAW_PUNA",2019,"Forereef","Shallow",3
"161","MHI","Hawaii","HAW_SE",2013,"Forereef","Deep",1
"162","MHI","Hawaii","HAW_SE",2013,"Forereef","Mid",1
"163","MHI","Hawaii","HAW_SE",2013,"Forereef","Shallow",1
"164","MHI","Hawaii","HAW_SE",2016,"Forereef","Deep",1
"165","MHI","Hawaii","HAW_SE",2016,"Forereef","Mid",2
"166","MHI","Hawaii","HAW_SE",2016,"Forereef","Shallow",2
"167","MHI","Kahoolawe","KAH_NORTH",2016,"Forereef","Deep",2
"168","MHI","Kahoolawe","KAH_NORTH",2016,"Forereef","Mid",2
"169","MHI","Kahoolawe","KAH_NORTH",2016,"Forereef","Shallow",2
"170","MHI","Kahoolawe","KAH_NORTH",2019,"Forereef","Deep",1
"171","MHI","Kahoolawe","KAH_NORTH",2019,"Forereef","Mid",2
"172","MHI","Kahoolawe","KAH_NORTH",2019,"Forereef","Shallow",1
"173","MHI","Kahoolawe","KAH_NORTH",2024,"Forereef","Mid",5
"174","MHI","Kahoolawe","KAH_SOUTH",2016,"Forereef","Mid",2
"175","MHI","Kahoolawe","KAH_SOUTH",2016,"Forereef","Shallow",3
"176","MHI","Kahoolawe","KAH_SOUTH",2019,"Forereef","Deep",2
"177","MHI","Kahoolawe","KAH_SOUTH",2019,"Forereef","Mid",2
"178","MHI","Kahoolawe","KAH_SOUTH",2019,"Forereef","Shallow",2
"179","MHI","Kauai","KAU_EAST",2013,"Forereef","Deep",3
"180","MHI","Kauai","KAU_EAST",2013,"Forereef","Mid",2
"181","MHI","Kauai","KAU_EAST",2013,"Forereef","Shallow",2
"182","MHI","Kauai","KAU_EAST",2013,NA,"Mid",1
"183","MHI","Kauai","KAU_EAST",2016,"Forereef","Deep",3
"184","MHI","Kauai","KAU_EAST",2016,"Forereef","Mid",6
"185","MHI","Kauai","KAU_EAST",2016,"Forereef","Shallow",2
"186","MHI","Kauai","KAU_EAST",2019,"Forereef","Deep",4
"187","MHI","Kauai","KAU_EAST",2019,"Forereef","Mid",5
"188","MHI","Kauai","KAU_EAST",2019,"Forereef","Shallow",1
"189","MHI","Kauai","KAU_NAPALI",2013,"Forereef","Deep",2
"190","MHI","Kauai","KAU_NAPALI",2013,"Forereef","Mid",2
"191","MHI","Kauai","KAU_NAPALI",2013,"Forereef","Shallow",3
"192","MHI","Kauai","KAU_NAPALI",2016,"Forereef","Deep",2
"193","MHI","Kauai","KAU_NAPALI",2016,"Forereef","Mid",2
"194","MHI","Kauai","KAU_NAPALI",2016,"Forereef","Shallow",2
"195","MHI","Kauai","KAU_NAPALI",2019,"Forereef","Deep",2
"196","MHI","Kauai","KAU_NAPALI",2019,"Forereef","Mid",2
"197","MHI","Kauai","KAU_NAPALI",2019,"Forereef","Shallow",1
"198","MHI","Lanai","LAN_NORTH",2013,"Forereef","Deep",1
"199","MHI","Lanai","LAN_NORTH",2013,"Forereef","Mid",3
"200","MHI","Lanai","LAN_NORTH",2013,"Forereef","Shallow",3
"201","MHI","Lanai","LAN_NORTH",2016,"Forereef","Mid",2
"202","MHI","Lanai","LAN_NORTH",2016,"Forereef","Shallow",2
"203","MHI","Lanai","LAN_NORTH",2019,"Forereef","Deep",1
"204","MHI","Lanai","LAN_NORTH",2019,"Forereef","Mid",3
"205","MHI","Lanai","LAN_NORTH",2019,"Forereef","Shallow",2
"206","MHI","Lanai","LAN_SOUTH",2013,"Forereef","Mid",3
"207","MHI","Lanai","LAN_SOUTH",2013,"Forereef","Shallow",4
"208","MHI","Lanai","LAN_SOUTH",2016,"Forereef","Deep",2
"209","MHI","Lanai","LAN_SOUTH",2016,"Forereef","Mid",6
"210","MHI","Lanai","LAN_SOUTH",2016,"Forereef","Shallow",3
"211","MHI","Lanai","LAN_SOUTH",2019,"Forereef","Deep",3
"212","MHI","Lanai","LAN_SOUTH",2019,"Forereef","Mid",7
"213","MHI","Lanai","LAN_SOUTH",2019,"Forereef","Shallow",4
"214","MHI","Maui","Lahaina",2015,"Forereef","Mid",4
"215","MHI","Maui","Lahaina",2015,"Forereef","Shallow",16
"216","MHI","Maui","MAI_KIHEI",2013,"Forereef","Mid",2
"217","MHI","Maui","MAI_KIHEI",2013,"Forereef","Shallow",1
"218","MHI","Maui","MAI_KIHEI",2016,"Forereef","Deep",2
"219","MHI","Maui","MAI_KIHEI",2016,"Forereef","Mid",2
"220","MHI","Maui","MAI_KIHEI",2016,"Forereef","Shallow",3
"221","MHI","Maui","MAI_KIHEI",2019,"Forereef","Deep",3
"222","MHI","Maui","MAI_KIHEI",2019,"Forereef","Mid",3
"223","MHI","Maui","MAI_KIHEI",2019,"Forereef","Shallow",2
"224","MHI","Maui","MAI_KIHEI",2024,"Forereef","Shallow",1
"225","MHI","Maui","MAI_LAHAINA",2013,"Forereef","Shallow",1
"226","MHI","Maui","MAI_LAHAINA",2014,"Forereef","Deep",9
"227","MHI","Maui","MAI_LAHAINA",2014,"Forereef","Shallow",9
"228","MHI","Maui","MAI_LAHAINA",2016,"Forereef","Deep",1
"229","MHI","Maui","MAI_LAHAINA",2016,"Forereef","Mid",1
"230","MHI","Maui","MAI_LAHAINA",2016,"Forereef","Shallow",2
"231","MHI","Maui","MAI_LAHAINA",2019,"Forereef","Deep",2
"232","MHI","Maui","MAI_LAHAINA",2019,"Forereef","Mid",4
"233","MHI","Maui","MAI_LAHAINA",2019,"Forereef","Shallow",4
"234","MHI","Maui","MAI_NE",2013,"Forereef","Deep",1
"235","MHI","Maui","MAI_NE",2013,"Forereef","Mid",1
"236","MHI","Maui","MAI_NE",2013,"Forereef","Shallow",2
"237","MHI","Maui","MAI_NE",2016,"Forereef","Deep",1
"238","MHI","Maui","MAI_NE",2016,"Forereef","Mid",2
"239","MHI","Maui","MAI_NE",2016,"Forereef","Shallow",1
"240","MHI","Maui","MAI_NE",2019,"Forereef","Deep",1
"241","MHI","Maui","MAI_NE",2019,"Forereef","Mid",2
"242","MHI","Maui","MAI_NE",2019,"Forereef","Shallow",1
"243","MHI","Maui","MAI_NE",2024,"Forereef","Mid",1
"244","MHI","Maui","MAI_SE",2019,"Forereef","Deep",2
"245","MHI","Maui","MAI_SE",2019,"Forereef","Mid",2
"246","MHI","Maui","MAI_SE",2019,"Forereef","Shallow",2
"247","MHI","Molokai","MOL_NW",2019,"Forereef","Deep",1
"248","MHI","Molokai","MOL_NW",2019,"Forereef","Mid",1
"249","MHI","Molokai","MOL_PALI",2013,"Forereef","Deep",2
"250","MHI","Molokai","MOL_PALI",2013,"Forereef","Mid",3
"251","MHI","Molokai","MOL_PALI",2013,"Forereef","Shallow",3
"252","MHI","Molokai","MOL_PALI",2016,"Forereef","Deep",1
"253","MHI","Molokai","MOL_PALI",2016,"Forereef","Mid",1
"254","MHI","Molokai","MOL_PALI",2016,"Forereef","Shallow",1
"255","MHI","Molokai","MOL_PALI",2019,"Forereef","Deep",1
"256","MHI","Molokai","MOL_PALI",2019,"Forereef","Mid",2
"257","MHI","Molokai","MOL_PALI",2019,"Forereef","Shallow",2
"258","MHI","Molokai","MOL_SOUTH",2013,"Forereef","Deep",2
"259","MHI","Molokai","MOL_SOUTH",2013,"Forereef","Mid",2
"260","MHI","Molokai","MOL_SOUTH",2013,"Forereef","Shallow",2
"261","MHI","Molokai","MOL_SOUTH",2016,"Forereef","Deep",1
"262","MHI","Molokai","MOL_SOUTH",2016,"Forereef","Mid",1
"263","MHI","Molokai","MOL_SOUTH",2016,"Forereef","Shallow",1
"264","MHI","Molokai","MOL_SOUTH",2019,"Forereef","Deep",2
"265","MHI","Molokai","MOL_SOUTH",2019,"Forereef","Mid",4
"266","MHI","Molokai","MOL_SOUTH",2019,"Forereef","Shallow",4
"267","MHI","Molokai","MOL_WEST",2013,"Forereef","Deep",2
"268","MHI","Molokai","MOL_WEST",2013,"Forereef","Mid",2
"269","MHI","Molokai","MOL_WEST",2013,"Forereef","Shallow",3
"270","MHI","Molokai","MOL_WEST",2013,"Mid",NA,1
"271","MHI","Molokai","MOL_WEST",2016,"Forereef","Deep",1
"272","MHI","Molokai","MOL_WEST",2016,"Forereef","Mid",2
"273","MHI","Molokai","MOL_WEST",2016,"Forereef","Shallow",2
"274","MHI","Molokai","MOL_WEST",2019,"Forereef","Deep",2
"275","MHI","Molokai","MOL_WEST",2019,"Forereef","Mid",1
"276","MHI","Molokai","MOL_WEST",2019,"Forereef","Shallow",1
"277","MHI","Molokai","MOL_WEST",2024,"Forereef","Deep",1
"278","MHI","Niihau","NII_EAST",2013,"Forereef","Deep",1
"279","MHI","Niihau","NII_EAST",2013,"Forereef","Mid",3
"280","MHI","Niihau","NII_EAST",2019,"Forereef","Deep",1
"281","MHI","Niihau","NII_LEHUA",2013,"Forereef","Deep",2
"282","MHI","Niihau","NII_LEHUA",2013,"Forereef","Mid",2
"283","MHI","Niihau","NII_LEHUA",2013,"Forereef","Shallow",2
"284","MHI","Niihau","NII_LEHUA",2019,"Forereef","Mid",2
"285","MHI","Niihau","NII_LEHUA",2019,"Forereef","Shallow",1
"286","MHI","Niihau","NII_LEHUA",2024,"Forereef","Mid",1
"287","MHI","Niihau","NII_WEST",2013,"Forereef","Deep",1
"288","MHI","Niihau","NII_WEST",2013,"Forereef","Mid",2
"289","MHI","Niihau","NII_WEST",2013,"Forereef","Shallow",4
"290","MHI","Niihau","NII_WEST",2016,"Forereef","Deep",1
"291","MHI","Niihau","NII_WEST",2016,"Forereef","Mid",2
"292","MHI","Niihau","NII_WEST",2016,"Forereef","Shallow",2
"293","MHI","Niihau","NII_WEST",2019,"Forereef","Deep",1
"294","MHI","Niihau","NII_WEST",2019,"Forereef","Mid",4
"295","MHI","Niihau","NII_WEST",2024,"Forereef","Deep",1
"296","MHI","Oahu","OAH_EAST",2013,"Forereef","Deep",2
"297","MHI","Oahu","OAH_EAST",2013,"Forereef","Mid",2
"298","MHI","Oahu","OAH_EAST",2013,"Forereef","Shallow",2
"299","MHI","Oahu","OAH_EAST",2016,"Forereef","Deep",2
"300","MHI","Oahu","OAH_EAST",2016,"Forereef","Mid",2
"301","MHI","Oahu","OAH_EAST",2016,"Forereef","Shallow",2
"302","MHI","Oahu","OAH_EAST",2024,"Forereef","Deep",2
"303","MHI","Oahu","OAH_EAST",2024,"Forereef","Mid",1
"304","MHI","Oahu","OAH_KAENA",2016,"Forereef","Deep",2
"305","MHI","Oahu","OAH_KAENA",2016,"Forereef","Mid",2
"306","MHI","Oahu","OAH_KAENA",2016,"Forereef","Shallow",2
"307","MHI","Oahu","OAH_KAENA",2019,"Forereef","Deep",2
"308","MHI","Oahu","OAH_KAENA",2019,"Forereef","Mid",2
"309","MHI","Oahu","OAH_KAENA",2019,"Forereef","Shallow",3
"310","MHI","Oahu","OAH_KAENA",2024,"Forereef","Mid",1
"311","MHI","Oahu","OAH_NE",2013,"Forereef","Deep",2
"312","MHI","Oahu","OAH_NE",2013,"Forereef","Mid",6
"313","MHI","Oahu","OAH_NE",2013,"Forereef","Shallow",4
"314","MHI","Oahu","OAH_NE",2016,"Forereef","Deep",1
"315","MHI","Oahu","OAH_NE",2016,"Forereef","Mid",2
"316","MHI","Oahu","OAH_NE",2016,"Forereef","Shallow",2
"317","MHI","Oahu","OAH_NE",2019,"Forereef","Deep",2
"318","MHI","Oahu","OAH_NE",2019,"Forereef","Mid",2
"319","MHI","Oahu","OAH_NE",2024,"Forereef","Shallow",3
"320","MHI","Oahu","OAH_NORTH",2013,"Forereef","Deep",2
"321","MHI","Oahu","OAH_NORTH",2013,"Forereef","Mid",2
"322","MHI","Oahu","OAH_NORTH",2013,"Forereef","Shallow",2
"323","MHI","Oahu","OAH_NORTH",2016,"Forereef","Deep",2
"324","MHI","Oahu","OAH_NORTH",2016,"Forereef","Mid",2
"325","MHI","Oahu","OAH_NORTH",2016,"Forereef","Shallow",2
"326","MHI","Oahu","OAH_NORTH",2019,"Forereef","Deep",3
"327","MHI","Oahu","OAH_NORTH",2019,"Forereef","Mid",4
"328","MHI","Oahu","OAH_NORTH",2019,"Forereef","Shallow",2
"329","MHI","Oahu","OAH_SOUTH",2013,"Forereef","Deep",4
"330","MHI","Oahu","OAH_SOUTH",2013,"Forereef","Mid",5
"331","MHI","Oahu","OAH_SOUTH",2013,"Forereef","Shallow",8
"332","MHI","Oahu","OAH_SOUTH",2016,"Forereef","Deep",2
"333","MHI","Oahu","OAH_SOUTH",2016,"Forereef","Mid",4
"334","MHI","Oahu","OAH_SOUTH",2016,"Forereef","Shallow",3
"335","MHI","Oahu","OAH_SOUTH",2019,"Forereef","Deep",3
"336","MHI","Oahu","OAH_SOUTH",2019,"Forereef","Mid",6
"337","MHI","Oahu","OAH_SOUTH",2019,"Forereef","Shallow",7
"338","NWHI","French Frigate","French Frigate",2014,"Backreef","Shallow",1
"339","NWHI","French Frigate","French Frigate",2014,"Forereef","Deep",2
"340","NWHI","French Frigate","French Frigate",2014,"Forereef","Mid",2
"341","NWHI","French Frigate","French Frigate",2014,"Forereef","Shallow",2
"342","NWHI","French Frigate","French Frigate",2014,"Lagoon","Shallow",2
"343","NWHI","French Frigate","French Frigate",2014,"Protected Slope","Mid",1
"344","NWHI","French Frigate","French Frigate",2015,"Forereef","Deep",1
"345","NWHI","French Frigate","French Frigate",2015,"Forereef","Mid",3
"346","NWHI","French Frigate","French Frigate",2015,"Forereef","Shallow",2
"347","NWHI","French Frigate","French Frigate",2016,"Forereef","Deep",3
"348","NWHI","French Frigate","French Frigate",2016,"Forereef","Mid",6
"349","NWHI","French Frigate","French Frigate",2016,"Forereef","Shallow",4
"350","NWHI","French Frigate","French Frigate",2016,"Lagoon","Mid",2
"351","NWHI","French Frigate","French Frigate",2016,"Lagoon","Shallow",4
"352","NWHI","French Frigate","French Frigate",2016,"Protected Slope","Deep",3
"353","NWHI","French Frigate","French Frigate",2016,"Protected Slope","Mid",4
"354","NWHI","French Frigate","French Frigate",2017,"Forereef","Mid",4
"355","NWHI","French Frigate","French Frigate",2017,"Forereef","Shallow",1
"356","NWHI","French Frigate","French Frigate",2017,"Lagoon","Mid",2
"357","NWHI","French Frigate","French Frigate",2017,"Lagoon","Shallow",1
"358","NWHI","French Frigate","French Frigate",2017,"Protected Slope","Deep",3
"359","NWHI","French Frigate","French Frigate",2024,"Forereef","Shallow",1
"360","NWHI","French Frigate","French Frigate",2024,"Lagoon","Mid",1
"361","NWHI","French Frigate","French Frigate",2024,"Protected Slope","Deep",1
"362","NWHI","Kure","Kure",2015,"Forereef","Deep",2
"363","NWHI","Kure","Kure",2015,"Forereef","Mid",2
"364","NWHI","Kure","Kure",2015,"Forereef","Shallow",2
"365","NWHI","Kure","Kure",2016,"Forereef","Deep",5
"366","NWHI","Kure","Kure",2016,"Forereef","Mid",7
"367","NWHI","Kure","Kure",2016,"Forereef","Shallow",7
"368","NWHI","Kure","Kure",2017,"Forereef","Mid",2
"369","NWHI","Kure","Kure",2017,"Forereef","Shallow",2
"370","NWHI","Kure","Kure",2024,"Forereef","Deep",5
"371","NWHI","Laysan","Laysan",2015,"Forereef","Deep",2
"372","NWHI","Laysan","Laysan",2015,"Forereef","Mid",3
"373","NWHI","Laysan","Laysan",2017,"Forereef","Deep",4
"374","NWHI","Laysan","Laysan",2017,"Forereef","Mid",2
"375","NWHI","Laysan","Laysan",2017,"Forereef","Shallow",2
"376","NWHI","Lisianski","Lisianski",2014,"Forereef","Deep",3
"377","NWHI","Lisianski","Lisianski",2014,"Forereef","Mid",4
"378","NWHI","Lisianski","Lisianski",2014,"Forereef","Shallow",3
"379","NWHI","Lisianski","Lisianski",2015,"Forereef","Deep",3
"380","NWHI","Lisianski","Lisianski",2015,"Forereef","Mid",6
"381","NWHI","Lisianski","Lisianski",2015,"Forereef","Shallow",2
"382","NWHI","Lisianski","Lisianski",2016,"Forereef","Deep",4
"383","NWHI","Lisianski","Lisianski",2016,"Forereef","Mid",6
