"METHOD","SITEVISITID","SITE","Adult_Shannon","Adult_Simpson","Adult_Hills","Adult_Richness","Juv_Shannon","Juv_Simpson","Juv_Hills","Juv_Richness","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","GENSPratio_Adult","logGENSPratio_Adult","GENSPratio_Juv","logGENSPratio_Juv"
"Diver",51203,"ROS-05197",1.69544375388428,0.776528925619835,5.44906347186548,9,0.673011667009257,0.48,1.96013170420779,2,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Shallow",-14.538404,-168.171917,5.486132277,5.790917403,18.4925,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",74,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.864406779661017,-0.145711811181394,NA,NA
"Diver",51205,"ROS-05229",1.90031939212554,0.783313503866746,6.68803020537112,11,1.21670634727526,0.5888,3.37604986571654,6,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",1.12987012987013,0.1221026968009,NA,NA
"Diver",51230,"ROS-05225",1.68482928112137,0.763094455402148,5.39153041775012,9,1.65103295986863,0.78,5.21236120727445,7,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.547523,-168.13826,11.88661993,13.10576044,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",1.05263157894737,0.0512932943875505,NA,NA
"Diver",51232,"ROS-05248",2.30287766346081,0.87583273740073,10.0029261326968,16,1.71173274104937,0.791666666666667,5.53855004098629,7,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Deep",-14.535757,-168.163022,19.5062481,20.42060347,16.5025,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",66,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.495412844036697,-0.702363835664869,11,2.39789527279837
"Diver",51235,"ROS-05198",1.37935195588048,0.697997223874678,3.9723265503413,7,1.14905969697062,0.617283950617284,3.15522464708129,4,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Shallow",-14.537266,-168.16764,3.352636391,4.571776897,18.4925,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",74,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.835820895522388,-0.179340928655817,NA,NA
"Diver",51240,"OFU-01324",2.70475156253052,0.91757886616209,14.9506019393904,23,2.46941450874177,0.901765504753282,11.8155269383359,14,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep",-14.192098,-169.616921,20.7253886,21.33495885,303.685,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1215,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",0.780487804878049,-0.247836163904581,22.5,3.11351530921037
"Diver",51241,"OFU-01322",2.40503012475413,0.861008284023669,11.0787640222018,22,2.36485051141641,0.887811634349031,10.6424477741479,13,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.18306,-169.625283,9.143553795,9.448338921,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.06603773584906,0.725632635704434,NA,NA
"Diver",51244,"OFU-01359",2.44310252417014,0.886454021589157,11.5086914039266,17,1.81398581786688,0.767313019390582,6.13485116488944,10,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep",-14.189727,-169.671141,23.46845474,24.38281012,303.685,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1215,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.36363636363636,0.860201265223112,NA,NA
"Diver",51245,"OFU-01340",2.3424262046499,0.849670198961938,10.4064541462911,20,2.43673092962214,0.891136228435455,11.4355958035766,15,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.18225,-169.678984,11.58183481,11.88661993,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.94202898550725,1.07909947444453,NA,NA
"Diver",51246,"OFU-01342",2.37933564888926,0.860484693877551,10.7977269986232,24,2.07497800706626,0.802595997836668,7.96437129721838,13,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.173434,-169.684613,9.143553795,10.66747943,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.88888888888889,1.06087196068526,NA,NA
"Diver",51260,"TAU-01322",2.71594306879952,0.920210333790581,15.1188614773548,21,2.01615371726138,0.84,7.50938609374818,9,2023,"SAMOA","Tau","TAU_SANCTUARY","Forereef","Deep",-14.273143,-169.495454,19.81103322,20.7253886,24.1775,"Tau","TAU_SANCTUARY","Tau","NOT","NOT","NOT","TAU_SANCTUARY","TAU","TAU",NA,"MPA",97,"TAU_MPA","NOT","TAU_SANCTUARY","Area calculated from 50*50 grids",0.572815533980582,-0.557191544323916,9,2.19722457733622
"Diver",51262,"TAU-01341",2.4597314200065,0.876960519199567,11.7016682839003,19,2.30007677726454,0.881632653061225,9.97494827465801,12,2023,"SAMOA","Tau","TAU_SANCTUARY","Forereef","Mid",-14.249653,-169.504868,11.58183481,13.71533069,71.735,"Tau","TAU_SANCTUARY","Tau","NOT","NOT","NOT","TAU_SANCTUARY","TAU","TAU",NA,"MPA",287,"TAU_MPA","NOT","TAU_SANCTUARY","Area calculated from 50*50 grids",1.12345679012346,0.116410351844411,34,3.52636052461616
"Diver",51263,"TAU-01321",2.72739071819216,0.910612244897959,15.2929313472188,24,2.19355404308352,0.863905325443787,8.96702574531272,12,2023,"SAMOA","Tau","TAU_SANCTUARY","Forereef","Deep",-14.252967,-169.503459,20.42060347,21.03017373,24.1775,"Tau","TAU_SANCTUARY","Tau","NOT","NOT","NOT","TAU_SANCTUARY","TAU","TAU",NA,"MPA",97,"TAU_MPA","NOT","TAU_SANCTUARY","Area calculated from 50*50 grids",0.866666666666667,-0.143100843640673,38,3.63758615972639
"Diver",51280,"TUT-05961",2.54581867099307,0.898381649927635,12.7536648688204,19,1.73265872019921,0.781065088757396,5.65567078289921,7,2023,"SAMOA","Tutuila","TUT_SW_OPEN","Forereef","Deep",-14.340092,-170.791304,22.55409936,23.46845474,266.2,"TUT_STH","TUT_SW_OPEN","Tutuila","NOT","NOT","TUT_SW_OPEN","TUT_SW_OPEN","TUT","TUT",NA,"OPEN",1034,"TUT_OPEN","TUT_SW","TUT_SW_OPEN","",1.09722222222222,0.0927817334509663,NA,NA
"Diver",51281,"TUT-05876",1.45535394475098,0.634027777777778,4.28600020444045,10,0.936888307539016,0.567901234567901,2.55202792428089,3,2023,"SAMOA","Tutuila","TUT_SW_OPEN","Forereef","Mid",-14.330245,-170.8126,8.229198415,10.66747943,227.5,"TUT_STH","TUT_SW_OPEN","Tutuila","NOT","NOT","TUT_SW_OPEN","TUT_SW_OPEN","TUT","TUT",NA,"OPEN",799,"TUT_OPEN","TUT_SW","TUT_SW_OPEN","",0.538461538461538,-0.619039208406224,NA,NA
"Diver",51304,"TUT-05997",2.05898130987288,0.824792243767313,7.83798126795045,13,1.5498260458782,0.775510204081633,4.71065067421325,5,2023,"SAMOA","Tutuila","TUT_NW_OPEN","Forereef","Deep",-14.300914,-170.823822,18.28710759,20.11581835,257.7,"TUT_NTH","TUT_NW_OPEN","Tutuila","NOT","NOT","TUT_NW","TUT_NW_OPEN","TUT","TUT",NA,"OPEN",1031,"TUT_OPEN","TUT_NW","TUT_NW_OPEN","",1.71428571428571,0.538996500732687,NA,NA
"Diver",51307,"TUT-05690",2.18673908546579,0.860215053763441,8.90612360336903,13,0.796311640173813,0.448979591836735,2.21734745227321,3,2023,"SAMOA","Tutuila","TUT_NW_OPEN","Forereef","Shallow",-14.291769,-170.780676,3.962206644,5.790917403,130.4,"TUT_NTH","TUT_NW_OPEN","Tutuila","NOT","NOT","TUT_NW","TUT_NW_OPEN","TUT","TUT",NA,"OPEN",522,"TUT_OPEN","TUT_NW","TUT_NW_OPEN","",1.51351351351351,0.414433778090925,NA,NA
"Diver",51321,"TUT-05930",1.45427702001275,0.667030940509528,4.28138698928087,11,1.47080847632211,0.74,4.35275281648062,5,2023,"SAMOA","Tutuila","TUT_NE_OPEN","Forereef","Mid",-14.252287,-170.652265,7.010057909,7.924413289,425,"TUT_NTH","TUT_NE_OPEN","Tutuila","NOT","NOT","TUT_NE","TUT_NE_OPEN","TUT","TUT",NA,"OPEN",1094,"TUT_OPEN","TUT_NE","TUT_NE_OPEN","",5.36842105263158,1.68053383411783,NA,NA
"Diver",51442,"TUT-05795",1.84722493094057,0.762100046990474,6.3421950500958,13,1.30952583530407,0.711111111111111,3.70441679204656,4,2023,"SAMOA","Tutuila","TUT_FAGATELE","Forereef","Mid",-14.364058,-170.761836,6.400487656,7.924413289,20.2,"TUT_STH","TUT_FAGATELE","Tutuila","NOT","NOT","TUT_SW_OPEN","TUT_FAGATELE","TUT","TUT",NA,"FAGA",81,"TUT_FAGA","TUT_FAGALUA_FAGATELE","TUT_FAGALUA_FAGATELE","",1.18571428571429,0.170345365747239,NA,NA
"SfM",51120,"SWA-00964",0.866091390107955,0.41959825698799,2.37759955911371,6,1.09861228866811,0.666666666666667,3,3,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Mid",-11.066912,-171.083491,14.9344712,16.1536117,41.80811022,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",167,"SWA_MPA","NOT","SWA_SANCTUARY","",9.77777777777778,2.28011223714199,NA,NA
"SfM",51125,"SWA-00975",0.456857169886518,0.256965673857979,1.57910332463441,3,0.379534925581095,0.1789802289282,1.46160467639585,3,2023,"SAMOA","Swains","SWA_OPEN","Forereef","Mid",-11.061945,-171.067737,8.533983542,9.448338921,15.6128307,"Swains","SWA_OPEN","Swains","NOT","NOT","NOT","SWA_OPEN","SWA","SWA",NA,"OPEN",62,"SWA_OPEN","NOT","SWA_OPEN","",5.6875,1.73827078427707,14.5,2.67414864942653
"SfM",51140,"SWA-00995",1.27705875448081,0.591251402018907,3.58607666698171,7,1.26500137527307,0.694444444444444,3.54309760883236,4,2023,"SAMOA","Swains","SWA_OPEN","Forereef","Mid",-11.057687,-171.091441,17.37275221,18.28710759,15.6128307,"Swains","SWA_OPEN","Swains","NOT","NOT","NOT","SWA_OPEN","SWA","SWA",NA,"OPEN",62,"SWA_OPEN","NOT","SWA_OPEN","",2.29166666666667,0.829279354884525,1,0
"SfM",51143,"SWA-00938",1.33133715966355,0.66859375,3.78610262802506,8,1.69574253416963,0.8,5.45069178784675,6,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Shallow",-11.047027,-171.084079,4.571776897,5.486132277,118.5523679,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",474,"SWA_MPA","NOT","SWA_SANCTUARY","",1.35294117647059,0.302280871872934,2,0.693147180559945
"SfM",51160,"SWA-00989",1.70484144434297,0.77398471903346,5.50051346054093,9,1.17134352246309,0.551508844953174,3.22632436725013,6,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Deep",-11.046284,-171.081534,23.16366961,23.77323987,9.371844797,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",37,"SWA_MPA","NOT","SWA_SANCTUARY","",0.181159420289855,-1.708377860289,0.347826086956522,-1.05605267424931
"SfM",51164,"SWA-00977",0.896943405783083,0.370334634445858,2.45209658056479,9,1.41476304038054,0.685871056241427,4.1155111404677,7,2023,"SAMOA","Swains","SWA_SANCTUARY","Forereef","Deep",-11.04716,-171.069025,20.42060347,22.24931423,9.371844797,"Swains","SWA_SANCTUARY","Swains","NOT","NOT","NOT","SWA_SANCTUARY","SWA","SWA",NA,"MPA",37,"SWA_MPA","NOT","SWA_SANCTUARY","",5.56521739130435,1.71653604799047,1.36363636363636,0.310154928303839
"SfM",51184,"TAU-01327",1.41255941339471,0.639333356675187,4.1064520741255,9,1.07338362033651,0.650519031141868,2.9252607451053,3,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Deep",-14.248955,-169.418086,22.85888449,24.38281012,179.335,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",717,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",0.0496894409937888,-3.00196282330463,0.0625,-2.77258872223978
"SfM",51185,"TAU-01306",2.54085020577511,0.901654488956076,12.690455884368,19,1.21488965394912,0.666666666666667,3.36992218619932,4,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Mid",-14.241813,-169.419129,11.88661993,13.71533069,494.905,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",1980,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",0.56198347107438,-0.576282840420634,NA,NA
"SfM",51186,"TAU-01294",2.07933230326992,0.804236693507969,7.99912614045102,17,1.30860538725345,0.708333333333333,3.70100863758682,4,2023,"SAMOA","Tau","TAU_OPEN","Forereef","Mid",-14.211412,-169.434351,8.229198415,8.533983542,494.905,"Tau","TAU_OPEN","Tau","NOT","NOT","NOT","TAU_OPEN","TAU","TAU","NOT","OPEN",1980,"TAU_OPEN","NOT","TAU_OPEN","Area calculated from 50*50 grids",3.80555555555556,1.33646198737201,NA,NA
"SfM",51200,"ROS-05250",1.65148063212105,0.764183673469388,5.21469515914029,10,0.498758465912883,0.2208,1.64667559719186,4,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Deep",-14.559759,-168.15997,18.89667784,19.81103322,16.5025,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",66,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.458333333333333,-0.780158557549575,24,3.17805383034795
"SfM",51203,"ROS-05197",1.5911866879827,0.767489711934156,4.90957160241542,7,0.693147180559945,0.5,2,2,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Shallow",-14.538404,-168.171917,5.486132277,5.790917403,18.4925,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",74,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.542857142857143,-0.610909082322973,3,1.09861228866811
"SfM",51205,"ROS-05229",1.59390387067647,0.725303883251461,4.92292994571817,10,1.13457254772458,0.527777777777778,3.10984394888423,6,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",1.0875,0.083881483980702,NA,NA
"SfM",51230,"ROS-05225",1.49982626992267,0.731844623756802,4.48091053377887,8,1.59496997820499,0.744082840236686,4.92818111705492,8,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.547523,-168.13826,11.88661993,13.10576044,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",1.02777777777778,0.0273989741881143,NA,NA
"SfM",51232,"ROS-05248",2.16411397339522,0.859363265306123,8.70688396736208,14,2.01981499249295,0.859504132231405,7.53693041596068,8,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Deep",-14.535757,-168.163022,19.5062481,20.42060347,16.5025,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",66,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.446280991735537,-0.806806499032467,NA,NA
"SfM",51235,"ROS-05198",1.35220378188056,0.699617346938776,3.8659358291636,7,0.864740096527637,0.5390625,2.37438889385715,3,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Shallow",-14.537266,-168.16764,3.352636391,4.571776897,18.4925,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",74,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids",0.555555555555556,-0.587786664902119,NA,NA
"SfM",51240,"OFU-01324",2.68893647936556,0.91576646090535,14.7160168074922,23,2.45822245205744,0.894557823129252,11.6840241570682,15,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep",-14.192098,-169.616921,20.7253886,21.33495885,303.685,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1215,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",0.963636363636364,-0.0370412716803491,9.25,2.22462355152433
"SfM",51241,"OFU-01322",2.32019759833803,0.837949104799814,10.1776852010728,21,2.36530455590187,0.851836734693878,10.6472810160419,17,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.18306,-169.625283,9.143553795,9.448338921,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.83695652173913,1.04273183027365,34,3.52636052461616
"SfM",51244,"OFU-01359",2.54545242092116,0.884603611876339,12.7489946934233,21,2.17495501312955,0.8576,8.80178914833274,11,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep",-14.189727,-169.671141,23.46845474,24.38281012,303.685,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1215,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",0.867924528301887,-0.141650517063027,24,3.17805383034795
"SfM",51245,"OFU-01340",2.44428492813277,0.880276124578636,11.5223073744496,21,2.15103659673058,0.845872899926954,8.59376204727493,12,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.18225,-169.678984,11.58183481,11.88661993,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",2.03658536585366,0.711274565152502,6.4,1.85629799036563
"SfM",51246,"OFU-01342",2.49351853212798,0.868311087670899,12.1037888553315,25,2.05723924323401,0.800453514739229,7.82433886870192,14,2023,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid",-14.173434,-169.684613,9.143553795,10.66747943,369.0125,"Ofu & Olosega","Ofu & Olosega","Ofu & Olosega","NOT","NOT","NOT","Ofu & Olosega","OFU","OFU","NOT","OPEN",1476,"OFU_OPEN","NOT","Ofu & Olosega","Area calculated from 50*50 grids",3.61764705882353,1.28582383075626,40,3.68887945411394
"SfM",51260,"TAU-01322",2.63660707074819,0.917793964620187,13.9657383679365,19,1.82556350857023,0.790123456790123,6.20629133226623,8,2023,"SAMOA","Tau","TAU_SANCTUARY","Forereef","Deep",-14.273143,-169.495454,19.81103322,20.7253886,24.1775,"Tau","TAU_SANCTUARY","Tau","NOT","NOT","NOT","TAU_SANCTUARY","TAU","TAU",NA,"MPA",97,"TAU_MPA","NOT","TAU_SANCTUARY","Area calculated from 50*50 grids",0.565656565656566,-0.569768159399441,8,2.07944154167984
"SfM",51262,"TAU-01341",2.56941027096057,0.895449447203974,13.0581214164095,19,2.20933253140755,0.872008324661811,9.10963396878963,11,2023,"SAMOA","Tau","TAU_SANCTUARY","Forereef","Mid",-14.249653,-169.504868,11.58183481,13.71533069,71.735,"Tau","TAU_SANCTUARY","Tau","NOT","NOT","NOT","TAU_SANCTUARY","TAU","TAU",NA,"MPA",287,"TAU_MPA","NOT","TAU_SANCTUARY","Area calculated from 50*50 grids",1.32352941176471,0.280301965154158,2.1,0.741937344729377
