"METHOD","SITE","SITEVISITID","TRANSECTAREA_ad","GENUS_CODE","AdColCount","AdColDen","TRANSECTAREA_j","JuvColCount","JuvColDen","Ave.size","Ave.od","Ave.rd","Predation","AcuteDZ","ChronicDZ","BLE","AcuteDZ_prev","BLE_prev","ChronicDZ_prev","Adpres.abs","Juvpres.abs","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","DB_RZ","STRATANAME","ANALYSIS_SCHEMA","DOMAIN_SCHEMA","ANALYSIS_YEAR"
"SfM","ROS-05229",51205,9.5,"FUSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"GASP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"GONS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"GOSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"HERS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"HESP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"HYSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"ISSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"LEPS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"LEPT",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"LESP",2,0.210526315789474,3,1,0.333333333333333,6.9982896339732,1.5,0,0,0,0,0,0,0,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"LOBS",5,0.526315789473684,3,0,0,9.19293028433026,9,0,0,0,0,0,0,0,0,1,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"MESP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"MISP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"MOSP",74,7.78947368421053,3,16,5.33333333333333,15.5774797111305,8.7972972972973,0.0405405405405405,0.105263157894737,0,0,0,0,0,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"MYSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"OUSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"OXSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"PAVS",34,3.57894736842105,3,2,0.666666666666667,20.2166816079477,12.4705882352941,0,0,0,0,0,0,0,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"PHSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"PLSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"POCS",27,2.84210526315789,3,1,0.333333333333333,13.0006854980521,7.85185185185185,0.592592592592593,0.315789473684211,0,0,0.210526315789474,0,7.40740740740741,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"POSP",0,0,3,1,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"PSSP",1,0.105263157894737,3,0,0,5.3667215064221,0,0,0,0,0,0,0,0,0,1,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"SASP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"SCAS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"STSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"STYS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"TURS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"UNKN",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
"SfM","ROS-05229",51205,9.5,"SSSS",166,17.4736842105263,3,24,8,15.7343941859842,8.80120481927711,0.114457831325301,0.421052631578947,0,0,0.210526315789474,0,1.20481927710843,0,1,1,2023,"SAMOA","Rose","ROS_SANCTUARY","Forereef","Mid",-14.55352,-168.142964,16.76318196,17.67753734,85.3,"Rose","ROS_SANCTUARY","ROS_SANCTUARY","NOT","NOT","NOT","ROS_SANCTUARY","ROS","ROS",NA,"MPA",341,"ROS_MPA","NOT","ROS_SANCTUARY","Area calculated from 50*50 grids","Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY_Mid_Forereef","ROS_SANCTUARY",2023
