REGION,REP_CARD,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,bA_BENTHIC_REP_CARD,bBENTHIC_SEC_CODE,bGEN_MHI_STRUCTURE,bPROTECTION_DS,AREA_HA,NH,MARIAN_2017,ASRAMP_2018,NOTES
MARIAN,CNMI_UNPOP,Alamagan,Alamagan,Forereef,Mid,ALA,ALA,NOT,OPEN,162.4144779,650,ALA_OPEN,Alamagan,
MARIAN,CNMI_UNPOP,Alamagan,Alamagan,Forereef,Shallow,ALA,ALA,NOT,OPEN,71.071876,284,ALA_OPEN,Alamagan,
MARIAN,NOT,Anatahan,Anatahan,Forereef,Deep,Ana,Ana,NA,NA,393.9252048,NA,Ana,Anatahan,"Assume average size island, assume dms each 1/3"
MARIAN,NOT,Anatahan,Anatahan,Forereef,Mid,Ana,Ana,NA,NA,393.9252048,NA,Ana,Anatahan,"Assume average size island, assume dms each 1/3"
MARIAN,NOT,Anatahan,Anatahan,Forereef,Shallow,Ana,Ana,NA,NA,393.9252048,NA,Ana,Anatahan,"Assume average size island, assume dms each 1/3"
MARIAN,NOT,Arakane,Arakane,Forereef,Deep,Arakane,Arakane,NA,NA,24.5959461,NA,Arakane,Arakane,
MARIAN,NOT,Arakane,Arakane,Forereef,Mid,Arakane,Arakane,NA,NA,23.2565184,NA,Arakane,Arakane,
MARIAN,MTMNM,Asuncion,Asuncion,Forereef,Deep,ASC,ASC,NOT,MTMM,64.03633046,256,ASC_MPA,Asuncion,
MARIAN,MTMNM,Asuncion,Asuncion,Forereef,Mid,ASC,ASC,NOT,MTMM,130.7967187,523,ASC_MPA,Asuncion,
MARIAN,MTMNM,Asuncion,Asuncion,Forereef,Shallow,ASC,ASC,NOT,MTMM,53.77229254,215,ASC_MPA,Asuncion,
MARIAN,NOT,Farallon de Medenilla,Farallon de Medenilla,Forereef,Deep,Farallon de Medenilla,Farallon de Medenilla,NA,NA,78.47331358,NA,Farallon de Medenilla_NA,Farallon de Medenilla,
MARIAN,NOT,Farallon de Medenilla,Farallon de Medenilla,Forereef,Mid,Farallon de Medenilla,Farallon de Medenilla,NA,NA,52.80542635,NA,Farallon de Medenilla_NA,Farallon de Medenilla,
MARIAN,NOT,Farallon de Medenilla,Farallon de Medenilla,Forereef,Shallow,Farallon de Medenilla,Farallon de Medenilla,NA,NA,20.23990304,NA,Farallon de Medenilla_NA,Farallon de Medenilla,
MARIAN,MTMNM,Farallon de Pajaros,Farallon de Pajaros,Forereef,Deep,FDP,FDP,NOT,MTMM,36.860822,147,FDP_MPA,Farallon de Pajaros,
MARIAN,MTMNM,Farallon de Pajaros,Farallon de Pajaros,Forereef,Mid,FDP,FDP,NOT,MTMM,68.68271,275,FDP_MPA,Farallon de Pajaros,
MARIAN,MTMNM,Farallon de Pajaros,Farallon de Pajaros,Forereef,Shallow,FDP,FDP,NOT,MTMM,32.916547,132,FDP_MPA,Farallon de Pajaros,
MARIAN,NOT,Galvez,Galvez,Forereef,Deep,Galvez,Galvez,NA,NA,15.29549096,NA,Galvez,Galvez,
MARIAN,GUAM_MP,Guam,GUA_ACHANG,Forereef,Deep,GUA_EAST_MPA,GUA_EAST,NOT,ACHG,13.75,55,GUA_EAST_ALL,GUA_ACHANG,
MARIAN,GUAM_MP,Guam,GUA_ACHANG,Forereef,Mid,GUA_EAST_MPA,GUA_EAST,NOT,ACHG,59.25,237,GUA_EAST_ALL,GUA_ACHANG,
MARIAN,GUAM_MP,Guam,GUA_ACHANG,Forereef,Shallow,GUA_EAST_MPA,GUA_EAST,NOT,ACHG,33.25,133,GUA_EAST_ALL,GUA_ACHANG,
MARIAN,GUAM_EAST_OPEN,Guam,GUA_EAST_OPEN,Forereef,Deep,GUA_EAST_OPEN,GUA_EAST,NOT,OPEN,664.5,2658,GUA_EAST_ALL,GUA_EAST_OPEN,
MARIAN,GUAM_EAST_OPEN,Guam,GUA_EAST_OPEN,Forereef,Mid,GUA_EAST_OPEN,GUA_EAST,NOT,OPEN,1027.25,4109,GUA_EAST_ALL,GUA_EAST_OPEN,
MARIAN,GUAM_EAST_OPEN,Guam,GUA_EAST_OPEN,Forereef,Shallow,GUA_EAST_OPEN,GUA_EAST,NOT,OPEN,421.5,1686,GUA_EAST_ALL,GUA_EAST_OPEN,
MARIAN,NOT,Guam,GUA_HARBOR,Forereef,Deep,GUA_WEST_OPEN,GUA_HAR_WEST,NOT,OPEN,3.81,15,GUA_WEST_ALL,GUA_HARBOR,
MARIAN,NOT,Guam,GUA_HARBOR,Forereef,Mid,GUA_WEST_OPEN,GUA_HAR_WEST,NOT,OPEN,38.29,153,GUA_WEST_ALL,GUA_HARBOR,
MARIAN,NOT,Guam,GUA_HARBOR,Forereef,Shallow,GUA_WEST_OPEN,GUA_HAR_WEST,NOT,OPEN,95.17,381,GUA_WEST_ALL,GUA_HARBOR,
MARIAN,GUAM_WEST_OPEN,Guam,GUA_WEST_OPEN,Forereef,Deep,GUA_WEST_OPEN,GUA_WEST,NOT,OPEN,438.75,1755,GUA_WEST_ALL,GUA_WEST_OPEN,
MARIAN,GUAM_WEST_OPEN,Guam,GUA_WEST_OPEN,Forereef,Mid,GUA_WEST_OPEN,GUA_WEST,NOT,OPEN,1035,4140,GUA_WEST_ALL,GUA_WEST_OPEN,
MARIAN,GUAM_WEST_OPEN,Guam,GUA_WEST_OPEN,Forereef,Shallow,GUA_WEST_OPEN,GUA_WEST,NOT,OPEN,756.5,3026,GUA_WEST_ALL,GUA_WEST_OPEN,
MARIAN,GUAM_MP,Guam,GUA_PATI_POINT,Forereef,Deep,GUA_EAST_MPA,GUA_EAST,NOT,PATI,155.25,621,GUA_EAST_ALL,GUA_PATI_POINT,
MARIAN,GUAM_MP,Guam,GUA_PATI_POINT,Forereef,Mid,GUA_EAST_MPA,GUA_EAST,NOT,PATI,159,636,GUA_EAST_ALL,GUA_PATI_POINT,
MARIAN,GUAM_MP,Guam,GUA_PATI_POINT,Forereef,Shallow,GUA_EAST_MPA,GUA_EAST,NOT,PATI,36.25,145,GUA_EAST_ALL,GUA_PATI_POINT,
MARIAN,GUAM_MP,Guam,GUA_PITI_BOMB,Forereef,Deep,GUA_WEST_MPA,GUA_WEST,NOT,PITI,18.5,74,GUA_WEST_ALL,GUA_PITI_BOMB,
MARIAN,GUAM_MP,Guam,GUA_PITI_BOMB,Forereef,Mid,GUA_WEST_MPA,GUA_WEST,NOT,PITI,40.25,161,GUA_WEST_ALL,GUA_PITI_BOMB,
MARIAN,GUAM_MP,Guam,GUA_PITI_BOMB,Forereef,Shallow,GUA_WEST_MPA,GUA_WEST,NOT,PITI,23.5,94,GUA_WEST_ALL,GUA_PITI_BOMB,
MARIAN,NOT,Guam,GUA_SASA_BAY,Forereef,Mid,GUA_WEST_MPA,GUA_HAR_WEST,NOT,SASA,2.54,10,GUA_WEST_ALL,GUA_SASA_BAY,
MARIAN,NOT,Guam,GUA_SASA_BAY,Forereef,Shallow,GUA_WEST_MPA,GUA_HAR_WEST,NOT,SASA,61.82,247,GUA_WEST_ALL,GUA_SASA_BAY,
MARIAN,GUAM_MP,Guam,GUA_TUMON,Forereef,Deep,GUA_WEST_MPA,GUA_WEST,NOT,TUMB,27.75,111,GUA_WEST_ALL,GUA_TUMON,
MARIAN,GUAM_MP,Guam,GUA_TUMON,Forereef,Mid,GUA_WEST_MPA,GUA_WEST,NOT,TUMB,71.75,287,GUA_WEST_ALL,GUA_TUMON,
MARIAN,GUAM_MP,Guam,GUA_TUMON,Forereef,Shallow,GUA_WEST_MPA,GUA_WEST,NOT,TUMB,131,524,GUA_WEST_ALL,GUA_TUMON,
MARIAN,CNMI_UNPOP,Guguan,Guguan,Forereef,Deep,GUG,GUG,NOT,OPEN,69.60776909,278,GUG_OPEN,Guguan,
MARIAN,CNMI_UNPOP,Guguan,Guguan,Forereef,Mid,GUG,GUG,NOT,OPEN,73.0388079,292,GUG_OPEN,Guguan,
MARIAN,CNMI_UNPOP,Guguan,Guguan,Forereef,Shallow,GUG,GUG,NOT,OPEN,57.31867709,229,GUG_OPEN,Guguan,
MARIAN,MTMNM,Maug,Maug,Forereef,Deep,MAU,MAU,NOT,MTMM,87.73461767,351,MAU_MPA,Maug,
MARIAN,MTMNM,Maug,Maug,Forereef,Mid,MAU,MAU,NOT,MTMM,190.6950207,763,MAU_MPA,Maug,
MARIAN,MTMNM,Maug,Maug,Forereef,Shallow,MAU,MAU,NOT,MTMM,35.44106339,142,MAU_MPA,Maug,
MARIAN,CNMI_UNPOP,Pagan,Pagan,Forereef,Deep,PAG,PAG,NOT,OPEN,571.3645349,2285,PAG_OPEN,Pagan,
MARIAN,CNMI_UNPOP,Pagan,Pagan,Forereef,Mid,PAG,PAG,NOT,OPEN,492.5006185,1970,PAG_OPEN,Pagan,
MARIAN,CNMI_UNPOP,Pagan,Pagan,Forereef,Shallow,PAG,PAG,NOT,OPEN,449.0588004,1796,PAG_OPEN,Pagan,
MARIAN,NOT,Pathfinder,Pathfinder,Forereef,Deep,Pathfinder,Pathfinder,NA,NA,33.67386448,NA,Pathfinder,Pathfinder,
MARIAN,NOT,Pathfinder,Pathfinder,Forereef,Mid,Pathfinder,Pathfinder,NA,NA,46.89481662,NA,Pathfinder,Pathfinder,
MARIAN,Rota,Rota,Rota,Forereef,Deep,ROT,ROT,NOT,OPEN,187.5332091,750,ROT_OPEN,Rota,
MARIAN,Rota,Rota,Rota,Forereef,Mid,ROT,ROT,NOT,OPEN,254.5438529,1018,ROT_OPEN,Rota,
MARIAN,Rota,Rota,Rota,Forereef,Shallow,ROT,ROT,NOT,OPEN,889.2950898,3557,ROT_OPEN,Rota,
MARIAN,SaTiAg,Saipan,Saipan,Backreef,Deep,SAI,SAI,NOT,OPEN,0.102749263,2391,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Backreef,Mid,SAI,SAI,NOT,OPEN,0.838950538,2391,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Backreef,Shallow,SAI,SAI,NOT,OPEN,596.76696,2391,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Forereef,Deep,SAI,SAI,NOT,OPEN,1985.586578,7942,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Forereef,Mid,SAI,SAI,NOT,OPEN,1132.596536,4530,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Forereef,Shallow,SAI,SAI,NOT,OPEN,420.8277658,1683,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Lagoon,Mid,SAI,SAI,NOT,OPEN,170.5443267,682,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,Lagoon,Shallow,SAI,SAI,NOT,OPEN,412.3027837,1649,SAI_OPEN,Saipan,
MARIAN,SaTiAg,Saipan,Saipan,OTHER,OTHER,SAI,SAI,NOT,OPEN,126.9930931,NA,SAI_OPEN,Saipan,
MARIAN,NOT,Santa Rosa,Santa Rosa,Forereef,Deep,Santa Rosa,Santa Rosa,NA,NA,2262.645102,NA,Santa Rosa,Santa Rosa,
MARIAN,NOT,Santa Rosa,Santa Rosa,Forereef,Mid,Santa Rosa,Santa Rosa,NA,NA,1288.462096,NA,Santa Rosa,Santa Rosa,
MARIAN,CNMI_UNPOP,Sarigan,Sarigan,Forereef,Deep,SAR,SAR,NOT,OPEN,88.30851333,353,SAR_OPEN,Sarigan,
MARIAN,CNMI_UNPOP,Sarigan,Sarigan,Forereef,Mid,SAR,SAR,NOT,OPEN,29.81657193,119,SAR_OPEN,Sarigan,
MARIAN,CNMI_UNPOP,Sarigan,Sarigan,Forereef,Shallow,SAR,SAR,NOT,OPEN,79.43434663,318,SAR_OPEN,Sarigan,
MARIAN,NOT,Supply Reef,Supply Reef,Forereef,Deep,Supply Reef,Supply Reef,NA,NA,8.705859815,NA,Supply Reef,Supply Reef,
MARIAN,NOT,Supply Reef,Supply Reef,Forereef,Mid,Supply Reef,Supply Reef,NA,NA,1.192725779,NA,Supply Reef,Supply Reef,
MARIAN,NOT,Tatsumi,Tatsumi,Forereef,Deep,Tatsumi,Tatsumi,NA,NA,88.09014362,NA,Tatsumi,Tatsumi,
MARIAN,NOT,Tatsumi,Tatsumi,Forereef,Mid,Tatsumi,Tatsumi,NA,NA,136.1279988,NA,Tatsumi,Tatsumi,
MARIAN,SaTiAg,Tinian,Tinian,Forereef,Deep,TIN,TIN,NOT,OPEN,557.103082,2228,TIN_OPEN,Tinian,
MARIAN,SaTiAg,Tinian,Tinian,Forereef,Mid,TIN,TIN,NOT,OPEN,534.0549959,2136,TIN_OPEN,Tinian,
MARIAN,SaTiAg,Tinian,Tinian,Forereef,Shallow,TIN,TIN,NOT,OPEN,323.0482252,1292,TIN_OPEN,Tinian,
MHI,Hawaii,Hawaii,HAW_HAMAKUA,Forereef,Deep,HAW_CM,HAW_HA,CM,OPEN,1479.311358,5917,,HAW_HAMAKUA,Not much hard/soft information
MHI,Hawaii,Hawaii,HAW_HAMAKUA,Forereef,Mid,HAW_CM,HAW_HA,CM,OPEN,2334.19033,9337,,HAW_HAMAKUA,Not much hard/soft information
MHI,Hawaii,Hawaii,HAW_HAMAKUA,Forereef,Shallow,HAW_CM,HAW_HA,CM,OPEN,1117.329716,4469,,HAW_HAMAKUA,Not much hard/soft information
MHI,Hawaii,Hawaii,HAW_KONA,Forereef,Deep,HAW_CR,HAW_KO,CR,OPEN,1546.877064,6188,,HAW_KONA,
MHI,Hawaii,Hawaii,HAW_KONA,Forereef,Mid,HAW_CR,HAW_KO,CR,OPEN,2362.718917,9451,,HAW_KONA,
MHI,Hawaii,Hawaii,HAW_KONA,Forereef,Shallow,HAW_CR,HAW_KO,CR,OPEN,1817.863584,7271,,HAW_KONA,
MHI,Hawaii,Hawaii,HAW_PUNA,Forereef,Deep,HAW_CM,HAW_PU,CM,OPEN,1446.862405,5787,,HAW_PUNA,
MHI,Hawaii,Hawaii,HAW_PUNA,Forereef,Mid,HAW_CM,HAW_PU,CM,OPEN,1603.885128,6416,,HAW_PUNA,
MHI,Hawaii,Hawaii,HAW_PUNA,Forereef,Shallow,HAW_CM,HAW_PU,CM,OPEN,1012.92738,4052,,HAW_PUNA,
MHI,Hawaii,Hawaii,HAW_SE,Forereef,Deep,HAW_CM,HAW_SE,CM,OPEN,593.4841055,2374,,HAW_SE,
MHI,Hawaii,Hawaii,HAW_SE,Forereef,Mid,HAW_CM,HAW_SE,CM,OPEN,857.7582457,3431,,HAW_SE,
MHI,Hawaii,Hawaii,HAW_SE,Forereef,Shallow,HAW_CM,HAW_SE,CM,OPEN,666.5433106,2666,,HAW_SE,
MHI,Maui-nui,Kahoolawe,KAH_NORTH,Forereef,Deep,KAH_CR,KAH_NO,CR,OPEN,200,811,,KAH_NORTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Maui-nui,Kahoolawe,KAH_NORTH,Forereef,Mid,KAH_CR,KAH_NO,CR,OPEN,200,811,,KAH_NORTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Maui-nui,Kahoolawe,KAH_NORTH,Forereef,Shallow,KAH_CR,KAH_NO,CR,OPEN,200,811,,KAH_NORTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Maui-nui,Kahoolawe,KAH_SOUTH,Forereef,Deep,KAH_CR,KAH_SO,CR,OPEN,200,944,,KAH_SOUTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Maui-nui,Kahoolawe,KAH_SOUTH,Forereef,Mid,KAH_CR,KAH_SO,CR,OPEN,200,944,,KAH_SOUTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Maui-nui,Kahoolawe,KAH_SOUTH,Forereef,Shallow,KAH_CR,KAH_SO,CR,OPEN,200,944,,KAH_SOUTH,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kaa-Nii,Kauai,KAU_EAST,Forereef,Deep,KAU_SI,KAU_EA,SI,OPEN,2891.111917,11564,,KAU_EAST,
MHI,Kaa-Nii,Kauai,KAU_EAST,Forereef,Mid,KAU_SI,KAU_EA,SI,OPEN,5602.631417,22411,,KAU_EAST,
MHI,Kaa-Nii,Kauai,KAU_EAST,Forereef,Shallow,KAU_SI,KAU_EA,SI,OPEN,3051.65048,12207,,KAU_EAST,
MHI,Kaa-Nii,Kauai,KAU_NAPALI,Forereef,Deep,KAU_SI,KAU_NA,SI,OPEN,4307.948554,17232,,KAU_NAPALI,
MHI,Kaa-Nii,Kauai,KAU_NAPALI,Forereef,Mid,KAU_SI,KAU_NA,SI,OPEN,1876.001023,7504,,KAU_NAPALI,
MHI,Kaa-Nii,Kauai,KAU_NAPALI,Forereef,Shallow,KAU_SI,KAU_NA,SI,OPEN,397.7237848,1591,,KAU_NAPALI,
MHI,Kaa-Nii,Kaula,KAL_KAULA,Forereef,Deep,KAL_SI,KAL_AL,SI,OPEN,277.0347708,1108,,KAL_KAULA,
MHI,Kaa-Nii,Kaula,KAL_KAULA,Forereef,Mid,KAL_SI,KAL_AL,SI,OPEN,50.28867577,201,,KAL_KAULA,
MHI,Kaa-Nii,Kaula,KAL_KAULA,Forereef,Shallow,KAL_SI,KAL_AL,SI,OPEN,18.50064904,74,,KAL_KAULA,
MHI,Maui-nui,Lanai,LAN_NORTH,Forereef,Deep,LAN_CR,LAN_NO,CR,OPEN,291.3020737,1165,,LAN_NORTH,
MHI,Maui-nui,Lanai,LAN_NORTH,Forereef,Mid,LAN_CR,LAN_NO,CR,OPEN,599.9003844,2400,,LAN_NORTH,
MHI,Maui-nui,Lanai,LAN_NORTH,Forereef,Shallow,LAN_CR,LAN_NO,CR,OPEN,631.8075072,2527,,LAN_NORTH,
MHI,Maui-nui,Lanai,LAN_SOUTH,Forereef,Deep,LAN_CM,LAN_SO,CM,OPEN,246.6043512,986,,LAN_SOUTH,
MHI,Maui-nui,Lanai,LAN_SOUTH,Forereef,Mid,LAN_CM,LAN_SO,CM,OPEN,487.9877445,1952,,LAN_SOUTH,
MHI,Maui-nui,Lanai,LAN_SOUTH,Forereef,Shallow,LAN_CM,LAN_SO,CM,OPEN,746.0718328,2984,,LAN_SOUTH,
MHI,Maui-nui,Maui,MAI_HANA,Forereef,Deep,MAI_CM,MAI_HA,CM,OPEN,225.5929875,902,,MAI_HANA,
MHI,Maui-nui,Maui,MAI_HANA,Forereef,Mid,MAI_CM,MAI_HA,CM,OPEN,258.3916816,1034,,MAI_HANA,
MHI,Maui-nui,Maui,MAI_HANA,Forereef,Shallow,MAI_CM,MAI_HA,CM,OPEN,190.0864145,760,,MAI_HANA,
MHI,Maui-nui,Maui,MAI_KAHULUI,Forereef,Deep,MAI_CM,MAI_KA,CM,OPEN,438.345922,1753,,MAI_KAHULUI,
MHI,Maui-nui,Maui,MAI_KAHULUI,Forereef,Mid,MAI_CM,MAI_KA,CM,OPEN,850.0936376,3400,,MAI_KAHULUI,
MHI,Maui-nui,Maui,MAI_KAHULUI,Forereef,Shallow,MAI_CM,MAI_KA,CM,OPEN,1099.201993,4397,,MAI_KAHULUI,
MHI,Maui-nui,Maui,MAI_KIHEI,Forereef,Deep,MAI_CM,MAI_KI,CM,OPEN,537.9614588,2152,,MAI_KIHEI,
MHI,Maui-nui,Maui,MAI_KIHEI,Forereef,Mid,MAI_CM,MAI_KI,CM,OPEN,682.5282166,2730,,MAI_KIHEI,
MHI,Maui-nui,Maui,MAI_KIHEI,Forereef,Shallow,MAI_CM,MAI_KI,CM,OPEN,650.0680159,2600,,MAI_KIHEI,
MHI,Maui-nui,Maui,MAI_LAHAINA,Forereef,Deep,MAI_SI,MAI_LA,SI,OPEN,287.1615845,1149,,MAI_LAHAINA,
MHI,Maui-nui,Maui,MAI_LAHAINA,Forereef,Mid,MAI_SI,MAI_LA,SI,OPEN,483.9295632,1936,,MAI_LAHAINA,
MHI,Maui-nui,Maui,MAI_LAHAINA,Forereef,Shallow,MAI_SI,MAI_LA,SI,OPEN,439.3470347,1757,,MAI_LAHAINA,
MHI,Maui-nui,Maui,MAI_MOLOKINI,Forereef,Deep,MAI_CR,MAI_MO,CR,OPEN,6.25,NA,,MAI_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MHI,Maui-nui,Maui,MAI_MOLOKINI,Forereef,Mid,MAI_CR,MAI_MO,CR,OPEN,12.5,NA,,MAI_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MHI,Maui-nui,Maui,MAI_MOLOKINI,Forereef,Shallow,MAI_CR,MAI_MO,CR,OPEN,6.25,NA,,MAI_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MHI,Maui-nui,Maui,MAI_NE,Forereef,Deep,MAI_CM,MAI_NE,CM,OPEN,883.3579854,3533,,MAI_NE,
MHI,Maui-nui,Maui,MAI_NE,Forereef,Mid,MAI_CM,MAI_NE,CM,OPEN,926.711758,3707,,MAI_NE,
MHI,Maui-nui,Maui,MAI_NE,Forereef,Shallow,MAI_CM,MAI_NE,CM,OPEN,481.2408332,1925,,MAI_NE,
MHI,Maui-nui,Maui,MAI_NW,Forereef,Deep,MAI_CM,MAI_NW,CM,OPEN,315.7175228,1263,,MAI_NW,
MHI,Maui-nui,Maui,MAI_NW,Forereef,Mid,MAI_CM,MAI_NW,CM,OPEN,287.74445,1151,,MAI_NW,
MHI,Maui-nui,Maui,MAI_NW,Forereef,Shallow,MAI_CM,MAI_NW,CM,OPEN,176.1167662,704,,MAI_NW,
MHI,Maui-nui,Maui,MAI_SE,Forereef,Deep,MAI_CM,MAI_SE,CM,OPEN,788.37286,3153,,MAI_SE,
MHI,Maui-nui,Maui,MAI_SE,Forereef,Mid,MAI_CM,MAI_SE,CM,OPEN,690.2023226,2761,,MAI_SE,
MHI,Maui-nui,Maui,MAI_SE,Forereef,Shallow,MAI_CM,MAI_SE,CM,OPEN,405.0121276,1620,,MAI_SE,
MHI,Maui-nui,Molokai,MOL_NW,Forereef,Deep,MOL_SI,MOL_NW,SI,OPEN,733.1293957,2933,,MOL_NW,
