"COLONYID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Length","SEGAREA"
238,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"ACAS",0,"EM",0,-1,0,0,0.047786801,1
239,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"PHSP",0,"EM",0,-1,0,0,0.032521331,1
240,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.026208979,1
241,"JC",2022,"RA2201","MAU-1222","A","15",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.023249187,1
243,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"PCHI",0,"EM",0,-1,0,0,0.034446643,1
244,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.018897881,1
245,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.040415936,1
246,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.036764216,1
248,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.025457446,1
249,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"PPRO",0,"EM",0,-1,0,0,0.029273274,1
250,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.024568103,1
253,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"GASP",0,"EM",0,-1,0,0,0.034821531,1
254,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.023832087,1
255,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"BR",0,-1,0,0,0.040925302,1
256,"JC",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",-1,"BR",0,-1,-1,0,0.028773364,1
313,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"PHSP",0,"EM",0,-1,0,0,0.044857003,1
314,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"POSP",0,"EM",0,-1,0,0,0.045954299,1
315,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.016330183,1
316,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.030044048,1
317,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"GONS",0,"EM",0,-1,0,0,0.026759285,1
318,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.036655708,1
319,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.040628682,1
320,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"POSP",0,"EM",0,-1,0,0,0.024650818,1
321,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.036213306,1
322,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.012580015,1
323,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.023190291,1
324,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.040775072,1
325,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.033436315,1
326,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.040567602,1
327,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.037328334,1
329,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.025140965,1
331,"MSL",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.016135369,1
394,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,"EM",0,-1,0,0,0.027174485,1
395,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PHSP",0,"EM",0,-1,0,0,0.026600318,1
396,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,"KN",0,-1,0,0,0.024441926,1
397,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.024376181,1
398,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.010147137,1
399,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.026198684,1
405,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.022358224,1
406,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.030105851,1
416,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.044450414,1
419,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.018957551,1
421,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"MD",0,-1,0,0,0.038408923,1
422,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.020198864,1
426,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"MD",0,-1,0,0,0.023508512,1
437,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.023175385,1
442,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,"CO",0,-1,0,0,0.040441028,1
483,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.029113127,1
484,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.022186326,1
490,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"UNKN",0,"MD",0,-1,0,0,0.028194371,1
495,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"FASP",0,"EM",0,-1,0,0,0.024030602,1
500,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.017979984,1
504,"NBO",2022,"RA2201","MAU-1222","A","15",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.010447045,1
547,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"FSTE",0,"EM",0,-1,0,0,0.040620775,1
549,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"ASTS",0,"EM",0,-1,0,0,0.024938569,1
550,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.016538263,1
551,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.016890272,1
553,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"FASP",0,"MD",0,-1,0,0,0.047444032,1
556,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"GPEC",0,"EM",0,-1,0,0,0.040880813,1
557,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.025533614,1
609,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.027119919,1
610,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.014045729,1
611,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.021140849,1
613,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.019401932,1
618,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"GONS",0,"EM",0,-1,0,0,0.019493931,1
639,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"GONS",0,"EM",0,-1,0,0,0.038364197,1
640,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"GASP",0,"EM",0,-1,0,0,0.026617279,1
641,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"GASP",0,"EM",0,-1,0,0,0.032015268,1
642,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"GASP",0,"EM",0,-1,0,0,0.019584931,1
647,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"FASP",0,"MD",0,-1,0,0,0.027357937,1
663,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"POCS",0,"EM",0,-1,0,0,0.017064301,1
664,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.02575088,1
665,"JC",2022,"RA2201","PAG-1323","A","5",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.01167117,1
666,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.019276247,1
667,"JC",2022,"RA2201","PAG-1323","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.027295023,1
673,"MSL",2022,"RA2201","PAG-1323","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.033237833,1
715,"MSL",2022,"RA2201","PAG-1323","A","5",1,1,0,"GASP",0,"EM",0,-1,0,0,0.025586646,1
739,"MSL",2022,"RA2201","PAG-1323","A","5",1,1,0,"GONS",0,"EM",0,-1,0,0,0.020893896,1
741,"MSL",2022,"RA2201","PAG-1323","A","0",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.042336726,1
751,"JC",2022,"RA2201","TIN-830","A","10",1,1,0,"GRET",0,"EM",0,-1,0,0,0.018591334,1
753,"JC",2022,"RA2201","TIN-830","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.040769603,1
780,"JC",2022,"RA2201","TIN-830","A","10",1,1,0,"LPUR",0,"EM",0,-1,0,0,0.01552839,1
783,"JC",2022,"RA2201","TIN-830","A","10",1,1,0,"MOSP",0,"EM",0,-1,0,0,0.021848482,1
799,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"EM",0,-1,0,0,0.022253814,1
810,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"MD",0,-1,0,0,0.017656349,1
811,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"LPUR",0,"EM",0,-1,0,0,0.040060462,1
840,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"GRET",0,"EM",0,-1,0,0,0.012243219,1
842,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"POSP",0,"EM",0,-1,0,0,0.013534638,1
843,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.009432262,1
844,"JC",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"MD",0,-1,0,0,0.048203978,1
847,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.04519697,1
852,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.033492798,1
853,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.009652992,1
854,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"EM",0,-1,0,0,0.048230497,1
858,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.032414715,1
864,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.045278377,1
866,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"POSP",0,"EM",0,-1,0,0,0.03308039,1
867,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"MOSP",0,"EM",0,-1,0,0,0.020731716,1
871,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.036139272,1
872,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.03022876,1
873,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"EM",0,-1,0,0,0.034491028,1
874,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"MOSP",0,"EM",0,-1,0,0,0.013246317,1
875,"MSL",2022,"RA2201","TIN-830","A","0",1,1,0,"GONS",0,"EM",0,-1,0,0,0.024570439,1
901,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.016212154,1
906,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.045888851,1
916,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"FASP",0,"EM",0,-1,0,0,0.048067921,1
919,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.04473383,1
920,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.01941224,1
921,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.024763922,1
922,"MSL",2022,"RA2201","TIN-830","A","10",1,1,0,"POSP",0,"EM",0,-1,0,0,0.020851387,1
926,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.029516908,1
927,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.036556267,1
928,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.033487983,1
929,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"GONS",0,"EM",0,-1,0,0,0.012123982,1
930,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.028270791,1
931,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.020172789,1
932,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.024840361,1
933,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.015632387,1
935,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.040714752,1
938,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"ACSP",0,"EM",0,-1,0,0,0.038837244,1
939,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.031031581,1
940,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.015160835,1
942,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.033433626,1
943,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.041034542,1
944,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.01829843,1
945,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"STYS",0,"BR",0,-1,0,0,0.046785892,1
946,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.009179417,1
947,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.04784072,1
948,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.007564904,1
949,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.033811719,1
950,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.021878787,1
951,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"POCS",0,"KN",0,-1,0,0,0.020629754,1
953,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.038516579,1
955,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.027248404,1
957,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"POCS",0,"KN",0,-1,0,0,0.032820579,1
958,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.017950609,1
959,"MSL",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.04007952,1
1021,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"FASP",0,"EM",0,-1,0,0,0.009385428,1
1022,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"CYPS",0,"EM",0,-1,0,0,0.046909276,1
1023,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"STYS",0,"KN",0,-1,0,0,0.036121001,1
1024,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"CYPS",0,"EM",0,-1,0,0,0.030011462,1
1025,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.034194481,1
1026,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.035423623,1
1027,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"LEPT",0,"EM",0,-1,0,0,0.038102617,1
1028,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.012026151,1
1029,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"CYPS",0,"EM",0,-1,0,0,0.039033805,1
1030,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"GONS",0,"EM",0,-1,0,0,0.049444949,1
1031,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"FASP",0,"EM",0,-1,0,0,0.023230812,1
1033,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.012293157,1
1034,"MSL",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.018918508,1
1036,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FMAT",0,"MD",0,-1,0,0,0.034636276,1
1038,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"LPUR",0,"EM",0,-1,0,0,0.023939441,1
1039,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FMAT",0,"EM",0,-1,0,0,0.02313039,1
1043,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.017262638,1
1044,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.008567556,1
1047,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.022299717,1
1048,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"PVAR",0,"EM",0,-1,0,0,0.043393868,1
1050,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FMAT",0,"EM",0,-1,0,0,0.032992745,1
1052,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"ASTS",0,"EM",0,-1,0,0,0.043335284,1
1055,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.019994656,1
1056,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FMAT",0,"EM",0,-1,0,0,0.024656615,1
1058,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"ACAS",0,"EM",0,-1,0,0,0.039262434,1
1060,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"MD",0,-1,0,0,0.039664271,1
1063,"NBO",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"EM",0,-1,0,0,0.024405688,1
1101,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.037525344,1
1102,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.013790313,1
1105,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"UNKN",0,"MD",0,-1,0,0,0.040608598,1
1106,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"ASTS",0,"MD",0,-1,0,0,0.030662061,1
1109,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"PVAR",0,"EM",0,-1,0,0,0.041695481,1
1110,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.033420445,1
1111,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"UNKN",0,"EM",0,-1,0,0,0.015148605,1
1115,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"CYPS",0,"MD",0,-1,0,0,0.041858461,1
1122,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.040240058,1
1125,"NBO",2022,"RA2201","TIN-891","A","5",1,1,0,"PAVS",0,"EM",0,-1,0,0,0.020218461,1
1166,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"FASP",0,"MD",0,-1,0,0,0.045898011,1
1176,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"LPUR",0,"EM",0,-1,0,0,0.046850878,1
1177,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"FASP",0,"EM",0,-1,0,0,0.010978409,1
1178,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"POCS",0,"EM",0,-1,0,0,0.013300096,1
1180,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"LPUR",0,"EM",0,-1,0,0,0.049866394,1
1181,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.029583599,1
1192,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"STYS",0,"BR",0,-1,0,0,0.040319682,1
1193,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"CYPS",0,"MD",0,-1,0,0,0.029630191,1
1194,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.040735908,1
1195,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"PSSP",0,"EM",0,-1,0,0,0.010601655,1
1196,"JC",2022,"RA2201","TIN-891","A","5",1,1,0,"PVAR",0,"EM",0,-1,0,0,0.03315359,1
1198,"JC",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"MD",0,-1,0,0,0.03387715,1
1199,"JC",2022,"RA2201","TIN-891","A","0",1,1,0,"FASP",0,"MD",0,-1,0,0,0.019565105,1
1201,"JC",2022,"RA2201","TIN-891","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.020078213,1
1202,"JC",2022,"RA2201","TIN-891","A","0",1,1,0,"POCS",0,"BR",0,-1,0,0,0.025498608,1
1203,"JC",2022,"RA2201","TIN-891","A","0",1,1,0,"ASSP",0,"EM",0,-1,0,0,0.013409967,1
