OID_,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,FRAGMENT,JUVENILE,REMNANT,OLD_DEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Length
21,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,5,MD,,,,,,,,,,,,,,,,0.07266236
22,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,80,MD,,,,,,,,,,,,,,,,0.293307626
23,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,PMEA,0,0,0,0,0,BR,,,,,,,,,,,,,,,,0.102459194
24,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,FASP,0,0,0,0,8,MD,,,,,,,,,,,,,,,,0.053190508
25,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,PPRO,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.052645108
26,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,ACSP,0,0,0,0,3,BR,,,,,,,,,,,,,,,,0.070628251
27,JC,2022,RA2201,GUA-2730,A,10,2.5,1,0,FASP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.008178292
28,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,45,MD,,,,,,,,,,,,,,,,0.119671458
29,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,-1,0,,MD,,,,,,,,,,,,,,,,0.038150544
30,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,PPRO,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.016862337
31,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,50,MD,,,,,,,,,,,,,,,,0.12016755
32,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,-1,0,5,MD,,,,,,,,,,,,,,,,0.041190163
33,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,FMAT,0,0,0,0,90,MD,,,,,,,,,,,,,,,,0.1034645
34,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,LEPT,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.016553648
35,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,POSP,0,0,0,0,15,EM,,,,,,,,,,,,,,,,0.052454268
36,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,ECHP,0,0,0,0,30,EM,,,,,,,,,,,,,,,,0.103412299
37,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,40,MD,,,,,,,,,,,,,,,,0.100897998
38,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,25,MD,,,,,,,,,,,,,,,,0.060340317
39,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,PLOB,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.071592757
40,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,65,MD,,,,,,,,,,,,,,,,0.091424247
41,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,FMAT,0,0,0,0,10,MD,,,,,,,,,,,,,,,,0.075057106
42,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,PLOB,0,0,-1,0,,MD,,,,,,,,,,,,,,,,0.020865457
43,JC,2022,RA2201,GUA-2730,A,15,2.5,1,0,LEPT,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.022209492
44,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,POCS,0,0,0,0,,BR,,,,,,,,,,,,,,,,0.104862838
45,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,FASP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.057671519
46,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.141757966
47,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,20,EM,,,,,,,,,,,,,,,,0.284115516
48,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.168807709
49,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.11094258
50,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.145308928
51,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,LPUR,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.087807329
52,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,ACSP,0,0,0,0,70,BR,,,,,,,,,,,,,,,,0.087588333
53,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,CYPS,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.116654272
54,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,POSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.056996635
55,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,CYSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.054675034
56,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,POCS,0,0,0,0,,BR,,,,,,,,,,,,,,,,0.059538904
57,MSL,2022,RA2201,GUA-2730,A,10,1,1,0,ASSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.043369848
58,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.061529571
59,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.058699725
60,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.153201844
61,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,PLOB,0,0,0,0,3,EM,,,,,,,,,,,,,,,,0.073145508
62,MSL,2022,RA2201,GUA-2730,A,10,1,1,0,ASSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.04003287
63,MSL,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.058356499
64,MSL,2022,RA2201,GUA-2730,A,10,1,1,0,CYPS,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.022135033
65,MSL,2022,RA2201,GUA-2730,A,10,1,1,0,FASP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.016416693
66,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,20,EM,,,,,,,,,,,,,,,,0.121840367
67,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,SYSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.01807906
68,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,LEPT,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.016474443
69,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,ASSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.046986206
70,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,FASP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.036872777
71,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,FASP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.061430643
72,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.131696799
73,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,CYPS,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.014466122
74,MSL,2022,RA2201,GUA-2730,A,15,1,1,0,ASSP,0,0,-1,0,,EM,,,,,,,,,,,,,,,,0.03830576
75,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,POSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.074535541
76,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.105174974
77,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,30,EM,,,,,,,,,,,,,,,,0.060469853
78,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.107059101
79,MSL,2022,RA2201,GUA-2730,A,15,2.5,1,0,STSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,0.059020389
80,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.062844277
81,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,UNKN,0,0,-1,0,0,EM,,,,,,,,,,,,,,,,0.020710335
82,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,POSP,0,0,0,0,15,EM,,,,,,,,,,,,,,,,0.06686305
83,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,80,EM,,,,,,,,,,,,,,,,0.105956789
84,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,30,EM,,,,,,,,,,,,,,,,0.049703496
85,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,PDAM,0,0,-1,0,0,BR,,,,,,,,,,,,,,,,0.047443829
86,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.049027497
87,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,POCS,0,0,0,0,0,BR,,,,,,,,,,,,,,,,0.053988475
88,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,15,MD,,,,,,,,,,,,,,,,0.1380206
89,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,UNKN,0,0,0,0,75,EM,,,,,,,,,,,,,,,,0.108386673
90,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,ACSP,0,0,0,0,75,BR,,,,,,,,,,,,,,,,0.082653475
91,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,50,MD,,,,,,,,,,,,,,,,0.230589737
92,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,POCS,0,0,0,0,0,BR,,,,,,,,,,,,,,,,0.105404533
93,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,FMAT,0,0,0,0,5,MD,,,,,,,,,,,,,,,,0.054611504
94,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,65,MD,,,,,,,,,,,,,,,,0.187301257
95,NBO,2022,RA2201,GUA-2730,A,10,2.5,1,0,AMYR,0,0,0,0,40,MD,,,,,,,,,,,,,,,,0.280997288
96,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,40,MD,,,,,,,,,,,,,,,,0.115665373
97,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,30,MD,,,,,,,,,,,,,,,,0.122032136
98,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,80,MD,,,,,,,,,,,,,,,,0.114678208
99,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,UNKN,0,0,0,0,0,EM,,,,,,,,,,,,,,,,0.054797656
100,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,TURS,0,0,0,0,45,EM,,,,,,,,,,,,,,,,0.10195897
101,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.060719864
102,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.100747996
103,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,AMYR,0,0,0,0,85,EM,,,,,,,,,,,,,,,,0.086626171
104,NBO,2022,RA2201,GUA-2730,A,15,2.5,1,0,UNKN,0,0,0,0,60,EM,,,,,,,,,,,,,,,,0.081230519
105,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PMEA,0,0,0,0,0,BR,,,,,,,,,,,,,,,,0.189263199
106,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.052708841
107,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,2,MD,,,,,,,,,,,,,,,,0.060605275
108,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,3,MD,,,,,,,,,,,,,,,,0.064253716
109,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,ACUR,0,0,0,,5,EM,,,,,,,,,,,,,,,,0.109667781
110,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PPRO,0,0,-1,0,60,EM,,,,,,,,,,,,,,,,0.04631753
111,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,AMYR,0,0,0,0,55,MD,,,,,,,,,,,,,,,,0.193941224
112,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,FASP,0,0,0,0,35,EM,,,,,,,,,,,,,,,,0.073910719
113,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,40,EM,,,,,,,,,,,,,,,,0.101137682
114,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,25,EM,,,,,,,,,,,,,,,,0.0499771
115,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,35,EM,,,,,,,,,,,,,,,,0.098316996
116,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,10,BR,,,,,,,,,,,,,,,,0.065293016
117,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,FASP,0,0,0,0,7,MD,,,,,,,,,,,,,,,,0.052166142
118,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,AMYR,0,0,0,0,1,EM,,,,,,,,,,,,,,,,0.078729846
119,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GASP,0,0,0,0,0,EM,,,,,,,,,,,,,,,,0.045569068
120,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,30,BR,,,,,,,,,,,,,,,,0.178965127
121,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GASP,0,0,0,0,7,EM,,,,,,,,,,,,,,,,0.06759857
122,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GASP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.067094717
123,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GASP,0,0,0,0,0,EM,,,,,,,,,,,,,,,,0.047275353
124,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,2,BR,,,,,,,,,,,,,,,,0.180434639
125,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,FSTE,0,0,0,0,3,MD,,,,,,,,,,,,,,,,0.077347879
126,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,1,EM,,,,,,,,,,,,,,,,0.084271303
127,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GASP,0,0,0,0,0,EM,,,,,,,,,,,,,,,,0.079710464
128,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,-1,0,0,0,60,BR,,,,,,,,,,,,,,,,0.221097715
129,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,65,EM,,,,,,,,,,,,,,,,0.068412694
130,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,40,BR,,,,,,,,,,,,,,,,0.164320464
131,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PMEA,0,0,0,0,5,BR,,,,,,,,,,,,,,,,0.062631626
132,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,-1,0,0,55,BR,,,,,,,,,,,,,,,,0.065926293
133,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,10,EM,,,,,,,ALG,5,,,,,,,,0.064424465
134,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PVAR,0,0,0,0,3,EM,,,,,,,,,,,,,,,,0.066110516
135,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,40,EM,,,,,,,BLE,75,2,,,,,,,0.128717155
136,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.085211517
137,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,85,EM,,,,,,,,,,,,,,,,0.25968354
138,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,3,MD,,,,,,,,,,,,,,,,0.064123106
139,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,15,BR,,,,,,,,,,,,,,,,0.266751894
140,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,70,EM,,,,,,,,,,,,,,,,0.1614665
141,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.086905886
142,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,AMYR,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.086717366
143,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,ACSP,0,0,0,0,65,BR,,,,,,,,,,,,,,,,0.364786438
144,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.055358323
145,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,8,BR,,,,,,,,,,,,,,,,0.181171588
146,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PMEA,0,0,0,0,5,BR,,,,,,,,,,,,,,,,0.116720573
147,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,-1,0,0,0,80,EM,,,,,,,,,,,,,,,,0.153218896
148,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PHSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.062791106
149,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,2,MD,,,,,,,,,,,,,,,,0.066580039
150,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,1,MD,,,,,,,,,,,,,,,,0.067786383
151,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,4,MD,,,,,,,,,,,,,,,,0.064415604
152,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,1,MD,,,,,,,,,,,,,,,,0.053044875
153,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,65,EM,,,,,,,,,,,,,,,,0.317626451
154,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,AMYR,0,0,0,0,8,MD,,,,,,,,,,,,,,,,0.165473166
155,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.097107673
156,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,FMAT,0,0,0,0,10,MD,,,,,,,,,,,,,,,,0.054364238
157,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,35,EM,,,,,,,,,,,,,,,,0.091772565
158,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,HCOE,0,0,0,0,30,BR,,,,,,,,,,,,,,,,0.107873911
159,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,STYS,0,0,0,0,5,BR,,,,,,,,,,,,,,,,0.204754312
160,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,PCHI,0,0,0,0,55,EM,,,,,,,,,,,,,,,,0.396869776
161,JC,2022,RA2201,MAU-1222,A,5,2.5,1,0,GEDW,0,0,0,0,90,MD,,,,,,,,,,,,,,,,0.109088426
162,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,FASP,0,0,0,0,10,MD,,,,,,,,,,,,,,,,0.065592862
163,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,GEDW,0,0,0,0,2,MD,,,,,,,,,,,,,,,,0.06792202
164,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PCHI,0,0,0,0,25,EM,,,,,,,,,,,,,,,,0.196477136
165,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,HCOE,0,-1,0,0,2,BR,,,,,,,,,,,,,,,,0.04884095
166,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,HCOE,0,-1,0,0,5,BR,,,,,,,,,,,,,,,,0.085490537
167,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,3,EM,,,,,,,,,,,,,,,,0.103903726
168,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,8,EM,,,,,,,,,,,,,,,,0.266492117
169,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PHSP,0,0,0,0,50,EM,,,,,,,,,,,,,,,,0.050265304
170,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PDUE,0,0,0,0,5,ML,,,,,,,,,,,,,,,,0.090198097
171,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PHSP,0,0,0,0,70,EM,,,,,,,,,,,,,,,,0.092137681
172,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PMEA,0,0,0,0,2,BR,,,,,,,,,,,,,,,,0.075445051
173,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,1,EM,,,,,,,,,,,,,,,,0.082995279
174,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PHSP,0,0,0,0,40,EM,,,,,,,,,,,,,,,,0.13149165
175,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,GEDW,0,0,0,0,0,EM,,,,,,,,,,,,,,,,0.04793697
176,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,GEDW,0,0,0,0,2,MD,,,,,,,,,,,,,,,,0.100368033
177,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,10,EM,,,,,,,,,,,,,,,,0.484978532
178,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,LPUR,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.097791489
179,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,HCOE,0,0,0,0,2,BR,,,,,,,,,,,,,,,,0.126567854
180,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,8,EM,PRED,5,,,,,,,,,,,,,,0.103448216
181,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PCHI,0,0,0,0,55,EM,,,,,,,,,,,,,,,,0.221913069
182,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PMEA,0,0,0,0,0,BR,,,,,,,,,,,,,,,,0.120568118
183,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PHSP,0,0,0,0,65,EM,,,,,,,,,,,,,,,,0.29435752
184,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,GEDW,0,0,0,0,10,MD,,,,,,,,,,,,,,,,0.084935293
185,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,POSP,0,0,0,0,70,MD,,,,,,,,,,,,,,,,0.119050835
186,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,HCOE,0,0,0,0,80,CO,,,,,,,,,,,,,,,,0.077444516
187,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PCHI,0,0,0,0,15,EM,,,,,,,,,,,,,,,,0.075947363
188,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,AMYR,0,0,0,0,35,MD,,,,,,,,,,,,,,,,0.07320003
189,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PCHI,0,0,0,0,5,EM,,,,,,,,,,,,,,,,0.085760732
190,JC,2022,RA2201,MAU-1222,A,15,2.5,1,0,PMEA,0,0,0,0,2,BR,,,,,,,,,,,,,,,,0.08532158
