"OID_","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","FRAGMENT","JUVENILE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","SEGAREA","totaldead","COLONYID"
11,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"LPUR",0,0,0,0,45,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078418406,"GUA-2730 10",2.5,NA,11
12,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102238036,"GUA-2730 10",2.5,NA,12
13,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,55,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173236317,"GUA-2730 10",2.5,NA,13
14,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145464031,"GUA-2730 10",2.5,NA,14
15,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,5,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057720312,"GUA-2730 10",2.5,NA,15
16,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115158032,"GUA-2730 10",2.5,NA,16
17,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054852326,"GUA-2730 10",2.5,NA,17
18,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,30,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110163803,"GUA-2730 10",2.5,NA,18
19,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,35,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104673487,"GUA-2730 10",2.5,NA,19
20,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,45,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107527702,"GUA-2730 10",2.5,NA,20
21,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07266236,"GUA-2730 10",2.5,NA,21
22,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,80,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293307626,"GUA-2730 10",2.5,NA,22
23,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102459194,"GUA-2730 10",2.5,NA,23
24,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FASP",0,0,0,0,8,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053190508,"GUA-2730 10",2.5,NA,24
25,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PPRO",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052645108,"GUA-2730 10",2.5,NA,25
26,"JC",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,3,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070628251,"GUA-2730 10",2.5,NA,26
27,"JC",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008178292,"GUA-2730 10",1,NA,27
28,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,45,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119671458,"GUA-2730 15",2.5,NA,28
29,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"AMYR",0,0,-1,0,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038150544,"GUA-2730 15",1,NA,29
30,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"PPRO",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016862337,"GUA-2730 15",1,NA,30
31,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12016755,"GUA-2730 15",2.5,NA,31
32,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"AMYR",0,0,-1,0,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041190163,"GUA-2730 15",1,NA,32
33,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FMAT",0,0,0,0,90,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1034645,"GUA-2730 15",2.5,NA,33
34,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016553648,"GUA-2730 15",1,NA,34
35,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"POSP",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052454268,"GUA-2730 15",2.5,NA,35
36,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"ECHP",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103412299,"GUA-2730 15",2.5,NA,36
37,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100897998,"GUA-2730 15",2.5,NA,37
38,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060340317,"GUA-2730 15",2.5,NA,38
39,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"PLOB",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071592757,"GUA-2730 15",2.5,NA,39
40,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091424247,"GUA-2730 15",2.5,NA,40
41,"JC",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FMAT",0,0,0,0,10,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075057106,"GUA-2730 15",2.5,NA,41
42,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"PLOB",0,0,-1,0,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020865457,"GUA-2730 15",1,NA,42
43,"JC",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022209492,"GUA-2730 15",1,NA,43
44,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104862838,"GUA-2730 10",2.5,NA,44
45,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FASP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057671519,"GUA-2730 10",2.5,NA,45
46,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141757966,"GUA-2730 10",2.5,NA,46
47,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284115516,"GUA-2730 10",2.5,NA,47
48,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168807709,"GUA-2730 10",2.5,NA,48
49,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11094258,"GUA-2730 10",2.5,NA,49
50,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145308928,"GUA-2730 10",2.5,NA,50
51,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"LPUR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087807329,"GUA-2730 10",2.5,NA,51
52,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,70,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087588333,"GUA-2730 10",2.5,NA,52
53,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"CYPS",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116654272,"GUA-2730 10",2.5,NA,53
54,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056996635,"GUA-2730 10",2.5,NA,54
55,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"CYSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054675034,"GUA-2730 10",2.5,NA,55
56,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059538904,"GUA-2730 10",2.5,NA,56
57,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"ASSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043369848,"GUA-2730 10",1,NA,57
58,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061529571,"GUA-2730 10",2.5,NA,58
59,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058699725,"GUA-2730 10",2.5,NA,59
60,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153201844,"GUA-2730 10",2.5,NA,60
61,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"PLOB",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073145508,"GUA-2730 10",2.5,NA,61
62,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"ASSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04003287,"GUA-2730 10",1,NA,62
63,"MSL",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058356499,"GUA-2730 10",2.5,NA,63
64,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"CYPS",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022135033,"GUA-2730 10",1,NA,64
65,"MSL",2022,"RA2201","GUA-2730","A","10",1,1,0,"FASP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016416693,"GUA-2730 10",1,NA,65
66,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121840367,"GUA-2730 15",2.5,NA,66
67,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"STSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01807906,"GUA-2730 15",1,NA,67
68,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"LEPT",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016474443,"GUA-2730 15",1,NA,68
69,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"ASSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046986206,"GUA-2730 15",1,NA,69
70,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"FASP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036872777,"GUA-2730 15",1,NA,70
71,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"FASP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061430643,"GUA-2730 15",2.5,NA,71
72,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131696799,"GUA-2730 15",2.5,NA,72
73,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"CYPS",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014466122,"GUA-2730 15",1,NA,73
74,"MSL",2022,"RA2201","GUA-2730","A","15",1,1,0,"ASSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03830576,"GUA-2730 15",1,NA,74
75,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"POSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074535541,"GUA-2730 15",2.5,NA,75
76,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105174974,"GUA-2730 15",2.5,NA,76
77,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060469853,"GUA-2730 15",2.5,NA,77
78,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107059101,"GUA-2730 15",2.5,NA,78
79,"MSL",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"STSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059020389,"GUA-2730 15",2.5,NA,79
80,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062844277,"GUA-2730 10",2.5,NA,80
81,"NBO",2022,"RA2201","GUA-2730","A","10",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020710335,"GUA-2730 10",1,NA,81
82,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POSP",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06686305,"GUA-2730 10",2.5,NA,82
83,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,80,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105956789,"GUA-2730 10",2.5,NA,83
84,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049703496,"GUA-2730 10",2.5,NA,84
85,"NBO",2022,"RA2201","GUA-2730","A","10",1,1,0,"PDAM",0,0,-1,0,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047443829,"GUA-2730 10",1,NA,85
86,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049027497,"GUA-2730 10",2.5,NA,86
87,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053988475,"GUA-2730 10",2.5,NA,87
88,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,15,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1380206,"GUA-2730 10",2.5,NA,88
89,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"UNKN",0,0,0,0,75,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108386673,"GUA-2730 10",2.5,NA,89
90,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"ACSP",0,0,0,0,75,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082653475,"GUA-2730 10",2.5,NA,90
91,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,50,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230589737,"GUA-2730 10",2.5,NA,91
92,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"POCS",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105404533,"GUA-2730 10",2.5,NA,92
93,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"FMAT",0,0,0,0,5,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054611504,"GUA-2730 10",2.5,NA,93
94,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,65,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187301257,"GUA-2730 10",2.5,NA,94
95,"NBO",2022,"RA2201","GUA-2730","A","10",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280997288,"GUA-2730 10",2.5,NA,95
96,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,40,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115665373,"GUA-2730 15",2.5,NA,96
97,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,30,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122032136,"GUA-2730 15",2.5,NA,97
98,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,80,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114678208,"GUA-2730 15",2.5,NA,98
99,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"UNKN",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054797656,"GUA-2730 15",2.5,NA,99
100,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"TURS",0,0,0,0,45,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10195897,"GUA-2730 15",2.5,NA,100
101,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060719864,"GUA-2730 15",2.5,NA,101
102,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100747996,"GUA-2730 15",2.5,NA,102
103,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"AMYR",0,0,0,0,85,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086626171,"GUA-2730 15",2.5,NA,103
104,"NBO",2022,"RA2201","GUA-2730","A","15",2.5,1,0,"UNKN",0,0,0,0,60,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081230519,"GUA-2730 15",2.5,NA,104
105,"JC",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189263199,"MAU-1222 5",2.5,NA,105
106,"JC",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PCHI",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052708841,"MAU-1222 5",2.5,NA,106
107,"JC",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GEDW",0,0,0,0,2,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060605275,"MAU-1222 5",2.5,NA,107
108,"JC",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GEDW",0,0,0,0,3,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064253716,"MAU-1222 5",2.5,NA,108
