"","FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg"
"58","5854"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","MCAP","0","0","0","0","25","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.288286663," -   NA 10"
"59","5855"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","POSP","0","0","0","0","60","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.202537207," -   NA 10"
"60","5856"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.107304659," -   NA 10"
"61","5857"," ",2019,"SE1902"," -   NA"," ","10",1,1,"0","MCAP","0","-1","0","0","0"," "," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.025331404," -   NA 10"
"62","5858"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","MCAP","0","0","0","0","2","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.165241793," -   NA 10"
"63","5859"," ",2019,"SE1902"," -   NA"," ","10",1,1,"0","MPAT","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.047341525," -   NA 10"
"64","5860"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","POSP","0","0","0","0","3","MD"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.165674199," -   NA 10"
"65","5861"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","MCAP","0","0","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.142170497," -   NA 10"
"66","5862"," ",2019,"SE1902"," -   NA"," ","10",2.5,1,"0","MCAP","0","0","0","0","25","EM"," ",0," ",0," ",0,"BLE",100,1," ",0,0," ",0,0,0.153231623," -   NA 10"
"67","8987"," ",2019,"SE1902"," -   NA"," ","0",2.5,1," ","MOSP"," ","0","0","0","0","EM"," ",0," ",0," ",0,"BLE",100,2," ",0,0," ",0,0,0.080710469," -   NA 0"
"68","8988"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","MPAT"," ","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.028567113," -   NA 0"
"69","8989"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","POSP"," ","-1","0","0","0","MD"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.046408728," -   NA 0"
"70","8990"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","POSP"," ","-1","0","0","0","KN"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.039486706," -   NA 0"
"71","8991"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","MPAT"," ","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.017902513," -   NA 0"
"72","8992"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","MOSP"," ","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.038078866," -   NA 0"
"73","8993"," ",2019,"SE1902"," -   NA"," ","0",1,1," ","MOSP"," ","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.012126417," -   NA 0"
"74","9395"," ",2019,"SE1902"," -   NA"," ","5",1,1,"0","PMEA","0","-1","0","0","0","EM"," ",0," ",0," ",0," ",0,0," ",0,0," ",0,0,0.009102198," -   NA 5"
"75","2654","MA",2019,"SE1902","NA-   NA","",NA,NA,NA,"","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"NA-   NA NA"
"76","","",2019,"SE1902","NA-   NA","",NA,NA,NA,"","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"NA-   NA NA"
"77","MA""","2019",2019,"SE1902","A-   NA","0","1",1,0,"PLOB","0","-1","0","0","0","MD"," ","0",NA,"0",NA,"0",NA,"0",0,NA,"0",0,NA,"0",0,0.009386161,NA,"A-   NA 1"
"78","808",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PMEA","0","0",NA,"0","25","BR",NA,0,NA,0,NA,0,"BLE",90,3,NA,0,0,NA,0,0,0.309653112,"NA 0"
"79","809",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","0","EF",NA,0,NA,0,NA,0,"BLE",100,5,NA,0,0,NA,0,0,0.013926952,"NA 0"
"80","810",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.015654072,"NA 0"
"81","811",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,"ALG",5,0,"BLE",100,1,NA,0,0,0.024980393,"NA 0"
"82","812",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","4","EM",NA,0,NA,0,NA,0,"BLE",100,2,"ALG",5,0,NA,0,0,0.030907119,"NA 0"
"83","813",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","30","EF",NA,0,NA,0,NA,0,"BLE",50,3,NA,0,0,NA,0,0,0.184023586,"NA 0"
"84","814",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","60","EM",NA,0,NA,0,NA,0,"BLE",100,3,"ALG",20,0,NA,0,0,0.085092421,"NA 0"
"85","815",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","50","EM",NA,0,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.038451008,"NA 0"
"86","816",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,"BLE",100,4,"ALG",3,0,NA,0,0,0.019137658,"NA 0"
"87","817",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,"BLE",100,4,"ALG",10,0,NA,0,0,0.038490778,"NA 0"
"88","818",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","3","EM","MACA",2,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.032139851,"NA 0"
"89","819",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,"BLE",100,4,"ALG",10,0,NA,0,0,0.050436593,"NA 0"
"90","820",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.020048941,"NA 0"
"91","821",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","5","EM","MACA",5,NA,0,NA,0,"BLE",95,3,NA,0,0,NA,0,0,0.062369385,"NA 0"
"92","822",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","25","EM","MACA",5,NA,0,NA,0,"BLE",90,4,"BLE",10,2,NA,0,0,0.161106671,"NA 0"
"93","823",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","20","EM","GAST",2,"MACA",1,NA,0,NA,0,0,NA,0,0,NA,0,0,0.139680921,"NA 0"
"94","824",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","30","EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.097446191,"NA 0"
"95","825",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.158210144,"NA 0"
"96","826",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","55","EM",NA,0,"MACA",4,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.122841687,"NA 0"
"97","827",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","2","EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.014886235,"NA 0"
"98","828",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM",NA,0,"MACA",2,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.039751855,"NA 0"
"99","829",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.039246019,"NA 0"
"100","830",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM",NA,0,"MACA",2,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.022539742,"NA 0"
"101","831",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","60","EM",NA,0,NA,0,NA,0,"BLE",50,4,"BLE",50,1,NA,0,0,0.090426988,"NA 0"
"102","832",NA,2019,"SE1902",NA,"B","0",0,0,NA,"POSP","0","0",NA,"0","45","EM",NA,0,NA,0,NA,0,"BLE",60,2,NA,0,0,NA,0,0,0.058710307,"NA 0"
"103","833",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM","MACA",1,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.082660088,"NA 0"
"104","834",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","25","EF",NA,0,NA,0,NA,0,"BLE",100,5,NA,0,0,NA,0,0,0.009396276,"NA 0"
"105","835",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","2","EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.124612198,"NA 0"
"106","836",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.106301693,"NA 0"
"107","837",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","30","EM","MACA",2,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.097148392,"NA 0"
"108","838",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.10840226,"NA 0"
"109","839",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","25","EM",NA,0,NA,0,NA,0,"ALG",5,0,"BLE",100,1,NA,0,0,0.172667369,"NA 0"
"110","1642",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","13","EF","MACA",10,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1657741,"NA 0"
"111","1643",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","80","EM",NA,0,NA,0,NA,0,"BLE",30,1,NA,0,0,NA,0,0,0.07662513,"NA 0"
"112","1644",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","0","EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.03941091,"NA 0"
"113","1645",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","82","EM",NA,0,NA,0,NA,0,"BLE",60,3,NA,0,0,NA,0,0,0.1340463,"NA 0"
"114","1646",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","60","EF","MACA",5,NA,0,NA,0,"BLE",96,2,"ALG",10,0,NA,0,0,0.1214716,"NA 0"
"115","1647",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","30","EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.05853144,"NA 0"
"116","1648",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.04932069,"NA 0"
"117","1649",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","10","EF",NA,0,NA,0,NA,0,"BLE",90,1,NA,0,0,NA,0,0,0.04142584,"NA 0"
"118","1650",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF",NA,0,NA,0,NA,0,NA,0,0,"BLE",100,1,NA,0,0,0.02275016,"NA 0"
"119","1651",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF","MACA",2,NA,0,NA,0,NA,0,0,"BLE",100,1,NA,0,0,0.0096,"NA 0"
"120","1652",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.01713272,"NA 0"
"121","1653",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF","MACA",5,NA,0,NA,0,NA,0,0,"BLE",100,2,NA,0,0,0.02108578,"NA 0"
"122","1654",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","45","EF","MACA",25,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.04776034,"NA 0"
"123","1655",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","20","EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1094831,"NA 0"
"124","1656",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","0","EF",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.01804993,"NA 0"
"125","1657",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","0","EF","MACA",3,NA,0,NA,0,"BLE",97,2,"BLE",3,5,NA,0,0,0.03200313,"NA 0"
"126","1658",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","85","EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.2016238,"NA 0"
"127","1659",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MCAP","0","0",NA,"0","0","EF","MACA",5,NA,0,NA,0,"BLE",100,4,NA,0,0,NA,0,0,0.08001056,"NA 0"
"128","1660",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","2","EM",NA,0,NA,0,NA,0,NA,0,0,"BLE",100,1,NA,0,0,0.02083867,"NA 0"
"129","1661",NA,2019,"SE1902",NA,"B","0",0,0,NA,"MPAT","0","0",NA,"0","5","EF","MACA",10,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.04681293,"NA 0"
"130","1662",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","3","EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02737882,"NA 0"
"131","1663",NA,2019,"SE1902",NA,"B","0",0,0,NA,"PLOB","0","0",NA,"0","5","EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02510299,"NA 0"
