"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","totaldead"
"71","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.07216204,"HAW-04240 5",2.5,0
"72","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.024351591,"HAW-04240 5",1,0
"73","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013464769,"HAW-04240 5",1,0
"74","MA",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0",0,"0","0",55,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054540444,"HAW-04240 5",2.5,55
"75","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.022144976,"HAW-04240 5",1,0
"76","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013366002,"HAW-04240 5",1,0
"77","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.020778114,"HAW-04240 5",1,0
"78","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013508515,"HAW-04240 5",1,0
"79","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.00852115,"HAW-04240 5",1,0
"80","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.004308132,"HAW-04240 5",1,0
"81","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.008628441,"HAW-04240 5",1,0
"82","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.03887853,"HAW-04240 5",1,0
"83","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.009433981,"HAW-04240 5",1,0
"84","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.015990621,"HAW-04240 5",1,0
"85","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013563556,"HAW-04240 5",1,0
"86","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.007494665,"HAW-04240 5",1,0
"87","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.026518861,"HAW-04240 5",1,0
"88","MA",2019,"SE1902","HAW-04240","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.007244309,"HAW-04240 5",1,0
"89","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",45,"MD",NA,0,NA,0,NA,0,"PTR",3,0,NA,0,0,NA,0,0,0.95481027,"HAW-04241 5",2.5,45
"90","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.364248953,"HAW-04241 5",2.5,25
"91","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.197355821,"HAW-04241 5",2.5,5
"92","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144391724,"HAW-04241 5",2.5,20
"93","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105512701,"HAW-04241 5",2.5,3
"94","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",7,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.378686414,"HAW-04241 5",2.5,7
"95","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068282501,"HAW-04241 5",2.5,3
"96","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1.171796061,"HAW-04241 5",2.5,60
"97","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053224056,"HAW-04241 5",2.5,0
"98","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",7,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072685763,"HAW-04241 5",2.5,7
"99","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.334140823,"HAW-04241 5",2.5,30
"100","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.077530188,"HAW-04241 5",2.5,15
"101","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.057032009,"HAW-04241 5",2.5,2
"102","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.204208177,"HAW-04241 5",2.5,25
"103","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.136460435,"HAW-04241 5",2.5,20
"104","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.28177058,"HAW-04241 5",2.5,10
"105","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1480379,"HAW-04241 5",2.5,60
"106","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","MPAT","0",0,"0","0",7,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.071879136,"HAW-04241 5",2.5,7
"107","MA",2019,"SE1902","HAW-04241","B","5",1,1,"0","PLOB","0",-1,"0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.047666865,"HAW-04241 5",1,0
"108","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0",0,"0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.354971224,"HAW-04241 5",2.5,25
"109","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",45,"MD",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,1.248458385,"HAW-04241 10",2.5,45
"110","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","MCAP","0",0,"0","0",2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056642387,"HAW-04241 10",2.5,2
"111","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.14069236,"HAW-04241 10",2.5,10
"112","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.251681485,"HAW-04241 10",2.5,70
"113","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","MCAP","0",0,"0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072630916,"HAW-04241 10",2.5,0
"114","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.441242178,"HAW-04241 10",2.5,60
"115","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",25,"MD",NA,0,NA,0,NA,0,"PRS",7,0,"SGA",2,0,NA,0,0,0.244019426,"HAW-04241 10",2.5,25
"116","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",40,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.525106997,"HAW-04241 10",2.5,40
"117","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.187177054,"HAW-04241 10",2.5,20
"118","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",45,"MD",NA,0,NA,0,NA,0,"PRS",5,0,NA,0,0,NA,0,0,0.895933619,"HAW-04241 10",2.5,45
"119","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0",0,"0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123534004,"HAW-04241 10",2.5,15
