FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY_,SPCODE,FRAGMENT_Y,MORPH_CODE,EX_BOUND,OLDDEAD,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,SHAPE_Leng,ADULT_JUV,FRAGMENT,COLONYLENG,MAXD
47,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MCAP,0,EF,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.134867341829000, ,0,0.000000000000000, 
48,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,MPAT,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.134970588394000, ,0,0.000000000000000, 
49,MA,2019, ,SfM12,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.055321784599400, ,0,0.000000000000000, 
50,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0,FISH,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.253825846020000, ,0,0.000000000000000, 
51,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.289710769738000, ,0,0.000000000000000, 
52,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.091474696005200, ,0,0.000000000000000, 
53,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0,TLS,2,FISH,2, ,0, ,0,0, ,0,0, ,0,0,0.297722773282000, ,0,0.000000000000000, 
54,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,PMEA,0,BR,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.449824521507000, ,0,0.000000000000000, 
55,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,MPAT,0,EF,0,60, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.862268201179000, ,0,0.000000000000000, 
56,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,MCAP,0,EF,0,55, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.366829728902000, ,0,0.000000000000000, 
57,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,MPAT,0,EF,0,60, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.141282836854000, ,0,0.000000000000000, 
58,MA,2019, ,SfM12,5,2.5000000,1.0000000,0,MPAT,0,EF,0,2, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.075506025791800, ,0,0.000000000000000, 
59,MA,2019, ,SfM16,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.084768036388500,A,0,0.000000000000000, 
60,MA,2019, ,SfM16,1,2.5000000,1.0000000,0,MCAP,0,EM,0,0, ,0, ,0, ,0,BLE,45,4, ,0,0, ,0,0,0.088403619614900,A,0,0.000000000000000, 
61,MW,2019, ,OAH_SfM16,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.083798866096500, ,0,0.000000000000000, 
62,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.076792839214500, ,0,0.000000000000000, 
63,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,MD,0,45, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.166161155894000, ,0,0.000000000000000, 
64,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MCAP,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.113350871870000, ,0,0.000000000000000, 
65,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PVAR,0,EF,0,70, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.234308620935000, ,0,0.000000000000000, 
66,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.473526557231000, ,0,0.000000000000000, 
67,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PVAR,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.028467525614000, ,0,0.000000000000000, 
68,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PVAR,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.087848278281600, ,0,0.000000000000000, 
69,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MCAP,0,EF,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.114286132368000, ,0,0.000000000000000, 
70,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MCAP,0,EF,0,2, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.244735061300000, ,0,0.000000000000000, 
71,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLOB,0,EF,0,2, ,0, ,0, ,0,SGA,5,0, ,0,0, ,0,0,0.170875772676000, ,0,0.000000000000000, 
72,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MCAP,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.036949966049300, ,0,0.000000000000000, 
73,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.077733003984200, ,0,0.000000000000000, 
74,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,7, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.098610800677100, ,0,0.000000000000000, 
75,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,7, ,0, ,0, ,0,SGA,5,0, ,0,0, ,0,0,0.320778584530000, ,0,0.000000000000000, 
76,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLUT,0,MD,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.288594733097000, ,0,0.000000000000000, 
77,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,10,TLS,3, ,0, ,0, ,0,0, ,0,0, ,0,0,0.338736268410000, ,0,0.000000000000000, 
78,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,10, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.385002610070000, ,0,0.000000000000000, 
79,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,MD,0,40, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.128867567963000, ,0,0.000000000000000, 
80,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,45, ,0, ,0, ,0,BLE,100,4, ,0,0, ,0,0,0.252314426460000, ,0,0.000000000000000, 
81,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLUT,0,MD,0,1,FISH,3, ,0, ,0, ,0,0, ,0,0, ,0,0,0.447172639818000, ,0,0.000000000000000, 
82,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.050980192057600, ,0,0.000000000000000, 
83,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.081063987505300, ,0,0.000000000000000, 
84,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.094260543090600, ,0,0.000000000000000, 
85,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MCAP,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.059959486963000, ,0,0.000000000000000, 
86,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,MD,0,15, ,0, ,0, ,0,BLE,2,4, ,0,0, ,0,0,0.212951942991000, ,0,0.000000000000000, 
87,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.095432174635400, ,0,0.000000000000000, 
88,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLUT,0,MD,0,60, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.186725734270000, ,0,0.000000000000000, 
89,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,EF,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.048523500435400, ,0,0.000000000000000, 
90,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.206543361445000, ,0,0.000000000000000, 
91,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,20, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.371191392891000, ,0,0.000000000000000, 
92,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,40, ,0, ,0, ,0,BIN,10,0, ,0,0, ,0,0,0.238391023324000, ,0,0.000000000000000, 
93,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,POSP,0,MD,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.075372209616700, ,0,0.000000000000000, 
94,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,MPAT,0,EF,0,40, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.266283325972000, ,0,0.000000000000000, 
95,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.264083870099000, ,0,0.000000000000000, 
96,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.117819267708000, ,0,0.000000000000000, 
97,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.088836253927900, ,0,0.000000000000000, 
98,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.150262337089000, ,0,0.000000000000000, 
99,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.301637796522000, ,0,0.000000000000000, 
100,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PLOB,0,EF,0,2, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.193066465483000, ,0,0.000000000000000, 
101,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.078755127569100, ,0,0.000000000000000, 
102,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,95, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.194538864379000, ,0,0.000000000000000, 
103,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.092621056864800, ,0,0.000000000000000, 
104,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.148483568027000, ,0,0.000000000000000, 
105,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.073668038149700, ,0,0.000000000000000, 
106,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,PLUT,0,MD,0,45, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.163460698972000, ,0,0.000000000000000, 
107,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MCAP,0,EF,0,35, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.549556702405000, ,0,0.000000000000000, 
108,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,75, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.181141519355000, ,0,0.000000000000000, 
109,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MCAP,0,EF,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.290181201795000, ,0,0.000000000000000, 
110,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MCAP,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.166334753630000, ,0,0.000000000000000, 
111,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.051300780223200, ,0,0.000000000000000, 
112,MA,2019, ,SfM17,5,2.5000000,1.0000000,0,MCAP,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.031914416807900, ,0,0.000000000000000, 
113,MA,2019, ,SfM17,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.064587459692600, ,0,0.000000000000000, 
114,MA,2019, ,SfM17,5,2.5000000,1.0000000,0,PMEA,0,BR,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.067952410108400, ,0,0.000000000000000, 
115,MA,2019, ,SfM17,5,2.5000000,1.0000000,0,MCAP,0,EF,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.119941652504000, ,0,0.000000000000000, 
116,MA,2019, ,SfM17,1,2.5000000,1.0000000,0,PLOB,0,EF,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.047068460659900, ,0,0.000000000000000, 
117,MA,2019, ,SfM17,3,2.5000000,1.0000000,0,MPAT,0,EF,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.098031525041200, ,0,0.000000000000000, 
118,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MPAT,0,EM,0,6, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.475496077922000, ,0,0.000000000000000, 
119,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MCAP,0,EM,0,1, ,0, ,0, ,0,BLE,100,5, ,0,0, ,0,0,0.114572683943000, ,0,0.000000000000000, 
120,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,30, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.149477021483000, ,0,0.000000000000000, 
121,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLOB,0,EM,0,15, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.080937630614400, ,0,0.000000000000000, 
122,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MCAP,0,EM,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.252401266913000, ,0,0.000000000000000, 
123,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PVAR,0,EM,0,3, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.067185787503400, ,0,0.000000000000000, 
124,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PVAR,0,EM,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.025461538925600, ,0,0.000000000000000, 
125,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PVAR,0,EM,0,5, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.123009146133000, ,0,0.000000000000000, 
126,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,2, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.190574394405000, ,0,0.000000000000000, 
127,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLOB,0,EM,0,3, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.079294512500800, ,0,0.000000000000000, 
128,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MPAT,0,EM,0,3,FISH,5, ,0, ,0, ,0,0, ,0,0, ,0,0,0.326691674231000, ,0,0.000000000000000, 
129,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MPAT,0,EM,0,10,FISH,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.412655207091000, ,0,0.000000000000000, 
130,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,40, ,0, ,0, ,0,BLE,22,3, ,0,0, ,0,0,0.271237037026000, ,0,0.000000000000000, 
131,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLOB,0,MD,0,18, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.124042130167000, ,0,0.000000000000000, 
132,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLUT,0,MD,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.291506193566000, ,0,0.000000000000000, 
133,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,MPAT,0,EM,0,25, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.072876676478200, ,0,0.000000000000000, 
134,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PLUT,0,MD,0,0,FISH,5, ,0, ,0, ,0,0, ,0,0, ,0,0,0.452037885880000, ,0,0.000000000000000, 
135,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PMEA,0,BR,0,10,TLS,2, ,0, ,0, ,0,0, ,0,0, ,0,0,0.348513657667000, ,0,0.000000000000000, 
136,MW,2019, ,OAH_SfM17,1,2.5000000,1.0000000,0,PMEA,0,KN,0,0, ,0, ,0, ,0, ,0,0, ,0,0, ,0,0,0.095026417176200, ,0,0.000000000000000, 
