"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY_","SPCODE","FRAGMENT_Y","MORPH_CODE","EX_BOUND","OLDDEAD","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","SHAPE_Leng","SEGAREA","site_seg"
10,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"PRS",1,0,"NA",0,0,"NA",0,0,0.082535447,2.5,"HAW-04221 0"
11,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,10,"TLS",5,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.23645729,2.5,"HAW-04221 0"
12,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.104385153,2.5,"HAW-04221 0"
13,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.128265545,2.5,"HAW-04221 0"
14,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,75,"PUS",25,"NA",0,"NA",0,"PRS",2,0,"NA",0,0,"NA",0,0,0.410219759,2.5,"HAW-04221 0"
15,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,15,"PUS",8,"NA",0,"NA",0,"PRS",3,0,"NA",0,0,"NA",0,0,0.674855844,2.5,"HAW-04221 0"
16,"CA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,65,"TLS",10,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.307711163,2.5,"HAW-04221 0"
18,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.086114574,2.5,"HAW-04221 0"
19,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.08810732,2.5,"HAW-04221 0"
20,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EF",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.101588631,2.5,"HAW-04221 0"
21,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMON",0,"EM",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.772290625,2.5,"HAW-04221 0"
22,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"DIS",7,0,"NA",0,0,"NA",0,0,0.363856153,2.5,"HAW-04221 0"
23,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"ALG",3,0,"NA",0,0,"NA",0,0,0.119903502,2.5,"HAW-04221 0"
24,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.369351878,2.5,"HAW-04221 0"
25,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.060424167,2.5,"HAW-04221 0"
26,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.096580174,2.5,"HAW-04221 0"
27,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.10575221,2.5,"HAW-04221 0"
28,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POCS",0,"BR",0,3,"TLS",5,"FISH",2,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.196401248,2.5,"HAW-04221 0"
29,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,55,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.074389784,2.5,"HAW-04221 0"
30,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,10,"TLS",5,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.374663075,2.5,"HAW-04221 0"
31,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,2,"NA",0,"NA",0,"NA",0,"ALG",2,0,"NA",0,0,"NA",0,0,0.1286014,2.5,"HAW-04221 0"
32,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"POCS",0,"BR",0,60,"FISH",1,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.318173616,2.5,"HAW-04221 0"
33,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,45,"NA",0,"NA",0,"NA",0,"PTR",3,0,"ALG",2,0,"NA",0,0,0.406231878,2.5,"HAW-04221 0"
34,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.572264589,2.5,"HAW-04221 0"
35,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMON",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.176872072,2.5,"HAW-04221 0"
39,"MA",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.053886176,2.5,"HAW-04221 0"
42,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.081046776,2.5,"HAW-04221 0"
43,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.103344183,2.5,"HAW-04221 0"
44,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,35,"NA",0,"NA",0,"NA",0,"BIN",3,1,"NA",0,0,"NA",0,0,0.363713418,2.5,"HAW-04221 0"
45,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.09183518,2.5,"HAW-04221 0"
47,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMON",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"TIN",0,0,"NA",0,0,"NA",0,0,0.646515832,2.5,"HAW-04221 0"
48,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,40,"NA",0,"NA",0,"NA",0,"BIN",0,0,"NA",0,0,"NA",0,0,0.255554399,2.5,"HAW-04221 0"
49,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"BIN",5,1,"DIS",0,0,"NA",0,0,0.191312545,2.5,"HAW-04221 0"
50,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058721886,2.5,"HAW-04221 0"
51,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLUT",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.201693556,2.5,"HAW-04221 0"
52,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,3,"NA",0,"NA",0,"NA",0,"BIN",1,1,"NA",0,0,"NA",0,0,0.112022674,2.5,"HAW-04221 0"
53,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,30,"TLS",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.200008449,2.5,"HAW-04221 0"
54,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,30,"NA",0,"NA",0,"NA",0,"BIN",1,1,"NA",0,0,"NA",0,0,0.209758266,2.5,"HAW-04221 0"
55,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"EF",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.122612601,2.5,"HAW-04221 0"
56,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLUT",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"BIN",3,1,"NA",0,0,"NA",0,0,0.373525153,2.5,"HAW-04221 0"
57,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,60,"UNKN",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.326297349,2.5,"HAW-04221 0"
58,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"BLE",5,1,"BIN",0,0,"NA",0,0,0.434142212,2.5,"HAW-04221 0"
59,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLUT",0,"MD",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"BIN",1,1,"NA",0,0,0.202677378,2.5,"HAW-04221 0"
60,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLUT",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.190139556,2.5,"HAW-04221 0"
61,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"POSP",0,"EM",0,45,"NA",0,"NA",0,"NA",0,"BLE",0,0,"NA",0,0,"NA",0,0,0.194294853,2.5,"HAW-04221 0"
62,"AH",2019,"SE1902_MHI_LEG2","HAW-04221","0",2.5,1,0,"PLIC",0,"EM",0,18,"NA",0,"NA",0,"NA",0,"TIN",1,1,"NA",0,0,"NA",0,0,0.116948621,2.5,"HAW-04221 0"
63,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.106554447,2.5,"HAW-04221 0"
64,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.076472871,2.5,"HAW-04221 0"
65,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.337549479,2.5,"HAW-04221 0"
66,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.088798479,2.5,"HAW-04221 0"
67,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.21801211,2.5,"HAW-04221 0"
69,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.194430271,2.5,"HAW-04221 0"
70,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.07198347,2.5,"HAW-04221 0"
71,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.196369168,2.5,"HAW-04221 0"
72,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.140836537,2.5,"HAW-04221 0"
75,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,10,"PRED",2,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.192660244,2.5,"HAW-04221 0"
77,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056533265,2.5,"HAW-04221 0"
78,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.462584316,2.5,"HAW-04221 0"
79,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,25,"UNKN",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.097494872,2.5,"HAW-04221 0"
82,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.205522212,2.5,"HAW-04221 0"
83,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.201795465,2.5,"HAW-04221 0"
84,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"MD",0,10,"PRED",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.211602859,2.5,"HAW-04221 0"
85,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,10,"UNKN",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.239817451,2.5,"HAW-04221 0"
86,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.079303088,2.5,"HAW-04221 0"
87,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,50,"UNKN",5,"NA",0,"NA",0,"BLE",100,3,"NA",0,0,"NA",0,0,0.286425209,2.5,"HAW-04221 0"
88,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLOB",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.243201727,2.5,"HAW-04221 0"
89,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"BLE",5,2,"NA",0,0,"NA",0,0,0.199192094,2.5,"HAW-04221 0"
90,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PRUS",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.10742295,2.5,"HAW-04221 0"
91,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PLUT",0,"MD",0,90,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.183849096,2.5,"HAW-04221 0"
92,"RS",2019,"SE1902","HAW-04221","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.050068153,2.5,"HAW-04221 0"
93,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.121273658,2.5,"HAW-04231 0"
94,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.090802918,2.5,"HAW-04231 0"
95,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.256507797,2.5,"HAW-04231 0"
96,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"POSP",0,"KN",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.09293078,2.5,"HAW-04231 0"
97,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.132274903,2.5,"HAW-04231 0"
98,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058495811,2.5,"HAW-04231 0"
99,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"MD",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.146924334,2.5,"HAW-04231 0"
100,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.167692487,2.5,"HAW-04231 0"
101,"MA",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"EM",0,85,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.34067229,2.5,"HAW-04231 0"
111,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"EM",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.117209427,2.5,"HAW-04231 0"
124,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.054386029,2.5,"HAW-04231 0"
129,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.279465669,2.5,"HAW-04231 0"
138,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"FISH",5,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.12281714,2.5,"HAW-04231 0"
139,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.084356504,2.5,"HAW-04231 0"
140,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.182192892,2.5,"HAW-04231 0"
141,"RS",2019,"SE1902","HAW-04231","0",2.5,1,0,"PLOB",0,"MD",0,55,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.197396379,2.5,"HAW-04231 0"
142,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.218500572,2.5,"HAW-04240 5"
143,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.142456239,2.5,"HAW-04240 5"
144,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.094299204,2.5,"HAW-04240 5"
145,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.083715291,2.5,"HAW-04240 5"
147,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.064510852,2.5,"HAW-04240 5"
148,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.054645403,2.5,"HAW-04240 5"
149,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.120758644,2.5,"HAW-04240 5"
150,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.123146254,2.5,"HAW-04240 5"
151,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.117461696,2.5,"HAW-04240 5"
152,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.065068042,2.5,"HAW-04240 5"
153,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.070818995,2.5,"HAW-04240 5"
154,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.123628031,2.5,"HAW-04240 5"
155,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.087153256,2.5,"HAW-04240 5"
156,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.055167835,2.5,"HAW-04240 5"
157,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.08863611,2.5,"HAW-04240 5"
158,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.061745446,2.5,"HAW-04240 5"
159,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"EM",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056339773,2.5,"HAW-04240 5"
160,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,35,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.249381414,2.5,"HAW-04240 5"
161,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"EM",0,75,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.061303916,2.5,"HAW-04240 5"
162,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,45,"NA",0,"NA",0,"NA",0,"ALG",2,0,"NA",0,0,"NA",0,0,0.071225347,2.5,"HAW-04240 5"
163,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,55,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.17209172,2.5,"HAW-04240 5"
164,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.200987885,2.5,"HAW-04240 5"
165,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.183697169,2.5,"HAW-04240 5"
166,"MA",2019,"SE1902","HAW-04240","5",2.5,1,0,"PLOB",0,"MD",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058414381,2.5,"HAW-04240 5"
