FID,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,FRAGMENT,REMNANT,OLDDEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Leng,site_seg,SEGAREA
10,RS,2019,SE1902,NII-02594,B,5,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.030672627,NII_2594 5,1
11,RS,2019,SE1902,NII-02594,B,5,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.022372528,NII_2594 5,1
12,RS,2019,SE1902,NII-02594,B,5,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.014449914,NII_2594 5,1
13,RS,2019,SE1902,NII-02594,B,10,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.013060246,NII_2594 10,1
14,RS,2019,SE1902,NII-02594,B,10,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.016425893,NII_2594 10,1
15,RS,2019,SE1902,NII-02594,B,10,1,1,0,MOSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.009823442,NII_2594 10,1
16,RS,2019,SE1902,NII-02594,B,10,1,1,0,MOSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.007922752,NII_2594 10,1
17,RS,2019,SE1902,NII-02594,B,15,2.5,1,0,PMEA,0,0,0,0,15,BR,NA,0,NA,0,NA,0,BLE,15,2,NA,0,0,NA,0,0,0.482614235,NII_2594 15,2.5
18,RS,2019,SE1902,NII-02594,B,0,2.5,1,-1,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0351,NII_2594 0,2.5
19,RS,2019,SE1902,NII-02594,B,5,2.5,1,-1,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0351,NII_2594 5,2.5
20,RS,2019,SE1902,NII-02594,B,10,2.5,1,-1,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0351,NII_2594 10,2.5
21,RS,2019,SE1902,NII-02594,B,15,1,1,-1,NA,0,-1,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0064,NII_2594 15,1
22,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.086114574,HAW-4221 0,2.5
23,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.08810732,HAW-4221 0,2.5
24,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,3,EF,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.101588631,HAW-4221 0,2.5
25,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PMON,0,0,0,0,70,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.772290625,HAW-4221 0,2.5
26,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,30,EM,NA,0,NA,0,NA,0,DIS,7,0,NA,0,0,NA,0,0,0.363856153,HAW-4221 0,2.5
27,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,10,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.119903502,HAW-4221 0,2.5
28,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,30,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.369351878,HAW-4221 0,2.5
29,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060424167,HAW-4221 0,2.5
30,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.096580174,HAW-4221 0,2.5
31,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,5,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10575221,HAW-4221 0,2.5
32,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,POCS,0,0,0,0,3,BR,TLS,5,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.196401248,HAW-4221 0,2.5
33,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,55,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.074389784,HAW-4221 0,2.5
34,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,10,MD,TLS,3,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.374663075,HAW-4221 0,2.5
35,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,2,EM,NA,0,NA,0,NA,0,ALG,2,0,NA,0,0,NA,0,0,0.1286014,HAW-4221 0,2.5
36,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,POCS,0,0,0,0,60,BR,NA,0,NA,0,NA,0,BLE,100,2,NA,0,0,NA,0,0,0.318173616,HAW-4221 0,2.5
37,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,45,EM,NA,0,NA,0,NA,0,ALG,2,0,NA,0,0,NA,0,0,0.406231878,HAW-4221 0,2.5
38,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,45,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.572264589,HAW-4221 0,2.5
39,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PMON,0,0,0,0,20,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.176872072,HAW-4221 0,2.5
40,MA,2019,SE1902,HAW-04221,B,0,1,1,0,MPAT,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.039998126,HAW-4221 0,1
41,MA,2019,SE1902,HAW-04221,B,0,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.018677527,HAW-4221 0,1
42,MA,2019,SE1902,HAW-04221,B,0,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.014741099,HAW-4221 0,1
43,MA,2019,SE1902,HAW-04221,B,0,2.5,1,0,PLOB,0,0,0,0,60,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053886176,HAW-4221 0,2.5
44,MA,2019,SE1902,HAW-04221,B,0,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.017202907,HAW-4221 0,1
45,MA,2019,SE1902,HAW-04221,B,0,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02080625,HAW-4221 0,1
46,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PLOB,0,0,0,0,15,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.121273658,HAW-4231 0,2.5
47,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.090802918,HAW-4231 0,2.5
48,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.256507797,HAW-4231 0,2.5
49,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,POSP,0,0,0,0,70,KN,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09293078,HAW-4231 0,2.5
50,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.132274903,HAW-4231 0,2.5
51,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PLOB,0,0,0,0,5,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058495811,HAW-4231 0,2.5
52,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PLOB,0,0,0,0,60,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.146924334,HAW-4231 0,2.5
53,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PMEA,0,0,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.167692487,HAW-4231 0,2.5
54,MA,2019,SE1902,HAW-04231,B,0,2.5,1,0,PLOB,0,0,0,0,85,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.34067229,HAW-4231 0,2.5
55,MA,2019,SE1902,HAW-04231,B,0,1,1,0,PMEA,0,-1,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.037566209,HAW-4231 0,1
56,MA,2019,SE1902,HAW-04231,B,0,1,1,0,PMEA,0,-1,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.02616639,HAW-4231 0,1
57,MA,2019,SE1902,HAW-04231,B,0,1,1,0,PMEA,0,-1,0,0,0,BR,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.026867267,HAW-4231 0,1
58,MA,2019,SE1902,HAW-04231,B,0,1,1,0,POSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.01510033,HAW-4231 0,1
59,MA,2019,SE1902,HAW-04231,B,0,1,1,0,PMEA,0,-1,0,0,0,KN,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.020658412,HAW-4231 0,1
60,MA,2019,SE1902,HAW-04231,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.045304526,HAW-4231 0,1
61,MA,2019,SE1902,HAW-04231,B,0,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.021542516,HAW-4231 0,1
62,MA,2019,SE1902,HAW-04231,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.015035957,HAW-4231 0,1
63,MA,2019,SE1902,HAW-04231,B,0,1,1,0,MCAP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.038916578,HAW-4231 0,1
64,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.055814425,HAW_4240 5,2.5
65,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,5,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054504679,HAW_4240 5,2.5
66,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.030796266,HAW_4240 5,1
67,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,70,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.212970091,HAW_4240 5,2.5
68,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,75,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144002847,HAW_4240 5,2.5
69,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051623639,HAW_4240 5,2.5
70,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,30,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.089408333,HAW_4240 5,2.5
71,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,5,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.046764944,HAW_4240 5,1
72,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.049943268,HAW_4240 5,1
73,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.095608472,HAW_4240 5,2.5
74,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.014962621,HAW_4240 5,1
75,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.020988091,HAW_4240 5,1
76,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.043028596,HAW_4240 5,1
77,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.021631691,HAW_4240 5,1
78,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.023394445,HAW_4240 5,1
79,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.041484937,HAW_4240 5,1
80,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.030999677,HAW_4240 5,1
81,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,15,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123572974,HAW_4240 5,2.5
82,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,10,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.091848244,HAW_4240 5,2.5
83,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053096515,HAW_4240 5,2.5
84,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09271359,HAW_4240 5,2.5
85,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,45,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.082652162,HAW_4240 5,2.5
86,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0953,HAW_4240 5,2.5
87,RS,2019,SE1902,HAW-04240,B,5,1,1,0,POSP,0,-1,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.028754304,HAW_4240 5,1
88,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.033618149,HAW_4240 5,1
89,RS,2019,SE1902,HAW-04240,B,5,1,1,0,PLOB,0,-1,0,0,70,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.041694123,HAW_4240 5,1
90,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,25,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.092002663,HAW_4240 5,2.5
91,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,25,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.099315508,HAW_4240 5,2.5
92,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,70,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.149144292,HAW_4240 5,2.5
93,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.083982439,HAW_4240 5,2.5
94,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,30,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.409834419,HAW_4240 5,2.5
95,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.078136867,HAW_4240 5,2.5
96,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLUT,0,0,0,0,20,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.206472274,HAW_4240 5,2.5
97,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLUT,0,0,0,0,65,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.287013119,HAW_4240 5,2.5
98,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLUT,0,0,0,0,70,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.163054101,HAW_4240 5,2.5
99,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.194553848,HAW_4240 5,2.5
100,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060729976,HAW_4240 5,2.5
101,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLUT,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052814014,HAW_4240 5,2.5
102,RS,2019,SE1902,HAW-04240,B,5,2.5,1,0,PLOB,0,0,0,0,10,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.074053089,HAW_4240 5,2.5
103,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,45,MD,NA,0,NA,0,NA,0,PTR,3,0,NA,0,0,NA,0,0,0.95481027,HAW-4241 5,2.5
104,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.364248953,HAW-4241 5,2.5
105,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,5,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.197355821,HAW-4241 5,2.5
106,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,20,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144391724,HAW-4241 5,2.5
107,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,3,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105512701,HAW-4241 5,2.5
108,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,7,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.378686414,HAW-4241 5,2.5
109,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,3,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068282501,HAW-4241 5,2.5
110,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,60,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1.171796061,HAW-4241 5,2.5
111,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,0,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053224056,HAW-4241 5,2.5
112,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,7,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072685763,HAW-4241 5,2.5
113,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,30,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.334140823,HAW-4241 5,2.5
114,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,15,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.077530188,HAW-4241 5,2.5
115,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,2,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.057032009,HAW-4241 5,2.5
116,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.204208177,HAW-4241 5,2.5
117,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,20,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.136460435,HAW-4241 5,2.5
118,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,10,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.28177058,HAW-4241 5,2.5
119,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,60,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1480379,HAW-4241 5,2.5
120,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,MPAT,0,0,0,0,7,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.071879136,HAW-4241 5,2.5
121,MA,2019,SE1902,HAW-04241,B,5,1,1,0,PLOB,0,-1,0,0,3,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.047666865,HAW-4241 5,1
122,MA,2019,SE1902,HAW-04241,B,5,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.354971224,HAW-4241 5,2.5
123,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,PLOB,0,0,0,0,45,MD,NA,0,NA,0,NA,0,ALG,5,0,NA,0,0,NA,0,0,1.248458385,HAW-4241 10,2.5
124,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,MCAP,0,0,0,0,2,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056642387,HAW-4241 10,2.5
125,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,PLOB,0,0,0,0,10,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.14069236,HAW-4241 10,2.5
126,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,PLOB,0,0,0,0,70,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.251681485,HAW-4241 10,2.5
127,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,MCAP,0,0,0,0,0,EM,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072630916,HAW-4241 10,2.5
128,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,PLOB,0,0,0,0,60,MD,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.441242178,HAW-4241 10,2.5
129,MA,2019,SE1902,HAW-04241,B,10,2.5,1,0,PLOB,0,0,0,0,25,MD,NA,0,NA,0,NA,0,PRS,7,0,SGA,2,0,NA,0,0,0.244019426,HAW-4241 10,2.5
