"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA"
"24","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0","0","0","0",15,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.121273658,"HAW-4231 0",2.5
"25","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,"BLE",100,1,NA,0,0,NA,0,0,0.090802918,"HAW-4231 0",2.5
"26","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.256507797,"HAW-4231 0",2.5
"27","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","POSP","0","0","0","0",70,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09293078,"HAW-4231 0",2.5
"28","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.132274903,"HAW-4231 0",2.5
"29","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0","0","0","0",5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058495811,"HAW-4231 0",2.5
"30","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0","0","0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.146924334,"HAW-4231 0",2.5
"31","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PMEA","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.167692487,"HAW-4231 0",2.5
"32","MA",2019,"SE1902","HAW-04231","B","0",2.5,1,"0","PLOB","0","0","0","0",85,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.34067229,"HAW-4231 0",2.5
"42","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.055814425,"HAW_4240 5",2.5
"43","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054504679,"HAW_4240 5",2.5
"45","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.212970091,"HAW_4240 5",2.5
"46","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",75,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144002847,"HAW_4240 5",2.5
"47","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051623639,"HAW_4240 5",2.5
"48","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",30,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.089408333,"HAW_4240 5",2.5
"51","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.095608472,"HAW_4240 5",2.5
"59","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123572974,"HAW_4240 5",2.5
"60","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.091848244,"HAW_4240 5",2.5
"61","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053096515,"HAW_4240 5",2.5
"62","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09271359,"HAW_4240 5",2.5
"63","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",45,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.082652162,"HAW_4240 5",2.5
"64","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0953,"HAW_4240 5",2.5
"68","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.092002663,"HAW_4240 5",2.5
"69","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.099315508,"HAW_4240 5",2.5
"70","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.149144292,"HAW_4240 5",2.5
"71","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.083982439,"HAW_4240 5",2.5
"72","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.409834419,"HAW_4240 5",2.5
"73","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.078136867,"HAW_4240 5",2.5
"74","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLUT","0","0","0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.206472274,"HAW_4240 5",2.5
"75","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLUT","0","0","0","0",65,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.287013119,"HAW_4240 5",2.5
"76","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLUT","0","0","0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.163054101,"HAW_4240 5",2.5
"77","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.194553848,"HAW_4240 5",2.5
"78","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060729976,"HAW_4240 5",2.5
"79","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLUT","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052814014,"HAW_4240 5",2.5
"80","RS",2019,"SE1902","HAW-04240","B","5",2.5,1,"0","PLOB","0","0","0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.074053089,"HAW_4240 5",2.5
"81","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",45,"MD",NA,0,NA,0,NA,0,"PTR",3,0,NA,0,0,NA,0,0,0.95481027,"HAW-4241 5",2.5
"82","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.364248953,"HAW-4241 5",2.5
"83","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.197355821,"HAW-4241 5",2.5
"84","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144391724,"HAW-4241 5",2.5
"85","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105512701,"HAW-4241 5",2.5
"86","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",7,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.378686414,"HAW-4241 5",2.5
"87","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068282501,"HAW-4241 5",2.5
"88","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1.171796061,"HAW-4241 5",2.5
"89","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053224056,"HAW-4241 5",2.5
"90","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",7,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072685763,"HAW-4241 5",2.5
"91","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.334140823,"HAW-4241 5",2.5
"92","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.077530188,"HAW-4241 5",2.5
"93","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.057032009,"HAW-4241 5",2.5
"94","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.204208177,"HAW-4241 5",2.5
"95","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.136460435,"HAW-4241 5",2.5
"96","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.28177058,"HAW-4241 5",2.5
"97","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.1480379,"HAW-4241 5",2.5
"98","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","MPAT","0","0","0","0",7,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.071879136,"HAW-4241 5",2.5
"100","MA",2019,"SE1902","HAW-04241","B","5",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.354971224,"HAW-4241 5",2.5
"101","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",45,"MD",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,1.248458385,"HAW-4241 10",2.5
"102","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","MCAP","0","0","0","0",2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056642387,"HAW-4241 10",2.5
"103","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.14069236,"HAW-4241 10",2.5
"104","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",70,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.251681485,"HAW-4241 10",2.5
"105","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","MCAP","0","0","0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072630916,"HAW-4241 10",2.5
"106","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.441242178,"HAW-4241 10",2.5
"107","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,"PRS",7,0,"SGA",2,0,NA,0,0,0.244019426,"HAW-4241 10",2.5
"108","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",40,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.525106997,"HAW-4241 10",2.5
"109","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.187177054,"HAW-4241 10",2.5
"110","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",45,"MD",NA,0,NA,0,NA,0,"PRS",5,0,NA,0,0,NA,0,0,0.895933619,"HAW-4241 10",2.5
"111","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123534004,"HAW-4241 10",2.5
"112","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.216925725,"HAW-4241 10",2.5
"113","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.417995371,"HAW-4241 10",2.5
"114","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.478374079,"HAW-4241 10",2.5
"116","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","LPUR","0","0","0","0",92,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.229697583,"HAW-4241 10",2.5
"117","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","MPAT","0","0","0","0",0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.062186815,"HAW-4241 10",2.5
"118","MA",2019,"SE1902","HAW-04241","B","10",2.5,1,"0","PLOB","0","0","0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.256734454,"HAW-4241 10",2.5
"122","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PLOB","0","0","0","0",20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.288586088,"HAW_4259 5",2.5
"123","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PLOB","0","0","0","0",30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.264646349,"HAW_4259 5",2.5
"124","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PLOB","0","0","0","0",5,"MD","MACA",1,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.202869244,"HAW_4259 5",2.5
"125","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",45,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.546730291,"HAW_4259 5",2.5
"126","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",85,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.498537321,"HAW_4259 5",2.5
"127","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",35,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.424133799,"HAW_4259 5",2.5
"128","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",70,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.266240229,"HAW_4259 5",2.5
"129","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",85,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.351275405,"HAW_4259 5",2.5
"130","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",25,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.258999497,"HAW_4259 5",2.5
"131","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.154235275,"HAW_4259 5",2.5
"132","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",40,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.28634673,"HAW_4259 5",2.5
"133","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",25,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.232169873,"HAW_4259 5",2.5
"134","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",15,"BR",NA,0,NA,0,NA,0,"ALG",3,0,NA,0,0,NA,0,0,0.323595874,"HAW_4259 5",2.5
"135","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",10,"CO",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.267029474,"HAW_4259 5",2.5
"136","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.117672257,"HAW_4259 5",2.5
"138","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.063556746,"HAW_4259 5",2.5
"139","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.054387131,"HAW_4259 5",2.5
"140","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",30,"BR",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.218542856,"HAW_4259 5",2.5
"141","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.13764131,"HAW_4259 5",2.5
"143","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",30,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.172107205,"HAW_4259 5",2.5
"144","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.110773868,"HAW_4259 5",2.5
"145","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",30,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.223757771,"HAW_4259 5",2.5
"146","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064066372,"HAW_4259 5",2.5
"147","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PLOB","0","0","0","0",0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.083073522,"HAW_4259 5",2.5
"148","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",10,"CO",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.136819332,"HAW_4259 5",2.5
"149","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",15,"CO",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.110788537,"HAW_4259 5",2.5
"150","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.05317913,"HAW_4259 5",2.5
"151","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.075655601,"HAW_4259 5",2.5
"152","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",75,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.27812819,"HAW_4259 5",2.5
"153","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",45,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.172258063,"HAW_4259 5",2.5
"154","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",75,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.279061999,"HAW_4259 5",2.5
"155","RS",2019,"SE1902","HAW-04259","B","5",2.5,1,"0","PCOM","0","0","0","0",0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09717335,"HAW_4259 5",2.5
