"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","SEGAREA","site_seg","REVIEW_ANALYST","Lump_Split_Error","SPCODE_CORRECT","MORPH_CORRECT","RDCAUSE_CORRECT","CONDITION_CORRECT","SEVERITY_CORRECT","SIZE_CORRECT","DELETE_COLONY"
1817,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.114724757,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1818,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,95,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.094129539,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1822,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"POSP",0,0,0,0,0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052272459,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1823,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MCAP",0,0,0,0,2,"EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.074718139,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1824,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MCAP",0,0,0,0,2,"EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.0624503,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1825,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.050572028,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1826,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.196419652,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1827,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052376044,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1828,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.091151578,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1829,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064722253,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1830,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,50,"EM",NA,0,NA,0,NA,0,"ALG",4,0,NA,0,0,NA,0,0,0.34150388,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1831,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"POSP",0,0,0,0,30,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064471545,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1832,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056438374,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1833,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.14881727,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1834,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053994907,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1835,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.316157001,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1836,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.07300685,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1837,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.164435337,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1838,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.222218856,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1839,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.168633567,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1840,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.079609171,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1841,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,20,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.117285848,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1842,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051018526,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1843,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.068527148,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1844,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PDUE",0,0,0,0,60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.148567998,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1845,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.141309057,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1846,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.062667695,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1847,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.066565156,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1848,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,45,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.327133306,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1849,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MCAP",0,0,0,-1,0,"EM",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.14060505,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1850,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,60,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056428716,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1854,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.065304594,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1856,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,75,"MD",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.091942264,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1858,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,3,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072151091,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1860,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.123261875,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1862,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,"ALG",1,0,NA,0,0,NA,0,0,0.091053226,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1863,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.205768074,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1891,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.050735096,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1892,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,15,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.07545734,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
1893,"MA",2019,"SE1902","HAW-04263","A",10,2.5,1,0,"PLOB",0,0,0,0,30,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058437746,2.5,"HAW-04263_10","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2794,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,2,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09756772,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2795,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,40,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09762049,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2796,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.202778032,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2797,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,30,"BR","TLS",2,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.254574862,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2798,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072620177,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2799,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,15,"BR","TLS",3,"DZGN",10,NA,0,NA,0,0,NA,0,0,NA,0,0,0.248493641,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2800,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,25,"BR","DZGN",5,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.221065285,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2801,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,55,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.170530116,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2802,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.087512856,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2803,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,10,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.077963132,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2804,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,35,"BR","TLS",1,"PRED",25,NA,0,NA,0,0,NA,0,0,NA,0,0,0.181031765,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2805,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,30,"BR","TLS",2,"PRED",10,NA,0,NA,0,0,NA,0,0,NA,0,0,0.281239328,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2806,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.066244169,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2807,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,2,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.073250939,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2808,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.094935135,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2809,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,10,"BR","TLS",5,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.107746556,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2810,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.071425066,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2811,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,25,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.106574715,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2812,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.13372154,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2813,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,3,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.098511421,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2814,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.136840528,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2815,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.059928626,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2816,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,"BLE",30,1,NA,0,0,NA,0,0,0.142374192,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2817,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.057222548,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2818,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,5,"KN","PRED",3,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.091001374,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2819,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052771677,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2820,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.081,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2821,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,5,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.065104915,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2822,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,15,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.135824151,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2823,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,2,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.050036087,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2824,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PLOB",0,0,0,0,50,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.122484693,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2825,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.068844751,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2826,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.083138679,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2827,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,5,"KN","TLS",2,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.101806925,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2828,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.058023529,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2829,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,20,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.104480667,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2830,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,3,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.090864734,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2831,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PLOB",0,0,0,0,90,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.14430097,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2832,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,0,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.052824711,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2833,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"PCOM",0,0,0,0,55,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.124917453,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
2834,"MA",2019,"SE1902","HAW-04294","A",15,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.090603532,2.5,"HAW-04294_15","MSL",NA,NA,NA,NA,NA,NA,NA,NA
