"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","REVIEW_ANALYST"
1983,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,30,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.369460823,"HAW-4267 10",2.5,"MSL"
1984,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.341372816,"HAW-4267 10",2.5,"MSL"
1985,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.091299342,"HAW-4267 10",2.5,"MSL"
1986,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,40,"BR","UNKN",10,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.124412942,"HAW-4267 10",2.5,"MSL"
1987,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,70,"KN",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.141780747,"HAW-4267 10",2.5,"MSL"
1988,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,60,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.227436255,"HAW-4267 10",2.5,"MSL"
1989,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,5,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.154241499,"HAW-4267 10",2.5,"MSL"
1990,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,25,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.144474392,"HAW-4267 10",2.5,"MSL"
1991,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,40,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.596923152,"HAW-4267 10",2.5,"MSL"
1992,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PLOB",0,0,0,0,60,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.089702231,"HAW-4267 10",2.5,"MSL"
1993,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,40,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.427828306,"HAW-4267 10",2.5,"MSL"
1994,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,10,"BR",NA,0,NA,0,NA,0,"BLE",100,3,NA,0,0,NA,0,0,0.161469377,"HAW-4267 10",2.5,"MSL"
1995,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,65,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.544063277,"HAW-4267 10",2.5,"MSL"
1996,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PLOB",0,0,0,0,3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.115573051,"HAW-4267 10",2.5,"MSL"
1997,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,30,"BR",NA,0,NA,0,NA,0,NA,0,0,"BLE",100,2,NA,0,0,0.214810265,"HAW-4267 10",2.5,"MSL"
1998,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,70,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.442105982,"HAW-4267 10",2.5,"MSL"
1999,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,75,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.358330155,"HAW-4267 10",2.5,"MSL"
2000,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,70,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.227624538,"HAW-4267 10",2.5,"MSL"
2001,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,5,"BR",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.087958229,"HAW-4267 10",2.5,"MSL"
2002,"RS",2019,"SE1902","HAW-04267","A",10,2.5,1,0,"PCOM",0,0,0,0,50,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.277751274,"HAW-4267 10",2.5,"MSL"
2026,"RS",2019,"SE1902","HAW-04267","A",10,1,1,-1," ",0,0,0,0,0," ",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.086221227,"HAW-4267 10",1,"MSL"
2288,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"PMEA",0,-1,0,0,0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.030714818,"HAW-4277 5",1,"MSL"
2289,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLOB",0,0,0,0,40,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10150197,"HAW-4277 5",2.5,"MSL"
2290,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"PLOB",0,-1,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.048071302,"HAW-4277 5",1,"MSL"
2291,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POCS",0,-1,0,0,0,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.018146625,"HAW-4277 5",1,"MSL"
2292,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.142853106,"HAW-4277 5",2.5,"MSL"
2293,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.073921918,"HAW-4277 5",2.5,"MSL"
2294,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,55,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.05464522,"HAW-4277 5",2.5,"MSL"
2295,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,"BLE",100,2,NA,0,0,NA,0,0,0.02066422,"HAW-4277 5",1,"MSL"
2296,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,0,0,-1,0,"EM",NA,0,NA,0,NA,0,"BLE",100,1,"ALG",1,0,NA,0,0,0.042778733,"HAW-4277 5",1,"MSL"
2297,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.033953645,"HAW-4277 5",1,"MSL"
2298,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.022240729,"HAW-4277 5",1,"MSL"
2299,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.062171538,"HAW-4277 5",2.5,"MSL"
2300,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,0,0,-1,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.021070596,"HAW-4277 5",1,"MSL"
2301,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.027518176,"HAW-4277 5",1,"MSL"
2302,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,0,0,-1,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.022116283,"HAW-4277 5",1,"MSL"
2303,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,0,0,-1,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.032318725,"HAW-4277 5",1,"MSL"
2304,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,0,0,-1,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.0164,"HAW-4277 5",1,"MSL"
2305,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,70,"MD",NA,0,NA,0,NA,0,"ALG",10,0,NA,0,0,NA,0,0,0.143333179,"HAW-4277 5",2.5,"MSL"
2306,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.090800717,"HAW-4277 5",2.5,"MSL"
2307,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,"ALG",5,0,NA,0,0,NA,0,0,0.056485484,"HAW-4277 5",2.5,"MSL"
2308,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.012180312,"HAW-4277 5",1,"MSL"
2309,"AH",2019,"SE1902","HAW-04277","A",5,1,1,0,"POSP",0,-1,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.020298769,"HAW-4277 5",1,"MSL"
2310,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLOB",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,"ALG",2,0,NA,0,0,NA,0,0,0.172126582,"HAW-4277 5",2.5,"MSL"
2311,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056803168,"HAW-4277 5",2.5,"MSL"
2312,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,2,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051792277,"HAW-4277 5",2.5,"MSL"
2313,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.10051771,"HAW-4277 5",2.5,"MSL"
2314,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.297106058,"HAW-4277 5",2.5,"MSL"
2315,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,15,"MD","FISH",3,NA,0,NA,0,"DIS",10,0,NA,0,0,NA,0,0,0.128200038,"HAW-4277 5",2.5,"MSL"
2316,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,65,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.162047709,"HAW-4277 5",2.5,"MSL"
2317,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.092020107,"HAW-4277 5",2.5,"MSL"
2318,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"POSP",0,0,0,0,90,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.222599034,"HAW-4277 5",2.5,"MSL"
2319,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.050224497,"HAW-4277 5",2.5,"MSL"
2320,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,90,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.18179648,"HAW-4277 5",2.5,"MSL"
2321,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,80,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.088628556,"HAW-4277 5",2.5,"MSL"
2322,"AH",2019,"SE1902","HAW-04277","A",5,2.5,1,0,"PLUT",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.185315542,"HAW-4277 5",2.5,"MSL"
2392,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.087550043,"HAW-4277 15",2.5,"MSL"
2393,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105126401,"HAW-4277 15",2.5,"MSL"
2394,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105524594,"HAW-4277 15",2.5,"MSL"
2395,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"MCAP",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.064594505,"HAW-4277 15",2.5,"MSL"
2396,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,"ALG",5,0,NA,0,0,NA,0,0,0.182527725,"HAW-4277 15",2.5,"MSL"
2397,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.077711904,"HAW-4277 15",2.5,"MSL"
2398,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.127704971,"HAW-4277 15",2.5,"MSL"
2399,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,55,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.208595902,"HAW-4277 15",2.5,"MSL"
2400,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,65,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.073070103,"HAW-4277 15",2.5,"MSL"
2401,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,50,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.102015097,"HAW-4277 15",2.5,"MSL"
2402,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,65,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.162461872,"HAW-4277 15",2.5,"MSL"
2403,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.063844263,"HAW-4277 15",2.5,"MSL"
2404,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.100822864,"HAW-4277 15",2.5,"MSL"
2405,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.099849887,"HAW-4277 15",2.5,"MSL"
2406,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,25,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.11500826,"HAW-4277 15",2.5,"MSL"
2407,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,40,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.06652353,"HAW-4277 15",2.5,"MSL"
2408,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,60,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.152836252,"HAW-4277 15",2.5,"MSL"
2409,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,15,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.060125285,"HAW-4277 15",2.5,"MSL"
2410,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.055677105,"HAW-4277 15",2.5,"MSL"
2411,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,10,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.053160322,"HAW-4277 15",2.5,"MSL"
2412,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"PLUT",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.218480778,"HAW-4277 15",2.5,"MSL"
2413,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,15,"MD",NA,0,NA,0,NA,0,"ALG",5,0,NA,0,0,NA,0,0,0.080443582,"HAW-4277 15",2.5,"MSL"
2414,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.180800443,"HAW-4277 15",2.5,"MSL"
2415,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.067076821,"HAW-4277 15",2.5,"MSL"
2416,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,75,"EM",NA,0,NA,0,NA,0,"ALG",3,0,NA,0,0,NA,0,0,0.195454138,"HAW-4277 15",2.5,"MSL"
2417,"AH",2019,"SE1902","HAW-04277","A",15,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.051606791,"HAW-4277 15",2.5,"MSL"
3044,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PLUT",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.193206469,"HAW-4300 10",2.5,"MSL"
3045,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,"SGA",5,0,NA,0,0,NA,0,0,0.051131399,"HAW-4300 10",2.5,"MSL"
3046,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.099475274,"HAW-4300 10",2.5,"MSL"
3047,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.09024838,"HAW-4300 10",2.5,"MSL"
3048,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,30,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.125756749,"HAW-4300 10",2.5,"MSL"
3049,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PCOM",0,0,0,0,60,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.084148261,"HAW-4300 10",2.5,"MSL"
3050,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,5,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.072083077,"HAW-4300 10",2.5,"MSL"
3051,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.084601301,"HAW-4300 10",2.5,"MSL"
3052,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PLUT",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.093523045,"HAW-4300 10",2.5,"MSL"
3053,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PLUT",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,"SGA",2,0,NA,0,0,NA,0,0,0.246163463,"HAW-4300 10",2.5,"MSL"
3054,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,0,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.065119735,"HAW-4300 10",2.5,"MSL"
3055,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PCOM",0,0,0,0,15,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.130754502,"HAW-4300 10",2.5,"MSL"
3056,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PLUT",0,0,0,0,2,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.159189196,"HAW-4300 10",2.5,"MSL"
3057,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,40,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.105131964,"HAW-4300 10",2.5,"MSL"
3058,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,3,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.132025186,"HAW-4300 10",2.5,"MSL"
3059,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PLUT",0,0,0,0,10,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.147716385,"HAW-4300 10",2.5,"MSL"
3060,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,"BLE",60,1,NA,0,0,NA,0,0,0.271840634,"HAW-4300 10",2.5,"MSL"
3061,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,35,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.375116849,"HAW-4300 10",2.5,"MSL"
3062,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,30,"KN",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.170511143,"HAW-4300 10",2.5,"MSL"
3063,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"MCAP",0,0,0,0,0,"EM",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.056441829,"HAW-4300 10",2.5,"MSL"
3064,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,20,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.115028041,"HAW-4300 10",2.5,"MSL"
3065,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"POSP",0,0,0,0,5,"MD",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.157665754,"HAW-4300 10",2.5,"MSL"
3066,"AH",2019,"SE1902","HAW-04300","A",10,2.5,1,0,"PCOM",0,0,0,0,60,"BR",NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0.445888831,"HAW-4300 10",2.5,"MSL"
