AdJuv,Segment,Diver,Taxon,Count,MinSize,MaxSize,MinDead,MaxDead,RecentMort,DZ_COND,,,,,,,,,,,,,,,,
A,0,DTP,PLOB,1,27,27,60,60,,,,,,,,,,,,,,,,,,
A,0,DTP,PMEA,4,25,45,0,65,,BLE,,,,,,,,,,,,,,,,
A,0,DTP,PMAL,1,25,25,30,30,,,,,,,,,,,,,,,,,,
A,0,DTP,PVAR,1,45,45,5,5,,,,,,,,,,,,,,,,,,
J,10,BH,NA,,,,,,,,,,,,,,,,,,,,,,,
J,0,JE,PMAL,2,2,5,,,,,,,,,,,,,,,,,,,,
J,10,JE,PDUE,2,4,5,,,,,,,,,,,,,,,,,,,,
J,0,ML,PMEA,1,3,3,,,,,,,,,,,,,,,,,,,,
J,5,ML,MPAT,1,4,4,,,,,,,,,,,,,,,,,,,,
J,0,CA,POCS,1,3,3,,,,,,,,,,,,,,,,,,,,
J,0,CA,PMAL,1,3,3,,,,,,,,,,,,,,,,,,,,
J,5,JC,PMEA,1,2,2,,,,,,,,,,,,,,,,,,,,
J,5,JC,NA,,,,,,,,,,,,,,,,,,,,,,,
J,5,DTP,MCAP,1,4,4,,,,,,,,,,,,,,,,,,,,
J,5,DTP,PMAL,1,3,3,,,,,,,,,,,,,,,,,,,,
J,0,DTP,MCAP,1,4,4,,,,,,,,,,,,,,,,,,,,
J,0,DTP,PMEA,1,4,4,,,,,,,,,,,,,,,,,,,,
A,5,TAO,PMEA,10,7,10,0,10,"5,10","PRED, TLS",,,,,,,,,,,,,,,,
A,5,TAO,MPAT,8,22,59,,,,,,,,,,,,,,,,,,,,
A,5,TAO,PVAR,1,47,47,,,,,,,,,,,,,,,,,,,,
J,5,TAO,UNK,1,1,1,,,,,,,,,,,,,,,,,,,,
