OID_,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,FRAGMENT,JUVENILE,REMNANT,OLDDEAD,MORPH_CODE,JUV_SUBSTRATE,RDCAUSE_1,RD_1,RDCAUSE_2,RD_2,RDCAUSE_3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Mosaic_Issues,Shape_Length
34,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ASTS,0,0,0,0,5,EM,,,,,,,,,,,,,,,,,,0.505240537684123
35,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.104585372092389
36,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,7,FO,,,,,,,,,,,,,,,,,,0.101907064972698
37,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,45,CB,,,,,,,,,,,,,,,,,,0.313449581509850
38,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,,EM,,GAST,3,,,,,,,,,,,,,,,0.322682660728445
39,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,45,KN,,,,,,,,,,,,,,,,,,0.129689628137707
40,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,,EM,,FISH,1,,,,,,,,,,,,,,,0.103075893666714
41,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,,,0.060617241848497
42,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.126705365950853
43,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,BR,,,,,,,,,,,,,,,,,,0.131585144147558
44,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.048363828769367
45,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,PMVC,0,0,0,0,,BR,,,,,,,,,,,,,,,,,,0.071216289459280
46,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,TB,,,,,,,,,,,,,,,,,,0.318037370805682
47,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.144575411435767
48,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ECHP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,,,0.275886425519615
49,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.284512724594714
50,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,CB,,,,,,,,,,,,,,,,,,0.065906903610149
51,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.169202423221859
52,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,,,0.071357410167860
53,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.261426337013246
54,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,3,EM,,GAST,3,,,,,,,,,,,,,,,0.130331576928912
55,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.090516572744161
56,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,15,EM,,,,,,,,,,,,,,,,,,0.097456144298132
57,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.065775375510564
58,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.074656078330100
59,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.079099999740720
60,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,KN,,,,,,,,,,,,,,,,,,0.086051613245294
61,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,,,0.050558578948354
62,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.115238969142481
63,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.054889706929541
64,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,20,CB,,,,,,,,,,,,,,,,,,0.052131851532756
65,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.070205768956282
66,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,KN,,,,,,,,,,,,,,,,,,0.080982096742326
67,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.048890284742413
68,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,KN,,,,,,,,,,,,,,,,,,0.066686504726643
69,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.067308988140191
70,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,CB,,,,,,,,,,,,,,,,,,0.105843657683165
71,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,CB,,,,,,,,,,,,,,,,,,0.070237953076681
72,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.112257562260157
73,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.049731479309987
74,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.049090325743597
75,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,20,CB,,,,,,,,,,,,,,,,,,0.087180330521853
76,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,POSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,,,0.078960558716885
77,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,CB,,,,,,,,,,,,,,,,,,0.876655029840977
78,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,20,KN,,,,,,,,,,,,,,,,,,0.067801180016888
79,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,CB,,,,,,,,,,,,,,,,,,0.083002890523889
80,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,CB,,,,,,,,,,,,,,,,,,0.184466853454129
81,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.058585407346437
82,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.087127148819378
83,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,KN,,,,,,,,,,,,,,,,,,0.059851147432729
84,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.066350057562054
85,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,CB,,,,,,,,,,,,,,,,,,0.146356891985368
86,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,50,CB,,DAMG,10,,,,,,,,,,,,,,,0.139829360211230
87,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.052127726555500
88,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,KN,,,,,,,,,,,,,,,,,,0.093670165517430
89,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,KN,,,,,,,,,,,,,,,,,,0.186213882557057
90,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.051200879464935
91,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,20,CB,,,,,,,,,,,,,,,,,,0.169132491862788
92,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.054646592055185
93,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,KN,,,,,,,,,,,,,,,,,,0.046323752873378
94,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,MOSP,0,0,0,0,,EM,,,,,,,,,,,,,,,,,,0.052707873904366
95,MSL,2023,RA2301,BAK-2041,A,10,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,DAMG,2,,,,,,,,,,,,,,,0.171773834001817
96,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.036244723667809
97,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.040113837848011
98,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.038187955895261
99,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.027127107449288
100,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.036778389917446
101,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.040093514664031
102,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.025741989585162
103,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.021553885512218
104,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.017763446217526
105,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.021766488385236
106,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ECHP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.041243302160463
107,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,MOSP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.028969812812722
108,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.039640888136252
109,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.020115913427581
110,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.043222680731834
111,MSL,2023,RA2301,BAK-2041,A,10,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.036788720188314
112,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,CCAH,,,,,,,,,,,,,,,,,0.037536649030771
113,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,CCAH,,,,,,,,,,,,,,,,,0.033576479199079
114,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,CCAH,,,,,,,,,,,,,,,,,0.022299999371171
115,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,CB,,,,,,,,,,,,,,,,,,1.037700174610842
116,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,CB,,,,,,,,,,,,,,,,,,0.371154415971391
117,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,CB,CCAH,,,,,,,,,,,,,,,,,0.038594559783093
118,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,CB,CCAH,,,,,,,,,,,,,,,,,0.035924642540544
119,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.019890952657996
120,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.025112746160737
121,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,TURFH,,,,,,,,,,,,,,,,,0.041511684557781
122,MSL,2023,RA2301,BAK-2041,A,5,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,KN,CCAH,,,,,,,,,,,,,,,,,0.016227445197021
123,MSL,2023,RA2301,BAK-2041,A,15,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,CB,,,,,,,,,,,,,,,,,,0.156760518171289
124,MSL,2023,RA2301,BAK-2041,A,5,2.5000000,1.0000000,0,ACSP,0,0,0,0,,CB,,,,,,,,,,,,,,,,,,0.173781126793058
125,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,30,CB,,,,,,,,,,,,,,,,,,0.116111067795062
126,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.147432595225647
127,JC,2023,RA2301,BAK-2031,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,CB,CCAH,,,,,,,,,,,,,,,,,0.033816120900910
128,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.130576031010636
129,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,15,CB,,,,,,,,,,,,,,,,,,0.114316096450678
130,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,40,EM,,,,,,,,,,,,,,,,,,0.126158829000993
131,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,20,EM,,,,,,,,,,,,,,,,,,0.139560918269945
132,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,CB,,,,,,,,,,,,,,,,,,0.066570939590382
133,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.054515501994234
134,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,0,CB,,,,,,,,,,,,,,,,,,0.081045419637175
135,JC,2023,RA2301,BAK-2031,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.017344162510365
136,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,8,CB,,,,,,,,,,,,,,,,,,0.083459031765421
137,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,1,CB,,,,,,,,,,,,,,,,,,0.092602645832446
138,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,CB,,,,,,,,,,,,,,,,,,0.140147137205497
139,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,10,FO,,,,,,,,,,,,,,,,,,0.315924057945737
140,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,30,CB,,,,,,,,,,,,,,,,,,0.058983556130663
141,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,0,CB,,,,,,,,,,,,,,,,,,0.048736126510282
142,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,1,CB,,,,,,,,,,,,,,,,,,0.048342630530414
143,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.089041844113764
144,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,,,0.150852578023807
145,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,EM,,,,,,,,,,,,,,,,,,0.060933161236908
146,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,10,EM,,,,,,,,,,,,,,,,,,0.055555557438645
147,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.052959228368254
148,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.119133915350982
149,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,CB,,,,,,,,,,,,,,,,,,0.079557840393750
150,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.075502051271921
151,JC,2023,RA2301,BAK-2031,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,CB,TURFH,,,,,,,,,,,,,,,,,0.025303162078011
152,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,CB,,,,,,,,,,,,,,,,,,0.076637654238701
153,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,5,CB,,,,,,,,,,,,,,,,,,0.136355454129124
154,JC,2023,RA2301,BAK-2031,A,0,1.0000000,1.0000000,0,ACSP,0,0,-1,0,,CB,TURFH,,,,,,,,,,,,,,,,,0.047270496967268
155,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,PMVC,0,0,0,0,2,BR,,,,,,,,,,,,,,,,,,0.135182135867763
156,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,CB,,,,,,,,,,,,,,,,,,0.073585326340131
157,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,0,CB,,,,,,,,,,,,,,,,,,0.064194237304842
158,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,5,EM,,,,,,,,,,,,,,,,,,0.104250707640562
159,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,MOSP,0,0,0,0,3,EM,,,,,,,,,,,,,,,,,,0.311241594441430
160,JC,2023,RA2301,BAK-2031,A,0,1.0000000,1.0000000,0,POCS,0,0,-1,0,,EM,TURFH,,,,,,,,,,,,,,,,,0.016595180924999
161,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,3,CB,,,,,,,,,,,,,,,,,,0.091061791881385
162,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,PMVC,0,0,0,0,0,BR,,,,,,,,,,,,,,,,,,0.085639476760536
163,JC,2023,RA2301,BAK-2031,A,0,2.5000000,1.0000000,0,ACSP,0,0,0,0,2,AB,,,,,,,,,,,,,,,,,,0.093132432837921
