,ANALYST,OBS_YEAR,MISSION_ID,SITE,TRANSECT,SEGMENT,SEGLENGTH,SEGWIDTH,NO_COLONY,SPCODE,EX_BOUND,JUVENILE,JUV_SUBSTRATE,REMNANT,OLD_DEAD,MORPH_CODE,RDCAUSE1,RD_1,RDCAUSE2,RD_2,RDCAUSE3,RD_3,CON_1,EXTENT_1,SEV_1,CON_2,EXTENT_2,SEV_2,CON_3,EXTENT_3,SEV_3,Shape_Length,site_seg,SEGAREA,totaldead
29,MSL,2024,SE2406,HAW-4698,A,5,2.5,1,0,MCAP,0,0,,0,25,EM,NA,NA,NA,NA,NA,NA,BLE,100,2,NA,NA,NA,NA,NA,NA,0.036623081,HAW-4698 5,2.5,NA
31,MSL,2024,SE2406,HAW-4729,A,0,2.5,1,0,POSP,0,0,,0,3,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048657579,HAW-4729 0,2.5,NA
32,MSL,2024,SE2406,HAW-4729,A,10,2.5,1,0,POSP,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04854122,HAW-4729 10,2.5,NA
33,MSL,2024,SE2406,HAW-4729,A,10,2.5,1,0,POSP,0,0,,0,3,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047430791,HAW-4729 10,2.5,NA
34,MSL,2024,SE2406,HAW-4729,A,10,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04956632,HAW-4729 10,2.5,NA
35,MSL,2024,SE2406,HAW-4729,A,15,2.5,1,0,POSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049625799,HAW-4729 15,2.5,NA
36,MSL,2024,SE2406,HAW-4742,A,5,2.5,1,0,MCAP,0,0,,0,35,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049673433,HAW-4742 5,2.5,NA
37,MSL,2024,SE2406,HAW-4742,A,10,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04994487,HAW-4742 10,2.5,NA
38,MSL,2024,SE2406,HAW-4742,A,10,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,BLE,100,2,NA,NA,NA,NA,NA,NA,0.048366311,HAW-4742 10,2.5,NA
39,MSL,2024,SE2406,HAW-4742,A,15,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049965287,HAW-4742 15,2.5,NA
42,MSL,2024,SE2406,HAW-4791,A,15,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034667709,HAW-4791 15,2.5,NA
43,MSL,2024,SE2406,HAW-4791,A,0,2.5,1,0,POSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027733373,HAW-4791 0,2.5,NA
45,MSL,2024,SE2406,HAW-4940,A,15,2.5,1,0,PDUE,0,0,,0,5,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049449065,HAW-4940 15,2.5,NA
46,MSL,2024,SE2406,KAH-0688,A,5,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049903608,KAH-0688 5,2.5,NA
47,MSL,2024,SE2406,KAH-0688,A,10,2.5,1,0,POSP,0,0,,0,40,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049806125,KAH-0688 10,2.5,NA
48,MSL,2024,SE2406,KAH-0736,A,5,2.5,1,0,POSP,0,0,,0,5,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04992194,KAH-0736 5,2.5,NA
49,MSL,2024,SE2406,KAH-0736,A,10,2.5,1,0,POCS,0,0,,0,0,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035143279,KAH-0736 10,2.5,NA
50,MSL,2024,SE2406,KAH-0736,A,10,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049012345,KAH-0736 10,2.5,NA
51,MSL,2024,SE2406,KAH-0736,A,10,1,1,0,POCS,0,-1,TURFH,0,NA,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053569021,KAH-0736 10,1,NA
52,MSL,2024,SE2406,KAH-0736,A,15,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049675949,KAH-0736 15,2.5,NA
53,MSL,2024,SE2406,KAH-0736,A,15,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049673534,KAH-0736 15,2.5,NA
54,MSL,2024,SE2406,KAH-0736,A,15,2.5,1,0,POSP,0,0,,0,2,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040565995,KAH-0736 15,2.5,NA
55,MSL,2024,SE2406,KAH-0772,A,10,1,1,0,MOSP,0,-1,TURFH,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116125794,KAH-0772 10,1,NA
56,MSL,2024,SE2406,KAH-0772,A,10,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049868828,KAH-0772 10,2.5,NA
57,MSL,2024,SE2406,KAH-0772,A,10,2.5,1,0,MPAT,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04898418,KAH-0772 10,2.5,NA
58,MSL,2024,SE2406,KAH-0772,A,10,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049294625,KAH-0772 10,2.5,NA
59,MSL,2024,SE2406,KAH-0772,A,15,1.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049458064,KAH-0772 15,1.5,NA
62,MSL,2024,SE2406,KAU-2421,A,0,2.5,1,0,MOSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035846897,KAU-2421 0,2.5,NA
65,MSL,2024,SE2406,LAN-2206,A,5,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049942066,LAN-2206 5,2.5,NA
66,MSL,2024,SE2406,LAN-2206,A,5,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049681486,LAN-2206 5,2.5,NA
69,MSL,2024,SE2406,LAN-2243,A,10,2.5,1,0,MPAT,0,0,,0,2,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049641213,LAN-2243 10,2.5,NA
70,MSL,2024,SE2406,LAN-2243,A,0,1,1,0,PVAR,0,-1,TURFH,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061421984,LAN-2243 0,1,NA
71,MSL,2024,SE2406,LAN-2308,A,0,2.5,1,0,POSP,0,0,,0,10,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048338907,LAN-2308 0,2.5,NA
72,MSL,2024,SE2406,LAN-2308,A,0,2.5,1,0,PCOM,0,0,,0,0,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048786269,LAN-2308 0,2.5,NA
73,MSL,2024,SE2406,LAN-2308,A,0,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04834232,LAN-2308 0,2.5,NA
74,MSL,2024,SE2406,LAN-2308,A,0,2.5,1,0,POSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041512045,LAN-2308 0,2.5,NA
75,MSL,2024,SE2406,LAN-2308,A,5,2.5,1,0,POSP,0,0,,0,2,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049002551,LAN-2308 5,2.5,NA
76,MSL,2024,SE2406,LAN-2308,A,10,2.5,1,0,POSP,0,0,,0,2,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041170014,LAN-2308 10,2.5,NA
77,MSL,2024,SE2406,LAN-2308,A,10,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035030415,LAN-2308 10,2.5,NA
78,MSL,2024,SE2406,LAN-2308,A,10,2.5,1,0,POSP,0,0,,0,10,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039801634,LAN-2308 10,2.5,NA
79,MSL,2024,SE2406,LAN-2308,A,10,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044417339,LAN-2308 10,2.5,NA
80,MSL,2024,SE2406,LAN-2308,A,10,2.5,1,0,POSP,0,0,,0,15,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048637434,LAN-2308 10,2.5,NA
81,MSL,2024,SE2406,LAN-2308,A,15,2.5,1,0,POSP,0,0,,0,7,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049993999,LAN-2308 15,2.5,NA
82,MSL,2024,SE2406,LAN-2308,A,15,2.5,1,0,POSP,0,0,,0,30,MD,NA,NA,NA,NA,NA,NA,ALG,10,NA,NA,NA,NA,NA,NA,NA,0.046740346,LAN-2308 15,2.5,NA
83,MSL,2024,SE2406,LAN-2308,A,15,2.5,1,0,POSP,0,0,,0,50,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042778734,LAN-2308 15,2.5,NA
84,MSL,2024,SE2406,LAN-2308,A,15,2.5,1,0,POSP,0,0,,0,5,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049780017,LAN-2308 15,2.5,NA
85,MSL,2024,SE2406,LIS-4571,A,10,2.5,1,0,POSP,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049974894,LIS-4571 10,2.5,NA
86,MSL,2024,SE2406,LIS-4621,A,0,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04956632,LIS-4621 0,2.5,NA
87,MSL,2024,SE2406,LIS-4621,A,0,2.5,1,0,CYPS,0,0,,0,20,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049833422,LIS-4621 0,2.5,NA
88,MSL,2024,SE2406,MAI-4301,A,5,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049905611,MAI-4301 5,2.5,NA
89,MSL,2024,SE2406,MAI-4301,A,10,2.5,1,0,PCOM,0,0,,0,60,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04101317,MAI-4301 10,2.5,NA
90,MSL,2024,SE2406,MAI-4301,A,10,2.5,1,0,MPAT,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043174066,MAI-4301 10,2.5,NA
91,MSL,2024,SE2406,MAI-4301,A,10,2.5,1,0,PCOM,0,0,,0,10,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049499191,MAI-4301 10,2.5,NA
92,MSL,2024,SE2406,MAI-4387,A,15,2.5,1,0,MPAT,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040624131,MAI-4387 15,2.5,NA
93,MSL,2024,SE2406,MAI-4398,A,0,2.5,1,0,POSP,0,0,,0,35,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049840244,MAI-4398 0,2.5,NA
94,MSL,2024,SE2406,MAI-4398,A,5,2.5,1,0,POSP,0,0,,0,5,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045612388,MAI-4398 5,2.5,NA
95,MSL,2024,SE2406,MAI-4398,A,15,2.5,1,0,POSP,0,0,,0,40,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042080043,MAI-4398 15,2.5,NA
96,MSL,2024,SE2406,MAI-4398,A,15,2.5,1,0,POSP,0,0,,0,0,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048623554,MAI-4398 15,2.5,NA
97,MSL,2024,SE2406,MAI-4464,A,5,2.5,1,0,POSP,0,0,,0,5,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049445323,MAI-4464 5,2.5,NA
98,MSL,2024,SE2406,MAI-4464,A,5,2.5,1,0,MCAP,0,0,,0,50,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049564705,MAI-4464 5,2.5,NA
99,MSL,2024,SE2406,MAI-4491,A,0,2.5,1,0,MPAT,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047707443,MAI-4491 0,2.5,NA
100,MSL,2024,SE2406,MAI-4491,A,10,2.5,1,0,MPAT,0,0,,0,40,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049192886,MAI-4491 10,2.5,NA
101,MSL,2024,SE2406,MAI-4491,A,15,2.5,1,0,MCAP,0,0,,0,25,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049461601,MAI-4491 15,2.5,NA
102,MSL,2024,SE2406,MAI-4506,A,10,2.5,1,0,LESP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048776326,MAI-4506 10,2.5,NA
103,MSL,2024,SE2406,MAI-4534,A,15,2.5,1,0,POSP,0,0,,0,80,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048479686,MAI-4534 15,2.5,NA
106,MSL,2024,SE2406,MOL-2667,A,0,2.5,1,0,POSP,0,0,,-1,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052407729,MOL-2667 0,2.5,NA
107,MSL,2024,SE2406,MOL-2667,A,5,2.5,1,0,MPAT,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049924944,MOL-2667 5,2.5,NA
108,MSL,2024,SE2406,MOL-2667,A,10,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049488687,MOL-2667 10,2.5,NA
110,MSL,2024,SE2406,MOL-2710,A,5,2.5,1,0,MPAT,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048246865,MOL-2710 5,2.5,NA
111,MSL,2024,SE2406,MOL-2807,A,5,2.5,1,0,PVAR,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039444266,MOL-2807 5,2.5,NA
112,MSL,2024,SE2406,MOL-2815,A,10,2.5,1,0,CYPS,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,BLE,100,3,NA,NA,NA,NA,NA,NA,0.040942032,MOL-2815 10,2.5,NA
113,MSL,2024,SE2406,MOL-2815,A,10,2.5,1,0,PCOM,0,0,,0,0,KN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049400405,MOL-2815 10,2.5,NA
114,MSL,2024,SE2406,NII-2756,A,0,2.5,1,0,POSP,0,0,,0,40,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042742251,NII-2756 0,2.5,NA
115,MSL,2024,SE2406,NII-2813,A,0,2.5,1,0,POSP,0,0,,0,50,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04941275,NII-2813 0,2.5,NA
116,MSL,2024,SE2406,NII-2813,A,15,2.5,1,0,PMVC,0,0,,0,10,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049406477,NII-2813 15,2.5,NA
117,MSL,2024,SE2406,NII-2813,A,15,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046779909,NII-2813 15,2.5,NA
119,MSL,2024,SE2406,NII-2832,A,0,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049487472,NII-2832 0,2.5,NA
120,MSL,2024,MP2404,OAH-4263,A,5,2.5,1,0,MPAT,0,0,,0,10,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049124534,OAH-4263 5,2.5,NA
128,MSL,2024,MP2404,OAH-4337,A,0,2.5,1,0,MPAT,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015623701,OAH-4337 0,2.5,NA
129,MSL,2024,MP2404,OAH-4337,A,5,2.5,1,0,MCAP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034301311,OAH-4337 5,2.5,NA
130,MSL,2024,MP2404,OAH-4337,A,5,1,1,0,MCAP,0,-1,TURFH,0,NA,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067768207,OAH-4337 5,1,NA
131,MSL,2024,MP2404,OAH-4337,A,5,2.5,1,0,POSP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048911756,OAH-4337 5,2.5,NA
132,MSL,2024,MP2404,OAH-4337,A,10,2.5,1,0,MCAP,0,0,,0,20,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048287162,OAH-4337 10,2.5,NA
133,MSL,2024,MP2404,OAH-4337,A,10,2.5,1,0,MCAP,0,0,,0,50,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04851608,OAH-4337 10,2.5,NA
134,MSL,2024,MP2404,OAH-4337,A,10,2.5,1,0,MPAT,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049024993,OAH-4337 10,2.5,NA
135,MSL,2024,MP2404,OAH-4337,A,10,2.5,1,0,MCAP,0,0,,0,0,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048826223,OAH-4337 10,2.5,NA
136,MSL,2024,MP2404,OAH-4337,A,15,2.5,1,0,PMVC,0,0,,0,0,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049608065,OAH-4337 15,2.5,NA
137,MSL,2024,MP2404,OAH-4337,A,15,2.5,1,0,POSP,0,0,,0,50,EM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047813807,OAH-4337 15,2.5,NA
